Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
2021-10-08,US,USA,United States,331996199,Report,485713525,400669422,146301,120685,152657055,232461866,15145348,405153,216573911,65.2,51.8,201758782,78.1,373610223,144664,188072,51862523,94.8,102033499,186545,888014,172092352,159992537,62,191000240,271385835,23308100,19350,69003393,102879624,14923459,111445,68924492,90861790,14896075,109208,21904823,21747966,2177848,48600,186917921,56.3,174791565,67.7,45879237,83.9,102033499,283545812,400304394,141178,171300,216341126,76.3,171962629,60.6,186785138,65.9,68999940,102753451,14920376,111371,400304394,40,7284455,3.9,6093074,6.6,7264370,4.2,4703572,10.3,1470094,5801097,9200,4064
2021-10-08,AK,AKA,Alaska,731545,Report,1089275,810238,148901,110757,316257,458809,34680,492,423085,57.8,46.7,391477,71,751795,136303,197489,79544,86.8,160742,175506,1189320,341801,315580,57.2,432280,588495,68500,0,142617,198889,32377,67,142230,173063,32241,62,41209,29975,3110,28,373950,51.1,347596,63,74322,81.1,153806,608877,808015,132706,178899,421742,69.3,340937,56,373084,61.3,142613,198029,32375,67,754485,,,,,,,,,,,,,
2021-10-08,AL,ALA,Alabama,4903185,Report,6829510,4624892,139287,94324,2022038,2463626,139163,65,2608058,53.2,40.5,2470646,64.8,4385764,114965,179023,739323,87,1389376,163487,803626,1986623,1884985,49.4,3047280,3473730,308500,0,908074,1076994,141292,406,907651,975783,141210,405,339334,267493,34444,263,2126766,43.4,2025049,53.1,641534,75.5,1341429,4186880,4624455,110451,163117,2607657,62.3,1986554,47.4,2126689,50.8,908063,1076937,141283,406,4472457,,,,,,,,,,,,,
2021-10-08,AR,ARA,Arkansas,3017804,Report,4161500,3085323,137898,102237,1317771,1665213,99433,2906,1697240,56.2,43,1579378,68.1,2875426,124067,179557,450797,86,867863,165660,794358,1298741,1207707,52.1,1813360,2153340,194800,0,593323,704033,97587,728,592256,614123,97075,702,217547,153589,14192,414,1395671,46.2,1304156,56.3,385742,73.6,830125,2557248,3080075,120445,162734,1693421,66.2,1297370,50.7,1394182,54.5,593315,702672,97469,726,2991245,,,,,,,,,,,,,
2021-10-08,AS,ASA,American Samoa,55689,Report,68550,63123,123094,113349,16716,45860,546,1,34527,62,51.4,28666,66.1,52479,120989,158040,2877,30.5,5385,57069,726473,28611,23864,55,18600,49350,600,0,7458,21151,554,0,7443,16419,553,0,1092,1486,25,0,29163,52.4,24415,56.3,2603,27.6,5385,47557,63105,132693,144143,34516,72.6,28604,60.1,29156,61.3,7457,21145,554,0,63105,,,,,,,,,,,,,
2021-10-08,AZ,AZA,Arizona,7278717,Report,10143070,8370474,139352,114999,3365442,4698729,291885,14418,4355944,59.8,47.8,4049565,71.8,7799318,138323,179890,1171708,89.5,2418741,184830,775089,3482198,3230835,57.3,4080680,5600490,461900,0,1461979,2013677,282215,4308,1461397,1762960,281805,4257,500667,478452,46009,2296,3762179,51.7,3510419,62.3,1027424,78.5,2276919,6206060,8369364,134858,163438,4354980,70.2,3482050,56.1,3761797,60.6,1461954,2013556,281980,4307,7853806,,,,,,,,,,,,,
2021-10-08,BP2,BP2,Bureau of Prisons,0,Report,254310,231428,0,0,93605,126115,11697,11,124065,0,0,124063,0,231426,0,0,3547,0,6943,0,0,106584,106584,0,109500,132210,12600,0,45047,61485,11664,0,45047,61485,11663,0,1679,1648,171,0,118196,0,118195,0,3498,0,6943,0,231426,0,0,124063,0,106584,0,118195,0,45047,61485,11663,0,231426,,,,,,,,,,,,,
2021-10-08,CA,CAA,California,39512223,Report,59569885,51583481,150763,130551,19529976,30164184,1875716,13605,28652281,72.5,55,26457765,86.4,47607867,155492,194561,5886900,99.9,11076087,189720,1020360,21727711,19954029,65.2,22724380,34038405,2807100,0,8593718,13111897,1862942,4061,8568286,11364006,1855447,3792,2390236,2168692,185992,1270,23572618,59.7,21791531,71.2,4746190,81.3,10797428,33646265,51453629,152925,177048,28571624,84.9,21679113,64.4,23523668,69.9,8593287,13063742,1862587,4052,50495964,,,,,,,,,,,,,
2021-10-08,CO,COA,Colorado,5758736,Report,8369125,7310621,145329,126948,2853501,4179994,272009,5117,3808796,66.1,55.4,3528751,78.4,6782932,150758,186013,774333,91.9,1609483,191057,993472,3191324,2946530,65.5,3305000,4689525,374600,0,1311977,1875103,267341,1507,1308326,1634066,266144,1454,343239,342232,24118,533,3455928,60,3209990,71.3,710122,84.3,1563673,4936061,7290458,147698,169551,3796926,76.9,3183227,64.5,3447806,69.8,1311960,1867024,267316,1506,7068722,,,,,,,,,,,,,
2021-10-08,CT,CTA,Connecticut,3565287,Report,5749685,5138344,161269,144121,1878076,3052544,206741,983,2747200,77.1,63.6,2540053,89.5,4749594,167366,202607,637266,99.9,1287826,204338,912295,2267311,2090405,73.7,2295140,3184545,270000,0,881395,1384627,205969,346,881004,1208206,205795,266,229833,332953,20514,71,2472337,69.3,2295271,80.9,583371,92.6,1255644,3105947,5136613,165380,185119,2745865,88.4,2266919,73,2471865,79.6,881190,1384443,205889,343,5051473,,,,,,,,,,,,,
