Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-29,AK,AKA,Alaska,731545,192350,110396,26294,15091,88654,12119,21593,2952,12.12,2.95,,,
2021-01-29,AL,ALA,Alabama,4903185,659400,300915,13448,6137,256601,5233,44073,899,5.23,0.9,,,
2021-01-29,AR,ARA,Arkansas,3017804,453500,269993,15027,8947,221552,7341,45918,1522,7.34,1.52,,,
2021-01-29,AS,ASA,American Samoa,55689,18450,9925,33130,17822,8926,16028,997,1790,16.03,1.79,,,
2021-01-29,AZ,AZA,Arizona,7278717,1012275,521097,13907,7159,439897,6044,80773,1110,6.04,1.11,,,
2021-01-29,BP2,BP2,Bureau of Prisons,0,30050,29754,0,0,21674,0,8011,0,0,0,,,
2021-01-29,CA,CAA,California,39512223,5640225,2910562,14275,7366,2415659,6114,487552,1234,6.11,1.23,,,
2021-01-29,CO,COA,Colorado,5758736,813400,521879,14125,9062,409939,7119,108507,1884,7.12,1.88,,,
2021-01-29,CT,CTA,Connecticut,3565287,577625,403370,16201,11314,329149,9232,67624,1897,9.23,1.9,,,
2021-01-29,DC,DCA,District of Columbia,705749,148325,73328,21017,10390,57152,8098,16112,2283,8.1,2.28,,,
2021-01-29,DD2,DD2,Dept of Defense,0,808800,415720,0,0,353482,0,53084,0,0,0,,,
2021-01-29,DE,DEA,Delaware,973764,143775,87300,14765,8965,72684,7464,14210,1459,7.46,1.46,,,
2021-01-29,FL,FLA,Florida,21477737,3220350,1796246,14994,8363,1554179,7236,236834,1103,7.24,1.1,,,
2021-01-29,FM,FMA,Federated States of Micronesia,103643,19400,3965,18718,3826,3933,3795,5,5,3.79,0,,,
2021-01-29,GA,GAA,Georgia,10617423,1448825,810291,13646,7632,693085,6528,99941,941,6.53,0.94,,,
2021-01-29,GU,GUA,Guam,165768,34300,21254,20692,12822,16747,10103,4358,2629,10.1,2.63,,,
2021-01-29,HI,HIA,Hawaii,1415872,226800,111165,16018,7851,89428,6316,21736,1535,6.32,1.54,,,
2021-01-29,IA,IAA,Iowa,3155070,398600,224347,12634,7111,174655,5536,46785,1483,5.54,1.48,,,
2021-01-29,ID,IDA,Idaho,1787065,221550,108873,12397,6092,88975,4979,18970,1062,4.98,1.06,,,
2021-01-29,IH2,IH2,Indian Health Svc,0,423400,191109,0,0,152563,0,36548,0,0,0,,,
2021-01-29,IL,ILA,Illinois,12671821,1658725,884502,13090,6980,685529,5410,181063,1429,5.41,1.43,,,
2021-01-29,IN,INA,Indiana,6732219,929900,581322,13813,8635,475928,7069,105208,1563,7.07,1.56,,,
2021-01-29,KS,KSA,Kansas,2913314,412375,190540,14155,6540,157720,5414,31482,1081,5.41,1.08,,,
2021-01-29,KY,KYA,Kentucky,4467673,650050,366643,14550,8207,312373,6992,52251,1170,6.99,1.17,,,
2021-01-29,LA,LAA,Louisiana,4648794,620425,398312,13346,8568,339450,7302,58132,1250,7.3,1.25,,,
2021-01-29,MA,MAA,Massachusetts,6892503,1057000,520504,15336,7552,422803,6134,96373,1398,6.13,1.4,,,
2021-01-29,MD,MDA,Maryland,6045680,881675,442565,14584,7320,375525,6211,66582,1101,6.21,1.1,,,
2021-01-29,ME,MEA,Maine,1344212,211150,123207,15708,9166,93513,6957,28255,2102,6.96,2.1,,,
2021-01-29,MH,MHA,Marshall Islands,58413,13600,3928,23282,6725,3661,6267,232,397,6.27,0.4,,,
2021-01-29,MI,MIA,Michigan,9986857,1361500,866663,13633,8678,695236,6962,159723,1599,6.96,1.6,,,
2021-01-29,MN,MNA,Minnesota,5639632,834550,440350,14798,7808,340311,6034,98634,1749,6.03,1.75,,,
2021-01-29,MO,MOA,Missouri,6137428,834700,408441,13600,6655,313161,5102,92389,1505,5.1,1.51,,,
2021-01-29,MP,MPA,Northern Mariana Islands,56882,18650,9548,32787,16786,6486,11403,3058,5376,11.4,5.38,,,
2021-01-29,MS,MSA,Mississippi,2976149,425000,212748,14280,7148,191145,6423,21354,718,6.42,0.72,,,
2021-01-29,MT,MTA,Montana,1068778,141650,92589,13253,8663,71534,6693,21007,1966,6.69,1.97,,,
2021-01-29,NC,NCA,North Carolina,10488084,1400375,851223,13352,8116,729507,6956,120946,1153,6.96,1.15,,,
2021-01-29,ND,NDA,North Dakota,762062,106875,86175,14024,11308,63773,8368,20700,2716,8.37,2.72,,,
2021-01-29,NE,NEA,Nebraska,1934408,288375,158370,14908,8187,120121,6210,37350,1931,6.21,1.93,,,
2021-01-29,NH,NHA,New Hampshire,1359711,203550,117408,14970,8635,92305,6789,25055,1843,6.79,1.84,,,
2021-01-29,NJ,NJA,New Jersey,8882190,1231525,727426,13865,8190,616618,6942,108740,1224,6.94,1.22,,,
2021-01-29,NM,NMA,New Mexico,2096829,317800,238755,15156,11386,189082,9018,46878,2236,9.02,2.24,,,
2021-01-29,NV,NVA,Nevada,3080156,339900,210185,11035,6824,179805,5838,29163,947,5.84,0.95,,,
2021-01-29,NY,NYA,New York State,19453561,2823575,1703218,14514,8755,1359970,6991,271874,1398,6.99,1.4,,,
2021-01-29,OH,OHA,Ohio,11689100,1553900,843099,13294,7213,716677,6131,125794,1076,6.13,1.08,,,
2021-01-29,OK,OKA,Oklahoma,3956971,594925,386688,15035,9772,323625,8179,60680,1533,8.18,1.53,,,
2021-01-29,OR,ORA,Oregon,4217737,614525,359391,14570,8521,299508,7101,58664,1391,7.1,1.39,,,
2021-01-29,PA,PAA,Pennsylvania,12801989,1973775,972742,15418,7598,777260,6071,193432,1511,6.07,1.51,,,
2021-01-29,PR,PRA,Puerto Rico,3193694,530850,224303,16622,7023,174840,5475,48196,1509,5.47,1.51,,,
2021-01-29,RI,RIA,Rhode Island,1059361,157525,83607,14870,7892,63263,5972,20321,1918,5.97,1.92,,,
2021-01-29,RP,RPA,Republic of Palau,17907,6000,3089,33506,17250,3088,17245,1,6,17.24,0.01,,,
2021-01-29,SC,SCA,South Carolina,5148714,558050,385158,10839,7481,322195,6258,60974,1184,6.26,1.18,,,
2021-01-29,SD,SDA,South Dakota,884659,123800,97231,13994,10991,70502,7969,26665,3014,7.97,3.01,,,
2021-01-29,TN,TNA,Tennessee,6829174,953600,545921,13964,7994,400950,5871,143592,2103,5.87,2.1,,,
2021-01-29,TX,TXA,Texas,28995881,3659550,2219867,12621,7656,1804291,6223,413844,1427,6.22,1.43,,,
2021-01-29,UT,UTA,Utah,3205958,401375,271127,12520,8457,219468,6846,40909,1276,6.85,1.28,,,
2021-01-29,VA,VAA,Virginia,8535519,1186375,724768,13899,8491,598853,7016,99790,1169,7.02,1.17,,,
2021-01-29,VA2,VA2,Veterans Health,0,1367700,841497,0,0,688872,0,151793,0,0,0,,,
2021-01-29,VI,VIA,Virgin Islands,104680,17075,5256,16312,5021,4367,4172,889,849,4.17,0.85,,,
2021-01-29,VT,VTA,Vermont,623989,99750,61737,15986,9894,47485,7610,14168,2271,7.61,2.27,,,
2021-01-29,WA,WAA,Washington,7614893,1005500,607071,13204,7972,496008,6514,99955,1313,6.51,1.31,,,
2021-01-29,WI,WIA,Wisconsin,5822434,793750,406869,13633,6988,339296,5827,65354,1122,5.83,1.12,,,
2021-01-29,WV,WVA,West Virginia,1792147,278400,239963,15534,13390,181839,10146,58113,3243,10.15,3.24,,,
2021-01-29,WY,WYA,Wyoming,578759,85750,49166,14816,8495,41441,7160,7674,1326,7.16,1.33,,,
2021-01-29,US,USA,United States,331996199,49216500,27884661,,,22858318,,4780888,,6.89,1.44,12619210,15164858,100593
2021-01-29,LTC,LTC,Long Term Care,,,3314266,,,,,,,0,0,,,
