Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-10,AK,AKA,Alaska,731545,260300,156255,35582,21360,112448,15371,43552,5953,15.4,6,,,
2021-02-10,AL,ALA,Alabama,4903185,861175,515802,17564,10520,412462,8412,102520,2091,8.4,2.1,,,
2021-02-10,AR,ARA,Arkansas,3017804,581875,418054,19281,13853,311339,10317,103669,3435,10.3,3.4,,,
2021-02-10,AS,ASA,American Samoa,55689,29450,13318,52883,23915,9818,17630,3494,6274,17.6,6.3,,,
2021-02-10,AZ,AZA,Arizona,7278717,1370175,897757,18824,12334,719051,9879,177565,2440,9.9,2.4,,,
2021-02-10,BP2,BP2,Bureau of Prisons,0,42475,42751,0,0,27564,0,15085,0,0,0,,,
2021-02-10,CA,CAA,California,39512223,7607100,4957297,19253,12546,3994969,10111,928615,2350,10.1,2.4,,,
2021-02-10,CO,COA,Colorado,5758736,1110575,787041,19285,13667,557204,9676,225626,3918,9.7,3.9,,,
2021-02-10,CT,CTA,Connecticut,3565287,801325,574750,22476,16121,423296,11873,142918,4009,11.9,4,,,
2021-02-10,DC,DCA,District of Columbia,705749,179725,108475,25466,15370,75351,10677,26957,3820,10.7,3.8,,,
2021-02-10,DD2,DD2,Dept of Defense,0,1012225,657414,0,0,511923,0,135576,0,0,0,,,
2021-02-10,DE,DEA,Delaware,973764,183250,130116,18819,13362,103319,10610,26054,2676,10.6,2.7,,,
2021-02-10,FL,FLA,Florida,21477737,4258875,2835535,19829,13202,2064585,9613,756678,3523,9.6,3.5,,,
2021-02-10,FM,FMA,Federated States of Micronesia,103643,30000,8017,28946,7735,7744,7472,246,237,7.5,0.2,,,
2021-02-10,GA,GAA,Georgia,10617423,1914800,1223850,18035,11527,946505,8915,251946,2373,8.9,2.4,,,
2021-02-10,GU,GUA,Guam,165768,51300,32443,30947,19571,25308,15267,6873,4146,15.3,4.1,,,
2021-02-10,HI,HIA,Hawaii,1415872,296250,194035,20924,13704,142259,10047,42472,3000,10,3,,,
2021-02-10,IA,IAA,Iowa,3155070,540375,368759,17127,11688,268974,8525,95650,3032,8.5,3,,,
2021-02-10,ID,IDA,Idaho,1787065,310025,205379,17348,11493,155238,8687,39608,2216,8.7,2.2,,,
2021-02-10,IH2,IH2,Indian Health Svc,0,662850,306717,0,0,224869,0,77250,0,0,0,,,
2021-02-10,IL,ILA,Illinois,12671821,2327100,1539781,18364,12151,1198096,9455,314687,2483,9.5,2.5,,,
2021-02-10,IN,INA,Indiana,6732219,1291675,795702,19186,11819,617918,9179,177231,2633,9.2,2.6,,,
2021-02-10,KS,KSA,Kansas,2913314,553750,319662,19008,10972,241127,8277,76561,2628,8.3,2.6,,,
2021-02-10,KY,KYA,Kentucky,4467673,840400,584947,18811,13093,442691,9909,139605,3125,9.9,3.1,,,
2021-02-10,LA,LAA,Louisiana,4648794,882350,639019,18980,13746,448139,9640,189574,4078,9.6,4.1,,,
2021-02-10,MA,MAA,Massachusetts,6892503,1393725,883945,20221,12825,687093,9969,194968,2829,10,2.8,,,
2021-02-10,MD,MDA,Maryland,6045680,1101200,721159,18215,11929,551581,9124,168844,2793,9.1,2.8,,,
2021-02-10,ME,MEA,Maine,1344212,285800,193246,21262,14376,141778,10547,49721,3699,10.5,3.7,,,
2021-02-10,MH,MHA,Marshall Islands,58413,21000,5260,35951,9005,4729,8096,493,844,8.1,0.8,,,
2021-02-10,MI,MIA,Michigan,9986857,1865325,1358924,18678,13607,971480,9728,371358,3718,9.7,3.7,,,
2021-02-10,MN,MNA,Minnesota,5639632,1058225,745290,18764,13215,541133,9595,160794,2851,9.6,2.9,,,
2021-02-10,MO,MOA,Missouri,6137428,1021500,669658,16644,10911,507801,8274,154987,2525,8.3,2.5,,,
2021-02-10,MP,MPA,Northern Mariana Islands,56882,29650,12530,52125,22028,8174,14370,4348,7644,14.4,7.6,,,
2021-02-10,MS,MSA,Mississippi,2976149,570075,345507,19155,11609,277287,9317,67829,2279,9.3,2.3,,,
2021-02-10,MT,MTA,Montana,1068778,192125,144343,17976,13505,106038,9921,37966,3552,9.9,3.6,,,
2021-02-10,NC,NCA,North Carolina,10488084,1831875,1336079,17466,12739,1033527,9854,300991,2870,9.9,2.9,,,
2021-02-10,ND,NDA,North Dakota,762062,143400,130019,18817,17061,88917,11668,39154,5138,11.7,5.1,,,
2021-02-10,NE,NEA,Nebraska,1934408,398575,241067,20604,12462,169053,8739,70566,3648,8.7,3.6,,,
2021-02-10,NH,NHA,New Hampshire,1359711,277225,176192,20389,12958,125466,9227,50602,3722,9.2,3.7,,,
2021-02-10,NJ,NJA,New Jersey,8882190,1688975,1148733,19015,12933,883576,9948,259944,2927,9.9,2.9,,,
2021-02-10,NM,NMA,New Mexico,2096829,411350,354627,19618,16913,258073,12308,92720,4422,12.3,4.4,,,
2021-02-10,NV,NVA,Nevada,3080156,521200,366333,16921,11893,291370,9460,73088,2373,9.5,2.4,,,
2021-02-10,NY,NYA,New York State,19453561,3731300,2535824,19181,13035,1833754,9426,619504,3185,9.4,3.2,,,
2021-02-10,OH,OHA,Ohio,11689100,2151175,1406437,18403,12032,1077597,9219,326984,2797,9.2,2.8,,,
2021-02-10,OK,OKA,Oklahoma,3956971,779400,606406,19697,15325,440614,11135,162188,4099,11.1,4.1,,,
2021-02-10,OR,ORA,Oregon,4217737,831350,589035,19711,13966,434561,10303,152361,3612,10.3,3.6,,,
2021-02-10,PA,PAA,Pennsylvania,12801989,2437975,1538058,19044,12014,1176825,9193,356869,2788,9.2,2.8,,,
2021-02-10,PR,PRA,Puerto Rico,3193694,651350,324368,20395,10157,242200,7584,80807,2530,7.6,2.5,,,
2021-02-10,RI,RIA,Rhode Island,1059361,208350,124962,19668,11796,87862,8294,37051,3497,8.3,3.5,,,
2021-02-10,RP,RPA,Republic of Palau,17907,9200,3527,51377,19696,3109,17362,418,2334,17.4,2.3,,,
2021-02-10,SC,SCA,South Carolina,5148714,732700,608062,14231,11810,475116,9228,126831,2463,9.2,2.5,,,
2021-02-10,SD,SDA,South Dakota,884659,173275,136438,19587,15423,94744,10710,41607,4703,10.7,4.7,,,
2021-02-10,TN,TNA,Tennessee,6829174,1225075,839686,17939,12296,577121,8451,259283,3797,8.5,3.8,,,
2021-02-10,TX,TXA,Texas,28995881,5010525,3568618,17280,12307,2672352,9216,893767,3082,9.2,3.1,,,
2021-02-10,UT,UTA,Utah,3205958,554050,510267,17282,15916,307059,9578,105704,3297,9.6,3.3,,,
