Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-05-17,US,USA,United States,331996199,Report,344503595,274411901,103767,82655,117247242,147265442,9697720,201497,157827208,47.5,34.4,154478960,59.8,269470307,104393,133461,46273886,84.6,85443706,156213,629841,114218305,112714746,43.7,143498840,180809655,20195100,0,50179820,63984314,9612281,51809,50068998,62534898,9582936,51643,19119531,18972142,1701166,22073,123828224,37.3,122238476,47.4,39814913,72.8,85443706,280216744,274353136,97907,122942,157774165,56.3,114212524,40.8,123820066,44.2,50176827,63980682,9610772,51784,274353136,,,,
2021-05-17,AK,AKA,Alaska,731545,Report,792755,587406,108367,80297,260436,309335,17546,89,321214,43.9,35.7,311164,56.4,571073,103537,143729,72462,79.1,136604,149151,865566,260828,254556,46.2,345300,391755,55700,0,119301,141503,16277,24,119009,135523,16203,24,38630,27208,1855,15,277105,37.9,270759,49.1,67708,73.9,131021,608877,587197,96439,130200,321001,52.7,260825,42.8,277100,45.5,119300,141501,16275,24,562980,,,,
2021-05-17,AL,ALA,Alabama,4903185,Report,4373130,2886153,89190,58863,1384992,1411378,89783,0,1699915,34.7,25.7,1685904,44.2,2865079,75103,114634,637422,75,1129031,132853,514585,1259206,1251775,32.8,1953900,2151630,267600,0,609493,649639,91624,74,609341,642360,91584,74,285630,227414,27133,46,1350830,27.6,1343359,35.2,540223,63.6,1085933,4186880,2885869,68926,104448,1699637,40.6,1259194,30.1,1350816,32.3,609487,649633,91622,74,2761992,,,,
2021-05-17,AR,ARA,Arkansas,3017804,Report,2720090,1970379,90135,65292,933906,974309,61661,503,1136470,37.7,27.3,1117390,48.2,1941883,83787,117364,392202,74.9,708549,135250,519218,824885,815405,35.2,1206440,1339650,174000,0,408573,416193,60243,119,408045,407243,59952,117,187374,126733,9770,82,885128,29.3,875357,37.8,323959,61.8,674475,2557248,1968892,76993,106368,1135037,44.4,824846,32.3,884982,34.6,408569,416158,60136,119,1895650,,,,
2021-05-17,AS,ASA,American Samoa,55689,Report,54030,40525,97021,72770,9382,31121,22,0,22498,40.4,32.6,21702,50,39129,90082,124387,2500,26.4,4640,49012,570719,18153,17556,40.4,15600,37830,600,0,4105,14048,29,0,4094,13462,29,0,892,1330,6,0,18182,32.6,17585,40.5,2228,23.5,4640,47557,40523,85209,113611,22497,47.3,18152,38.2,18181,38.2,4104,14048,29,0,40523,,,,
2021-05-17,AZ,AZA,Arizona,7278717,Report,7465065,5618126,102560,77186,2468389,2974503,171468,3766,3188365,43.8,31.4,3122206,55.4,5515246,97814,132395,1061533,81.1,1989731,152047,570448,2283933,2250122,39.9,3119120,3937245,408700,0,1014392,1268305,165080,1236,1014178,1234710,164980,1234,432487,415634,31312,769,2449013,33.6,2415102,42.8,880202,67.3,1862171,6206060,5617745,90520,120287,3188079,51.4,2283898,36.8,2448944,39.5,1014379,1268283,165046,1236,5220054,,,,
2021-05-17,BP2,BP2,Bureau of Prisons,0,Report,177850,171038,0,0,67688,98916,4434,0,95946,0,0,95945,0,171037,0,0,3194,0,5987,0,0,74310,74310,0,70300,99450,8100,0,28532,45778,4414,0,28532,45778,4414,0,1352,1406,64,0,78724,0,78724,0,2822,0,5987,0,171037,0,0,95945,0,74310,0,78724,0,28532,45778,4414,0,171037,,,,
2021-05-17,CA,CAA,California,39512223,Report,44241580,35341738,111969,89445,15159823,18932208,1245409,4298,21092951,53.4,35.6,20505611,67,34492188,112655,144497,5222772,89.5,9244960,158355,757806,14052754,13791614,45,18245640,23468640,2527300,0,6228659,7822977,1235129,1118,6217580,7572936,1230450,1098,2114155,1828763,129455,486,15287883,38.7,15022064,49.1,4072859,69.8,8997849,33646265,35329306,105002,131490,21081215,62.7,14052100,41.8,15286990,45.4,6228299,7822683,1234890,1118,34638512,,,,
2021-05-17,CO,COA,Colorado,5758736,Report,6403480,5187825,111196,90086,2287491,2727155,171819,1360,2914464,50.6,38.4,2834479,63,5066230,112602,142324,714005,84.8,1356953,161079,760136,2211162,2169900,48.2,2700400,3382080,321000,0,1009493,1201280,169604,389,1007543,1161973,168904,384,317581,301862,15458,169,2380766,41.3,2338804,52,635070,75.4,1315645,4936061,5186464,105073,129729,2913132,59,2211140,44.8,2380727,48.2,1009483,1201268,169587,389,5020468,,,,
2021-05-17,CT,CTA,Connecticut,3565287,Report,4238825,3736215,118892,104794,1495187,2099244,141494,290,2118098,59.4,44.8,2052464,72.3,3640570,128286,149368,581221,92.2,1110200,176154,672569,1595581,1567130,55.2,1715480,2283645,239700,0,661299,934215,141662,67,660993,906071,141542,66,207949,308291,14475,22,1737243,48.7,1708672,60.2,530737,84.2,1080949,3105947,3734768,120246,136474,2117009,68.2,1595271,51.4,1736867,55.9,661105,934099,141596,67,3660546,,,,
