Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-03-06,AK,AKA,Alaska,731545,426715,288625,58331,39454,177865,24314,110078,15047,24.4,15,Report,289004,178237,110053,177272,109498,32.1,19.9,551562,77365,287102,52053,,,
2021-03-06,AL,ALA,Alabama,4903185,1628350,1099697,33210,22428,703725,14352,393619,8028,14.7,8.2,Report,1125654,721109,402061,720846,402028,18.9,10.5,3814879,42684,1099407,28819,,,
2021-03-06,AR,ARA,Arkansas,3017804,1088150,744139,36058,24658,475550,15758,264478,8764,15.8,8.8,Report,746488,477127,265226,476916,265184,20.6,11.4,2317649,46951,743900,32097,,,
2021-03-06,AS,ASA,American Samoa,55689,43210,21625,77592,38832,13386,24037,8208,14739,24.2,14.8,Report,21751,13468,8252,13258,8165,30.5,18.8,43437,99477,21328,49101,,,
2021-03-06,AZ,AZA,Arizona,7278717,2623735,2043739,36047,28078,1358649,18666,674523,9267,18.3,9.1,Report,2001607,1328642,662235,1326561,661689,23.5,11.7,5638481,46533,2040701,36192,,,
2021-03-06,BP2,BP2,Bureau of Prisons,0,65335,71759,0,0,43896,0,27625,0,0,0,Report,71759,43896,27625,43894,27624,0,0,0,0,71756,0,,,
2021-03-06,CA,CAA,California,39512223,13885120,10415023,35141,26359,7087399,17937,3263993,8261,17.9,8.2,Report,10397721,7075139,3259014,7070328,3257856,23.1,10.6,30617582,45350,10408981,33997,,,
2021-03-06,CO,COA,Colorado,5758736,2019460,1580162,35068,27439,1019833,17709,549267,9538,17.7,9.5,Report,1579956,1019416,549441,1018959,549299,22.6,12.2,4499217,44885,1579562,35107,,,
2021-03-06,CT,CTA,Connecticut,3565287,1434565,1157114,40237,32455,826089,23170,320257,8983,23.1,9,Report,1154695,822106,321484,821249,321219,28.9,11.3,2837847,50551,1155911,40732,,,
2021-03-06,DC,DCA,District of Columbia,705749,337095,220634,47764,31262,140976,19975,79089,11206,13.5,7,Report,144892,95302,49150,95285,49148,16.5,8.5,577581,58363,220609,38195,,,
2021-03-06,DD2,DD2,Dept of Defense,0,1711265,1094565,0,0,738100,0,345622,0,0,0,Report,1094565,738100,345622,737819,345570,0,0,0,0,1094232,0,,,
2021-03-06,DE,DEA,Delaware,973764,361765,264601,37151,27173,166987,17149,96374,9897,16.8,9.6,Report,258810,163954,93706,163896,93689,21.3,12.2,770192,46971,264524,34345,,,
2021-03-06,FL,FLA,Florida,21477737,7771315,5688357,36183,26485,3641725,16956,2006907,9344,16.6,9.2,Report,5592204,3574315,1978276,3571061,1977915,20.7,11.5,17247808,45057,5684682,32959,,,
2021-03-06,FM,FMA,Federated States of Micronesia,103643,34000,17624,32805,17005,11175,10782,6343,6120,10.9,6.1,Report,17772,11290,6374,11286,6374,14,7.9,80842,42057,17620,21796,,,
