Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
2021-10-09,US,USA,United States,331996199,Report,487277035,401819240,146772,121031,152840025,233393286,15178784,407145,216889814,65.3,51.9,202048619,78.2,374692726,145084,188677,51939651,95,102478350,187358,890873,172370172,160236329,62,191245660,272611725,23400300,19350,69075289,103083921,14944176,112085,68996279,91032204,14916760,109822,21915593,21776507,2179377,48909,187215471,56.4,175055065,67.8,45920386,84,102478350,283545812,401453944,141583,171851,216656832,76.4,172240385,60.7,187082616,66,69071810,102957711,14941085,112010,401453944,40,7786263,4.2,6507773,7,7765892,4.4,5023834,10.9,1495618,6276959,9506,4180
2021-10-09,AK,AKA,Alaska,731545,Report,1093025,812327,149413,111043,316554,460539,34742,492,423561,57.9,46.8,391896,71.1,753769,136661,198169,79619,86.9,161371,176192,1193420,342156,315878,57.3,432520,592005,68500,0,142706,199154,32436,67,142319,173271,32300,62,41218,29991,3116,28,374363,51.2,347952,63.1,74353,81.2,154415,608877,810103,133049,179515,422217,69.3,341292,56.1,373497,61.3,142702,198294,32434,67,756520,,,,,,,,,,,,,
2021-10-09,AL,ALA,Alabama,4903185,Report,6858210,4630089,139873,94430,2023372,2467405,139245,67,2609534,53.2,40.6,2472026,64.8,4390697,115094,179775,739638,87,1391124,163693,807003,1988702,1886891,49.5,3053020,3494790,310400,0,908853,1078284,141378,411,908430,976900,141296,410,339452,267644,34456,266,2128926,43.4,2027036,53.1,641818,75.5,1342996,4186880,4629652,110575,163802,2609133,62.3,1988633,47.5,2128849,50.8,908842,1078227,141369,411,4477321,,,,,,,,,,,,,
2021-10-09,AR,ARA,Arkansas,3017804,Report,4178290,3092442,138455,102473,1318818,1671175,99534,2915,1698853,56.3,43.1,1580844,68.2,2882172,124358,180281,451158,86.1,870549,166173,797563,1300702,1209462,52.2,1814760,2167830,195700,0,593872,705440,97687,730,592804,615326,97174,703,217629,153848,14198,414,1397729,46.3,1306007,56.4,386089,73.7,832765,2557248,3087193,120723,163390,1695033,66.3,1299331,50.8,1396240,54.6,593864,704079,97569,728,2998219,,,,,,,,,,,,,
2021-10-09,AS,ASA,American Samoa,55689,Report,68550,63460,123094,113954,16916,45997,546,1,34619,62.2,51.8,28733,66.2,52734,121577,158040,2879,30.5,5396,57185,726473,28853,24049,55.4,18600,49350,600,0,7626,21225,554,0,7611,16436,553,0,1099,1488,25,0,29405,52.8,24600,56.7,2612,27.7,5396,47557,63442,133402,144143,34608,72.8,28846,60.7,29398,61.8,7625,21219,554,0,63442,,,,,,,,,,,,,
2021-10-09,AZ,AZA,Arizona,7278717,Report,10172860,8393061,139762,115310,3368871,4717217,292463,14510,4361465,59.9,47.9,4054426,71.9,7820532,138699,180418,1172657,89.6,2428358,185564,777365,3487643,3235570,57.4,4082080,5627580,463200,0,1463304,2017732,282742,4336,1462717,1766310,282332,4285,500858,479388,46050,2311,3768114,51.8,3515644,62.4,1028607,78.6,2286040,6206060,8391946,135222,163918,4360496,70.3,3487495,56.2,3767732,60.7,1463279,2017611,282507,4335,7875262,,,,,,,,,,,,,
2021-10-09,BP2,BP2,Bureau of Prisons,0,Report,258200,232118,0,0,94051,126322,11734,11,124475,0,0,124473,0,232116,0,0,3548,0,6948,0,0,106811,106811,0,109880,135720,12600,0,45163,61596,11701,0,45163,61596,11700,0,1682,1649,171,0,118460,0,118459,0,3502,0,6948,0,232116,0,0,124473,0,106811,0,118459,0,45163,61596,11700,0,232116,,,,,,,,,,,,,
2021-10-09,CA,CAA,California,39512223,Report,59727285,51722146,151162,130902,19548118,30281886,1878467,13675,28702459,72.6,55.1,26502018,86.6,47736301,155911,195075,5895595,99.9,11120115,190474,1023060,21759331,19981391,65.3,22768300,34128585,2830400,0,8599646,13137430,1865701,4084,8574210,11385285,1858199,3815,2390968,2172580,186178,1277,23606861,59.7,21821509,71.3,4751003,81.4,10840612,33646265,51592215,153337,177515,28621721,85.1,21710731,64.5,23557908,70,8599215,13089273,1865345,4075,50632903,,,,,,,,,,,,,
2021-10-09,CO,COA,Colorado,5758736,Report,8414945,7311177,146125,126958,2853551,4180451,272058,5117,3809280,66.1,55.4,3529224,78.4,6783477,150770,187031,774529,91.9,1609795,191094,998911,3191451,2946651,65.5,3305640,4731105,378200,0,1312023,1875183,267392,1507,1308372,1634140,266195,1454,343241,342240,24120,533,3456105,60,3210161,71.3,710134,84.3,1563778,4936061,7291014,147709,170479,3797410,76.9,3183354,64.5,3447983,69.9,1312006,1867104,267367,1506,7068945,,,,,,,,,,,,,
2021-10-09,CT,CTA,Connecticut,3565287,Report,5766015,5150595,161727,144465,1879418,3063245,206943,989,2750654,77.2,63.7,2543285,89.6,4761328,167780,203183,638645,99.9,1294733,205434,914886,2269622,2092423,73.7,2297400,3198315,270300,0,881970,1386349,206157,348,881579,1209636,205983,267,229903,333143,20529,71,2474824,69.4,2297465,81,583646,92.6,1262391,3105947,5148863,165774,185644,2749318,88.5,2269230,73.1,2474352,79.7,881765,1386165,206077,345,5063512,,,,,,,,,,,,,
