Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-05-19,US,USA,United States,331996199,Report,349210095,277290173,105185,83522,118181211,149068615,9836616,203731,159174963,47.9,34.9,155350175,60.2,271815033,105301,135284,46335656,84.7,85695203,156673,638446,115712219,114114307,44.2,144876960,184031835,20301300,0,50785066,64872207,9743643,52507,50664546,63333040,9712373,52317,19168464,19027013,1713314,22419,125453423,37.8,123762276,47.9,39931211,73,85695203,280216744,277219831,98931,124621,159110424,56.8,115706369,41.3,125445164,44.8,50782045,64868523,9742114,52481,277219831,,,,
2021-05-19,AK,AKA,Alaska,731545,Report,797805,590878,109058,80771,261166,311675,17948,89,323863,44.3,35.8,312396,56.6,573070,103899,144645,72571,79.2,136775,149337,871080,261638,255304,46.3,346240,395265,56300,0,119698,141916,16667,24,119406,135874,16593,24,38697,27232,1885,15,278305,38,271897,49.3,67829,74.1,131182,608877,590552,96990,131029,323533,53.1,261635,43,278300,45.7,119697,141914,16665,24,566292,,,,
2021-05-19,AL,ALA,Alabama,4903185,Report,4393980,2906102,89615,59270,1395289,1419606,91207,0,1709761,34.9,25.9,1694451,44.4,2883512,75586,115180,638619,75.1,1132031,133206,517038,1269752,1262079,33.1,1968800,2157480,267700,0,615523,654153,93082,76,615368,646635,93042,76,286850,228015,27333,48,1362834,27.8,1355121,35.5,542246,63.8,1088888,4186880,2905817,69403,104946,1709480,40.8,1269740,30.3,1362820,32.5,615517,654147,93080,76,2781433,,,,
2021-05-19,AR,ARA,Arkansas,3017804,Report,2721900,1981006,90195,65644,938563,979810,62127,506,1142312,37.9,27.5,1121455,48.4,1950522,84160,117442,392674,75,709654,135461,519564,829633,819958,35.4,1206880,1340820,174200,0,411376,418133,60695,124,410830,409007,60400,121,187805,126912,9842,85,890328,29.5,880358,38,324644,62,675526,2557248,1979395,77403,106439,1140758,44.6,829594,32.4,890184,34.8,411372,418098,60590,124,1905932,,,,
2021-05-19,AS,ASA,American Samoa,55689,Report,54030,41461,97021,74451,9760,31675,26,0,22964,41.2,33.4,22111,50.9,39988,92060,124387,2525,26.7,4689,49530,570719,18622,18005,41.5,15600,37830,600,0,4215,14407,33,0,4203,13802,33,0,900,1347,7,0,18655,33.5,18038,41.5,2254,23.8,4689,47557,41459,87177,113611,22963,48.3,18621,39.2,18654,39.2,4214,14407,33,0,41459,,,,
2021-05-19,AZ,AZA,Arizona,7278717,Report,7538145,5663654,103564,77811,2486620,2999544,173616,3874,3212922,44.1,31.6,3138282,55.7,5550735,98444,133691,1063520,81.3,1994435,152406,576032,2303441,2268459,40.2,3128820,4000425,408900,0,1024912,1277262,167126,1267,1024693,1242501,167025,1265,434061,416381,31700,786,2470567,33.9,2435484,43.2,882928,67.5,1866807,6206060,5663265,91254,121464,3212624,51.8,2303405,37.1,2470497,39.8,1024899,1277239,167092,1267,5265143,,,,
2021-05-19,BP2,BP2,Bureau of Prisons,0,Report,182350,172022,0,0,68445,99041,4536,0,96101,0,0,96100,0,172021,0,0,3196,0,6006,0,0,75136,75136,0,73200,99450,9700,0,29237,45899,4513,0,29237,45899,4513,0,1368,1407,66,0,79649,0,79649,0,2841,0,6006,0,172021,0,0,96100,0,75136,0,79649,0,29237,45899,4513,0,172021,,,,
2021-05-19,CA,CAA,California,39512223,Report,45321600,35767717,114703,90523,15276051,19232404,1254873,4389,21273160,53.8,36.2,20607190,67.3,34821174,113729,148025,5230815,89.6,9275569,158880,776305,14296788,14017252,45.8,18567820,24208080,2545700,0,6306265,7989377,1244556,1146,6294525,7721605,1239787,1122,2119635,1845489,130429,493,15541344,39.3,15257039,49.8,4096046,70.2,9028229,33646265,35750119,106253,134700,21256276,63.2,14296120,42.5,15540431,46.2,6305903,7989072,1244311,1145,35057201,,,,
2021-05-19,CO,COA,Colorado,5758736,Report,6503100,5251141,112926,91186,2307897,2767386,174463,1395,2944194,51.1,39,2852711,63.4,5116458,113719,144538,715452,84.9,1360588,161511,771962,2243196,2200427,48.9,2710900,3471000,321200,0,1022872,1219921,172184,403,1020819,1179210,171473,398,318519,302928,15750,174,2415380,41.9,2371900,52.7,637371,75.7,1319238,4936061,5248998,106340,131747,2942086,59.6,2243172,45.4,2415339,48.9,1022862,1219907,172167,403,5082638,,,,
2021-05-19,CT,CTA,Connecticut,3565287,Report,4327815,3773346,121388,105836,1504674,2125221,143159,292,2135973,59.9,45.3,2061019,72.6,3665654,129170,152503,581867,92.3,1111853,176416,686689,1613862,1583391,55.8,1721300,2366715,239800,0,668315,945480,143322,67,668004,915321,143199,66,208475,308723,14646,22,1757184,49.3,1726590,60.8,531866,84.4,1082580,3105947,3771888,121441,139340,2134874,68.7,1613551,52,1756807,56.6,668121,945363,143256,67,3697473,,,,
