Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Per_100k_18Plus,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-14,US,USA,United States,331996199,Report,135847835,107060274,40918,32247,51951820,53708091,1273958,126405,69784210,21,10.9,69643985,27,106872602,41403,34670078,63.4,53903216,98549,36191541,36145239,14,52628,67294900,64832235,3720700,0,17362902,18801077,1267939,27351,17353953,18763747,1266747,27329,9064484,9645078,424911,7914,37459269,11.3,37411776,14.5,19142387,35,,,,
2021-03-14,AK,AKA,Alaska,731545,Report,472395,333357,64575,45569,152153,180738,410,56,202410,27.7,17.8,200197,36.3,329895,59811,63160,69,112633,122978,130433,129185,23.4,85647,233200,230295,8900,0,57514,72912,424,7,57464,71714,422,7,29804,20832,51,3,130857,17.9,129607,23.5,50690,55.3,,,,
2021-03-14,AL,ALA,Alabama,4903185,Report,1918560,1298612,39129,26485,669719,610308,18585,0,849337,17.3,9.8,848731,22.2,1297874,34021,452254,53.2,708599,83381,478509,478368,12.5,50292,988800,875160,54600,0,242786,235704,19144,19,242768,235581,19144,19,147819,122762,8035,11,497653,10.1,497512,13,278627,32.8,,,,
2021-03-14,AR,ARA,Arkansas,3017804,Report,1251620,882630,41475,29247,446502,428930,7045,153,579157,19.2,10,578399,25,881768,38046,299383,57.1,445632,85063,302684,302557,13.1,54004,638300,580320,33000,0,151638,151012,7143,34,151620,150903,7141,34,88071,59786,2496,26,309827,10.3,309698,13.4,150379,28.7,,,,
2021-03-14,AS,ASA,American Samoa,55689,Report,43210,23696,77592,42551,5238,18458,0,0,15083,27.1,15.6,14633,33.7,23057,53081,1978,20.9,3318,35048,8712,8524,19.6,99477,12400,30810,0,0,2113,6599,1,0,2112,6412,1,0,567,825,0,0,8713,15.6,8525,19.6,1392,14.7,,,,
2021-03-14,AZ,AZA,Arizona,7278717,Report,3024585,2557630,41554,35138,1176339,1368138,12402,751,1602626,22,12.1,1597646,28.3,2549559,45217,813030,62.1,1307900,99944,879985,878035,15.6,53642,1474000,1470885,79700,0,382282,497440,11516,263,382237,495535,11513,263,201087,247699,3795,178,891501,12.2,889548,15.8,452759,34.6,,,,
2021-03-14,BP2,BP2,Bureau of Prisons,0,Report,75690,80683,0,0,32274,48409,0,0,49551,0,0,49551,0,80683,0,2273,0,3713,0,30731,30731,0,0,31800,43290,600,0,11573,19158,0,0,11573,19158,0,0,555,860,0,0,30731,0,30731,0,1415,0,,,,
2021-03-14,CA,CAA,California,39512223,Report,16376020,11883375,41445,30075,5742313,6090887,49952,223,8027407,20.3,9.5,8011007,26.2,11863209,38746,3908391,66.9,5882142,100754,3770525,3766915,12.3,53486,8024400,7877220,474400,0,1806970,1963513,49353,42,1806331,1960542,49264,42,953942,974205,8428,30,3819878,9.7,3816179,12.5,1936605,33.2,,,,
2021-03-14,CO,COA,Colorado,5758736,Report,2345060,1878639,40722,32622,916766,929558,31838,477,1200280,20.8,11.5,1198404,26.6,1876198,41701,595559,70.7,964181,114455,664054,663487,14.7,52122,1170100,1116960,58000,0,319473,344478,31132,103,319421,343963,31097,103,179549,181537,4522,57,695186,12.1,694584,15.4,365665,43.4,,,,
2021-03-14,CT,CTA,Connecticut,3565287,Report,1659085,1411532,46534,39591,629223,750002,32187,120,933367,26.2,13,932089,32.8,1409493,49668,480096,76.2,746285,118412,464402,463785,16.3,58463,769500,846885,42700,0,200680,263706,32041,16,200532,263237,32017,16,82346,173172,3556,10,496443,13.9,495802,17.5,259084,41.1,,,,
