Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
2021-10-13,US,USA,United States,331996199,Report,489254145,404371247,147367,121800,153216702,235518908,15225611,410026,217627490,65.6,52.1,202709628,78.5,377068161,146003,189443,52099711,95.3,103376125,188999,894488,173048555,160816656,62.3,191757340,273968655,23508800,19350,69250329,103584378,14989892,112960,69171147,91434874,14962422,110610,21937275,21833690,2182657,49247,187937559,56.6,175679053,68,46002869,84.1,103376125,283545812,404005260,142483,172549,217393999,76.7,172918622,61,187804552,66.2,69246843,103458029,14986795,112885,404005260,40,8903874,4.7,7398759,7.9,8882689,5.1,5674763,12.3,1548611,7340853,10029,4381
2021-10-13,AK,AKA,Alaska,731545,Report,1095895,818386,149806,111871,317365,465595,34934,492,424831,58.1,46.9,393026,71.3,759502,137700,198689,79799,87.1,162976,177945,1196550,343095,316638,57.4,434120,593175,68600,0,142955,199838,32622,67,142565,173779,32486,62,41245,30042,3124,28,375482,51.3,348892,63.3,74439,81.3,156014,608877,816159,134043,179986,423485,69.6,342230,56.2,374615,61.5,142951,198977,32620,67,762558,,,,,,,,,,,,,
2021-10-13,AL,ALA,Alabama,4903185,Report,6884990,4660146,140419,95043,2031359,2489140,139580,67,2617643,53.4,40.8,2479446,65,4418786,115830,180477,741083,87.2,1400423,164787,810154,2000205,1897131,49.7,3065060,3508830,311100,0,913318,1085293,141694,419,912893,982648,141612,418,340017,268364,34489,274,2140724,43.7,2037571,53.4,643144,75.7,1352177,4186880,4659703,111293,164442,2617239,62.5,2000133,47.8,2140644,51.1,913307,1085233,141685,419,4507120,,,,,,,,,,,,,
2021-10-13,AR,ARA,Arkansas,3017804,Report,4185410,3112886,138691,103151,1322569,1687664,99731,2922,1703875,56.5,43.3,1585344,68.4,2901297,125183,180589,452107,86.3,877377,167476,798922,1306985,1214968,52.4,1816300,2173410,195700,0,595984,709594,97876,738,594915,618705,97362,710,217900,154606,14212,417,1404192,46.5,1311692,56.6,387135,73.9,839546,2557248,3107631,121522,163669,1700049,66.5,1305612,51.1,1402700,54.9,595976,708231,97757,736,3018545,,,,,,,,,,,,,
2021-10-13,AS,ASA,American Samoa,55689,Report,68550,63460,123094,113954,16916,45997,546,1,34620,62.2,51.8,28734,66.2,52734,121577,158040,2879,30.5,5396,57185,726473,28853,24049,55.4,18600,49350,600,0,7626,21225,554,0,7611,16436,553,0,1099,1488,25,0,29405,52.8,24600,56.7,2612,27.7,5396,47557,63442,133402,144143,34609,72.8,28846,60.7,29398,61.8,7625,21219,554,0,63442,,,,,,,,,,,,,
2021-10-13,AZ,AZA,Arizona,7278717,Report,10186170,8444747,139945,116020,3376547,4759887,293620,14693,4374569,60.1,48.1,4065869,72.1,7868632,139552,180655,1174705,89.8,2448024,187067,778382,3501197,3247272,57.6,4084560,5638110,463500,0,1466763,2027724,283849,4387,1466174,1774452,283437,4336,501232,481361,46114,2340,3782723,52,3528399,62.6,1031047,78.8,2304949,6206060,8443625,136055,164133,4373594,70.5,3501049,56.4,3782339,60.9,1466738,2027603,283612,4386,7924532,,,,,,,,,,,,,
2021-10-13,BP2,BP2,Bureau of Prisons,0,Report,258200,232606,0,0,94335,126480,11780,11,124833,0,0,124831,0,232604,0,0,3549,0,6950,0,0,106892,106892,0,109880,135720,12600,0,45186,61654,11747,0,45186,61654,11746,0,1682,1649,171,0,118587,0,118586,0,3502,0,6950,0,232604,0,0,124831,0,106892,0,118586,0,45186,61654,11746,0,232604,,,,,,,,,,,,,
2021-10-13,CA,CAA,California,39512223,Report,60028915,52071035,151925,131785,19602135,30569677,1885465,13758,28821336,72.9,55.3,26603330,86.9,48053160,156946,196060,5913174,99.9,11219720,192181,1028220,21851723,20059493,65.5,22826560,34359255,2843100,0,8620754,13208392,1872623,4108,8595301,11441976,1865108,3838,2393241,2181154,186617,1285,23705877,60,21906223,71.5,4762297,81.6,10938987,33646265,51940875,154373,178412,28740386,85.4,21803109,64.8,23656910,70.3,8620323,13160221,1872267,4099,50979244,,,,,,,,,,,,,
2021-10-13,CO,COA,Colorado,5758736,Report,8461305,7380700,146930,128165,2862488,4239347,273682,5183,3823484,66.4,55.7,3541996,78.7,6849676,152242,188062,776718,92.2,1639380,194605,1004410,3208021,2961372,65.8,3309140,4770165,382000,0,1315477,1888179,268944,1524,1311823,1645291,267747,1470,343622,345191,24239,540,3474124,60.3,3226331,71.7,713592,84.7,1593051,4936061,7360520,149117,171418,3811606,77.2,3199915,64.8,3465993,70.2,1315459,1880092,268919,1523,7137968,,,,,,,,,,,,,
2021-10-13,CT,CTA,Connecticut,3565287,Report,5798865,5182324,162648,145355,1882885,3090773,207652,1014,2759453,77.4,63.9,2551311,89.9,4791148,168830,204340,641477,99.9,1310407,207921,920098,2276471,2098182,73.9,2304580,3223785,270500,0,883584,1391554,206833,357,883192,1213754,206659,274,230060,333573,20567,75,2482328,69.6,2303879,81.2,584275,92.7,1277889,3105947,5180587,166796,186702,2758114,88.8,2276077,73.3,2481854,79.9,883379,1391368,206753,354,5094974,,,,,,,,,,,,,
