Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-09-30,US,USA,United States,331996199,Report,474245945,392909995,142847,118348,151481614,226033301,15000326,394754,214332261,64.6,51.2,199711005,77.3,366325674,141844,183631,51307076,93.8,98962216,180929,867049,169909316,158084819,61.2,188663800,262781295,22781500,19350,68461803,101247670,14783484,108493,68383434,89504425,14756283,106395,21829069,21545027,2166278,47349,184601450,55.6,172750537,66.9,45587723,83.3,98962216,283545812,392546333,138442,167255,214100350,75.5,169780000,59.9,184469107,65.1,68458378,101121869,14780436,108424,392546333,39,4031464,2.2,3352688,3.6,4013630,2.3,2497872,5.5,1309943,2710777,7547,3197,,,,
2021-09-30,AK,AKA,Alaska,731545,Report,1058945,792368,144755,108314,313398,444434,34131,405,419056,57.3,46.3,387885,70.3,734839,133229,191990,78891,86.1,155435,169711,1156210,338525,312764,56.7,425160,566985,66800,0,141779,196457,31813,65,141392,171091,31678,60,41103,29774,3070,28,370114,50.6,344221,62.4,73975,80.8,148587,608877,790147,129771,173918,417713,68.6,337663,55.5,369250,60.6,141775,195599,31811,65,737259,,,,,,,,,,,,,,,,,
2021-09-30,AL,ALA,Alabama,4903185,Report,6665330,4532608,135939,92442,2000282,2394243,138022,61,2583590,52.7,39.8,2448176,64.2,4299352,112700,174719,734446,86.4,1357631,159752,784307,1950778,1852952,48.6,2997320,3365010,303000,0,895696,1053633,140130,393,895276,956229,140051,392,337525,264954,34358,257,2089852,42.6,1991948,52.2,637094,75,1310772,4186880,4532194,108248,159196,2583197,61.7,1950723,46.6,2089790,49.9,895685,1053589,140123,393,4382109,,,,,,,,,,,,,,,,,
2021-09-30,AR,ARA,Arkansas,3017804,Report,4045050,3018302,134040,100017,1307171,1609731,98592,2808,1681692,55.7,42.4,1565097,67.5,2811640,121314,174532,447190,85.4,840323,160403,772130,1279865,1190774,51.4,1777020,2078730,189300,0,587706,690835,96725,698,586649,602857,96214,673,216804,150512,14121,403,1375964,45.6,1286393,55.5,381840,72.9,802977,2557248,3013069,117825,158180,1677885,65.6,1278497,50,1374479,53.7,587699,689476,96608,696,2925105,,,,,,,,,,,,,,,,,
2021-09-30,AS,ASA,American Samoa,55689,Report,66550,62048,119503,111419,16188,45313,546,1,34187,61.4,50.1,28454,65.6,51775,119366,153429,2869,30.4,5352,56719,705278,27881,23376,53.9,16600,49350,600,0,7053,20826,554,0,7038,16336,553,0,1073,1480,25,0,28433,51.1,23927,55.2,2578,27.3,5352,47557,62032,130437,139937,34177,71.9,27875,58.6,28427,59.8,7052,20821,554,0,62032,,,,,,,,,,,,,,,,,
2021-09-30,AZ,AZA,Arizona,7278717,Report,9852670,8214287,135363,112854,3341538,4570128,288934,13687,4315832,59.3,47.3,4013814,71.2,7653175,135731,174740,1163819,88.9,2350993,179653,752898,3441140,3195255,56.7,4035340,5365230,452100,0,1452048,1982888,279337,4120,1451479,1737632,278929,4072,499276,471279,45787,2194,3718393,51.1,3472112,61.6,1018536,77.8,2213001,6206060,8213201,132342,158759,4314888,69.5,3440994,55.4,3718013,59.9,1452023,1982769,279102,4119,7707192,,,,,,,,,,,,,,,,,
2021-09-30,BP2,BP2,Bureau of Prisons,0,Report,248410,227890,0,0,91743,124549,11598,0,122132,0,0,122130,0,227888,0,0,3535,0,6908,0,0,105142,105142,0,106840,129870,11700,0,44471,60622,11568,0,44471,60622,11567,0,1669,1646,168,0,116661,0,116660,0,3483,0,6908,0,227888,0,0,122130,0,105142,0,116660,0,44471,60622,11567,0,227888,,,,,,,,,,,,,,,,,
2021-09-30,CA,CAA,California,39512223,Report,58398465,50639664,147798,128162,19391494,29378004,1856953,13213,28341309,71.7,54.4,26181635,85.5,46733723,152637,190735,5821842,99.7,10736277,183900,1000300,21475398,19736555,64.5,22549660,33097005,2751800,0,8540179,12914323,1844183,3956,8514810,11201191,1836711,3698,2383226,2140202,184488,1254,23302641,59,21556410,70.4,4709170,80.7,10462595,33646265,50510030,150121,173566,28260809,84,21426863,63.7,23253759,69.1,8539750,12866229,1843833,3947,49563260,,,,,,,,,,,,,,,,,
2021-09-30,CO,COA,Colorado,5758736,Report,8145395,7177109,141444,124630,2834464,4069318,268329,4998,3777400,65.6,54.8,3500047,77.8,6655755,147931,181040,769044,91.3,1552573,184301,966913,3158543,2917367,64.8,3270780,4507815,366800,0,1305498,1849047,263705,1470,1301854,1611618,262513,1417,342489,336757,23865,514,3419720,59.4,3177402,70.6,703625,83.5,1507795,4936061,7156981,144994,165018,3765550,76.3,3150455,63.8,3411608,69.1,1305481,1840977,263681,1469,6937815,,,,,,,,,,,,,,,,,
2021-09-30,CT,CTA,Connecticut,3565287,Report,5614115,5039727,157466,141355,1867035,2966529,205211,952,2717597,76.2,63,2512862,88.5,4656511,164086,197830,627970,99.6,1237314,196323,890784,2245984,2072202,73,2269100,3082215,262800,0,876688,1368071,204396,334,876299,1194766,204222,259,229362,331640,20413,71,2449489,68.7,2275546,80.2,581486,92.3,1206432,3105947,5037997,162205,180754,2716263,87.5,2245592,72.3,2449017,78.8,876483,1367887,204316,331,4954642,,,,,,,,,,,,,,,,,
