Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
2021-10-12,US,USA,United States,331996199,Report,488178975,403576826,147044,121561,153091886,234867451,15208784,408705,217403897,65.5,52.1,202509315,78.4,376324804,145716,189026,52052476,95.2,103089932,188476,892522,172841435,160636738,62.2,191379720,273355305,23424600,19350,69193084,103435592,14973570,112583,69113982,91313173,14946119,110267,21929365,21815458,2181439,49080,187714829,56.5,175483541,67.9,45975342,84.1,103089932,283545812,403211156,142203,172169,217170658,76.6,172711556,60.9,187581880,66.2,69189601,103309294,14970477,112508,403211156,40,8548326,4.6,7112912,7.6,8527431,4.9,5465576,11.9,1529749,7004489,9805,4283
2021-10-12,AK,AKA,Alaska,731545,Report,1094005,817091,149547,111694,317250,464444,34905,492,424544,58,46.9,392778,71.2,758278,137478,198347,79747,87.1,162610,177545,1194490,342905,316479,57.4,433500,592005,68500,0,142910,199694,32589,67,142521,173665,32453,62,41241,30031,3121,28,375260,51.3,348701,63.2,74421,81.3,155648,608877,814865,133831,179676,423199,69.5,342040,56.2,374393,61.5,142906,198833,32587,67,761264,,,,,,,,,,,,,
2021-10-12,AL,ALA,Alabama,4903185,Report,6864150,4657171,139994,94983,2030582,2486971,139551,67,2616672,53.4,40.8,2478556,65,4416033,115758,179931,740903,87.2,1399520,164681,807702,1999049,1896119,49.7,3054280,3499470,310400,0,912911,1084554,141669,413,912486,982053,141587,412,339953,268296,34488,268,2139547,43.6,2036538,53.4,643005,75.7,1351274,4186880,4656729,111222,163944,2616268,62.5,1998978,47.7,2139468,51.1,912900,1084495,141660,413,4504183,,,,,,,,,,,,,
2021-10-12,AR,ARA,Arkansas,3017804,Report,4179690,3106570,138501,102941,1321465,1682528,99656,2921,1702269,56.4,43.2,1583950,68.3,2895464,124931,180342,451796,86.2,875192,167059,797830,1305020,1213262,52.3,1816160,2167830,195700,0,595356,708263,97807,737,594287,617633,97293,709,217811,154366,14207,416,1402163,46.5,1309922,56.5,386800,73.8,837361,2557248,3101317,121276,163445,1698445,66.4,1303647,51,1400671,54.8,595348,706900,97688,735,3012238,,,,,,,,,,,,,
2021-10-12,AS,ASA,American Samoa,55689,Report,68550,63460,123094,113954,16916,45997,546,1,34620,62.2,51.8,28734,66.2,52734,121577,158040,2879,30.5,5396,57185,726473,28853,24049,55.4,18600,49350,600,0,7626,21225,554,0,7611,16436,553,0,1099,1488,25,0,29405,52.8,24600,56.7,2612,27.7,5396,47557,63442,133402,144143,34609,72.8,28846,60.7,29398,61.8,7625,21219,554,0,63442,,,,,,,,,,,,,
2021-10-12,AZ,AZA,Arizona,7278717,Report,10174060,8431426,139778,115837,3374391,4749126,293293,14616,4371177,60.1,48.1,4062905,72.1,7856290,139333,180440,1174192,89.7,2443001,186683,777457,3497582,3244186,57.5,4083080,5627580,463400,0,1465806,2025113,283534,4365,1465218,1772369,283124,4314,501108,480852,46092,2323,3778818,51.9,3525025,62.5,1030375,78.7,2300033,6206060,8430307,135840,163938,4370204,70.4,3497434,56.4,3778436,60.9,1465781,2024992,283299,4364,7911808,,,,,,,,,,,,,
2021-10-12,BP2,BP2,Bureau of Prisons,0,Report,258200,232155,0,0,94074,126334,11736,11,124500,0,0,124498,0,232153,0,0,3548,0,6948,0,0,106817,106817,0,109880,135720,12600,0,45167,61598,11703,0,45167,61598,11702,0,1682,1649,171,0,118468,0,118467,0,3502,0,6948,0,232153,0,0,124498,0,106817,0,118467,0,45167,61598,11702,0,232153,,,,,,,,,,,,,
2021-10-12,CA,CAA,California,39512223,Report,59911895,51983335,151629,131563,19591359,30495001,1883232,13743,28793575,72.9,55.3,26580437,86.8,47973418,156686,195678,5909409,99.9,11192222,191710,1026220,21830888,20041703,65.5,22785100,34295895,2830900,0,8616514,13191883,1870392,4106,8591066,11428507,1862882,3836,2392782,2178990,186476,1285,23682895,59.9,21886291,71.5,4759533,81.5,10911517,33646265,51853319,154113,178064,28712758,85.3,21782285,64.7,23633939,70.2,8616083,13143723,1870036,4097,50891890,,,,,,,,,,,,,
2021-10-12,CO,COA,Colorado,5758736,Report,8440415,7367204,146567,127931,2860566,4228337,273138,5163,3820364,66.3,55.7,3539175,78.7,6836868,151957,187597,776182,92.1,1633636,193924,1001930,3204811,2958545,65.8,3305640,4755675,379100,0,1314803,1885673,268434,1520,1311150,1643167,267237,1466,343531,344670,24194,538,3470430,60.3,3223020,71.6,712933,84.6,1587307,4936061,7347030,148844,170995,3808489,77.2,3196708,64.8,3462302,70.1,1314786,1877588,268409,1519,7124481,,,,,,,,,,,,,
2021-10-12,CT,CTA,Connecticut,3565287,Report,5784635,5176122,162249,145181,1882056,3085584,207479,1003,2757527,77.3,63.8,2549580,89.8,4785399,168628,203839,640810,99.9,1307501,207459,917841,2274984,2096941,73.9,2299640,3214695,270300,0,883203,1390456,206674,353,882811,1212901,206500,271,230012,333460,20561,73,2480686,69.6,2302483,81.1,584106,92.7,1274983,3105947,5174387,166596,186244,2756189,88.7,2274591,73.2,2480213,79.9,882998,1390271,206594,350,5088778,,,,,,,,,,,,,
