Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Per_100k_18Plus,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-10,AK,AKA,Alaska,731545,Report,445125,307769,60847,42071,141564,166149,0,56,188281,25.7,16.3,187263,34,306145,55505,65812,71.9,115958,126608,119067,118464,21.5,80703,221000,217425,6700,0,53106,65955,6,6,53100,65358,6,6,29615,21528,6,2,119073,16.3,118470,21.5,51151,55.8,,,,
2021-03-10,AL,ALA,Alabama,4903185,Report,1775660,1173820,36214,23940,606814,562708,4298,0,768502,15.7,8.8,768201,20.1,1173481,30761,429845,50.6,666080,78377,430554,430510,11.3,46546,944800,781560,49300,0,213942,216600,4464,12,213936,216562,4464,12,133139,116476,2158,7,435018,8.9,434974,11.4,251780,29.6,,,,
2021-03-10,AR,ARA,Arkansas,3017804,Report,1162330,799184,38516,26482,402556,395468,1053,107,513591,17,9.4,513363,22.2,798931,34472,283789,54.2,420519,80270,284169,284126,12.3,50151,592300,537030,33000,0,136180,147969,1115,20,136178,147928,1115,20,78615,59622,639,15,285284,9.5,285241,12.3,138891,26.5,,,,
2021-03-10,AS,ASA,American Samoa,55689,Report,43210,23696,77592,42551,5238,18458,0,0,15085,27.1,15.6,14826,34.1,23335,53721,2186,0,3654,0,8705,8603,19.8,99477,12400,30810,0,0,2105,6600,1,0,2105,6498,1,0,601,920,0,0,8706,15.6,8604,19.8,1521,0,,,,
2021-03-10,AZ,AZA,Arizona,7278717,Report,2887485,2293559,39670,31510,1038946,1251206,2847,560,1464494,20.1,10.5,1462061,25.9,2289946,40613,782049,59.8,1206324,92182,764433,763816,13.5,51210,1442200,1365585,79700,0,311976,452260,2674,197,311971,451648,2673,197,161256,221846,789,136,767107,10.5,766489,13.6,384027,29.3,,,,
2021-03-10,BP2,BP2,Bureau of Prisons,0,Report,73715,73254,0,0,29064,44190,0,0,44353,0,0,44353,0,73254,0,2259,0,3619,0,28645,28645,0,0,31400,42315,0,0,10414,18231,0,0,10414,18231,0,0,501,838,0,0,28645,0,28645,0,1339,0,,,,
2021-03-10,CA,CAA,California,39512223,Report,15301360,11062505,38726,27998,5374049,5686172,2255,29,7497005,19,8.8,7491289,24.5,11055469,36108,3893413,66.7,5732972,98199,3482976,3481732,11.4,49976,7502200,7353060,446100,0,1655256,1827710,2203,10,1655012,1826710,2203,10,868296,926600,743,7,3485179,8.8,3483935,11.4,1795646,30.8,,,,
2021-03-10,CO,COA,Colorado,5758736,Report,2213800,1694476,38442,29424,825578,850899,17580,419,1089653,18.9,10.3,1089130,24.2,1693807,37647,592020,70.3,928422,110210,592283,592130,13.2,49204,1144000,1014000,55800,0,282027,310163,17134,93,282019,310018,17131,93,161469,167666,3591,50,609417,10.6,609261,13.5,332776,39.5,,,,
2021-03-10,CT,CTA,Connecticut,3565287,Report,1558445,1272581,43712,35694,566984,689638,15935,24,920595,25.8,9.5,919676,32.4,1271305,44798,527165,83.6,702423,111453,338502,338228,11.9,54916,718000,797745,42700,0,130428,208064,15850,10,130333,207885,15838,10,34762,129938,2020,6,354352,9.9,354066,12.5,166726,26.5,,,,
2021-03-10,DC,DCA,District of Columbia,705749,Report,358485,238189,50795,33750,96559,141629,1,0,105267,14.9,7.7,105244,18.2,238158,41234,49642,56.8,96772,110795,54423,54421,9.4,62067,162900,187785,7800,0,25638,28777,315,8,25637,28776,315,8,14540,11228,19,3,54738,7.8,54736,9.5,25790,29.5,,,,
2021-03-10,DD2,DD2,Dept of Defense,0,Report,1809345,1343861,0,0,638123,705339,0,399,885870,0,0,885467,0,1343337,0,120806,0,176839,0,442127,442006,0,0,828600,938145,42600,0,194679,247448,0,0,194672,247334,0,0,15966,39353,0,0,442127,0,442006,0,55319,0,,,,
