Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-04-24,US,USA,United States,331996199,Report,290685655,225640460,87557,67965,98778973,118628496,8058239,174752,138644724,41.8,25.6,136993180,53.1,223579547,86615,112612,44477440,81.3,80594769,147348,531448,85086141,84682990,32.8,123421200,149623305,17641150,0,38712697,46329237,7993389,42717,38663887,45974982,7974793,42648,17652482,17538941,1486387,17516,93078040,28,92656311,35.9,36695327,67.1,,,,
2021-04-24,AK,AKA,Alaska,731545,Report,759125,536961,103770,73401,240602,282531,13751,77,299312,40.9,32,292472,53,525744,95319,137632,70810,77.3,133118,145344,828848,233983,229624,41.6,326300,381225,51600,0,107291,126675,12838,17,107073,122534,12778,17,37661,26319,1452,8,246821,33.7,242402,43.9,65440,71.5,,,,
2021-04-24,AL,ALA,Alabama,4903185,Report,3960530,2461510,80775,50202,1171942,1217023,72545,0,1543544,31.5,20,1534621,40.2,2451017,64249,103818,609367,71.7,1042906,122718,466034,980637,978863,25.7,1740400,1976130,244000,0,468020,512569,74226,48,467960,510855,74193,48,250781,203451,22870,34,1054863,21.5,1053056,27.6,477136,56.1,,,,
2021-04-24,AR,ARA,Arkansas,3017804,Report,2586420,1707412,85705,56578,803494,848977,54510,431,1046195,34.7,21.8,1033909,44.6,1692707,73036,111597,380100,72.6,669351,127768,493703,658444,655909,28.3,1146200,1282320,157900,0,323530,334809,53202,105,323387,332419,52953,103,171468,117971,8618,72,711646,23.6,708862,30.6,298129,56.9,,,,
2021-04-24,AS,ASA,American Samoa,55689,Report,47010,37231,84415,66855,8448,28761,22,0,20902,37.5,29.5,20203,46.5,36020,82925,108226,2421,25.6,4481,47333,496567,16427,15918,36.6,15600,30810,600,0,3749,12678,28,0,3739,12179,28,0,866,1259,6,0,16455,29.5,15946,36.7,2131,22.5,,,,
2021-04-24,AZ,AZA,Arizona,7278717,Report,6285415,4815132,86353,66154,2110843,2568812,132778,2699,2859184,39.3,25.1,2820905,50,4760458,84428,111474,1022369,78.1,1890161,144438,480304,1827522,1813449,32.2,2734700,3177915,372800,0,803145,1023483,128284,894,803012,1009543,128202,894,398141,395524,24371,596,1955806,26.9,1941651,34.4,818632,62.6,,,,
2021-04-24,BP2,BP2,Bureau of Prisons,0,Report,147940,141939,0,0,55900,84300,1739,0,82720,0,0,82719,0,141938,0,0,2974,0,5504,0,0,58524,58524,0,57100,84240,6600,0,23166,35358,1727,0,23166,35358,1727,0,1236,1262,30,0,60251,0,60251,0,2528,0,,,,
2021-04-24,CA,CAA,California,39512223,Report,36095210,28302062,91352,71629,12552054,14674306,1072634,3068,18212594,46.1,25.1,17934593,58.6,27963505,91332,117890,5039041,86.3,8794921,150647,618268,9910274,9850800,32.2,15315200,18520710,2259300,0,4612636,5296989,1063830,649,4608443,5241709,1060189,648,1976644,1706293,110786,353,10974104,27.8,10910989,35.6,3794076,65,,,,
2021-04-24,CO,COA,Colorado,5758736,Report,4968480,4072289,86277,70715,1863932,2064077,143196,1084,2542919,44.2,26,2501025,55.6,4023081,89417,110430,690928,82,1288126,152909,589792,1498538,1491243,33.1,2162000,2516280,290200,0,717837,780395,141425,306,717336,773601,140882,306,301063,284094,12549,129,1639963,28.5,1632125,36.3,597835,71,,,,
2021-04-24,CT,CTA,Connecticut,3565287,Report,3716115,3006976,104230,84340,1251007,1636848,118878,243,1858560,52.1,31.7,1828301,64.4,2974677,104822,130948,562262,89.2,1063478,168741,589631,1131207,1129568,39.8,1527400,1968915,219800,0,501498,629655,119004,54,501250,628264,118908,54,195708,293278,11116,18,1250211,35.1,1248476,44,500120,79.4,,,,
2021-04-24,DC,DCA,District of Columbia,705749,Report,780595,558290,110605,79106,215290,322709,20289,2,315394,44.7,23.1,313488,54.3,556292,96314,135149,66402,76,143797,164635,893712,163133,162505,28.1,310800,425295,44500,0,67110,95995,24167,28,67104,95374,24152,27,27769,21234,1619,9,187300,26.5,186657,32.3,50631,58,,,,
2021-04-24,DD2,DD2,Dept of Defense,0,Report,3547800,2723895,0,0,1215138,1445139,63219,399,1696703,0,0,1683099,0,2707307,0,0,158620,0,271396,0,0,950914,948270,0,1475100,1903200,169500,0,419339,531575,60304,0,419298,528972,60288,0,37222,67011,2866,0,1011218,0,1008558,0,107099,0,,,,
2021-04-24,DE,DEA,Delaware,973764,Report,903465,704986,92781,72398,277677,395638,31468,203,433501,44.5,25.9,428912,55.7,698416,90681,117304,163772,86.7,299697,158649,478262,251726,250680,32.5,383500,469365,50600,0,98894,152744,30760,88,98874,151718,30737,88,54513,73442,6674,56,282486,29,281417,36.5,134685,71.3,,,,
2021-04-24,FL,FLA,Florida,21477737,Report,19583945,14252729,91183,66360,6232132,7466979,531440,22178,8561469,39.9,24.1,8494246,49.2,14178046,82202,113545,3731887,83,7049632,156751,435456,5175225,5168629,30,8098000,10142145,1343800,0,2347442,2820554,525912,7229,2346817,2814583,525652,7229,1518811,1388054,125870,5785,5701137,26.5,5694281,33,3038520,67.6,,,,
2021-04-24,FM,FMA,Federated States of Micronesia,103643,Report,63200,31220,60979,30123,31125,0,95,0,19341,18.7,11.5,19325,23.9,31203,38598,78177,1734,9.8,2904,16482,358704,11934,11933,14.8,61600,0,1600,0,11912,22,98,0,11911,22,98,0,1191,5,27,0,12032,11.6,12031,14.9,1223,6.9,,,,
2021-04-24,GA,GAA,Georgia,10617423,Report,8793835,5922054,82825,55777,2691532,3090230,139961,331,3592667,33.8,20.6,3547451,43.7,5865751,72296,108385,1142041,75.3,2134586,140715,579703,2192053,2181122,26.9,3722600,4573335,497900,0,1052661,1139167,136944,225,1052506,1128393,136739,223,526485,385024,17727,133,2328997,21.9,2317861,28.6,929369,61.3,,,,
2021-04-24,GU,GUA,Guam,165768,Report,140740,122238,84902,73740,47440,73590,1208,0,73202,44.2,29.1,71272,55.1,119710,92584,108848,13535,48,25030,88819,499414,48242,47647,36.9,53200,76440,11100,0,19325,28917,1213,0,19322,28325,1213,0,4828,6505,99,0,49455,29.8,48860,37.8,11432,40.6,,,,
2021-04-24,HI,HIA,Hawaii,1415872,Report,1370040,1135909,96763,80227,391748,630673,19728,93760,694910,49.1,31.4,686698,61.5,1126917,100978,122763,223727,83.3,395334,147267,510356,444335,443004,39.7,564500,735540,70000,0,158735,267534,20168,18066,158625,266330,20099,18049,71333,100219,4408,1409,464503,32.8,463103,41.5,177369,66.1,,,,
2021-04-24,IA,IAA,Iowa,3155070,Report,2664745,2242261,84459,71069,1048396,1103662,90081,122,1344446,42.6,28.2,1330035,54.8,2224908,91627,109740,467080,84.5,888055,160602,481911,888260,885426,36.5,1174200,1328145,162400,0,449673,438542,88838,45,449627,435754,88797,45,228219,188504,7303,34,977098,31,974223,40.1,424060,76.7,,,,
