Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-05-20,US,USA,United States,331996199,Report,351955515,279397250,106012,84157,118904886,150342238,9944636,205490,160177820,48.2,35.2,156058372,60.5,273546217,105972,136348,46420974,84.9,85891638,157032,643465,116760347,115105688,44.6,146864660,184600455,20490400,0,51243707,65461048,9847316,53095,51116733,63861380,9814794,52898,19225776,19081047,1727498,22725,126605166,38.1,124845806,48.4,40057047,73.2,85891638,280216744,279319490,99680,125601,160105934,57.1,116754451,41.7,126596834,45.2,51240665,65457333,9845767,53068,279319490,,,,
2021-05-20,AK,AKA,Alaska,731545,Report,799005,593159,109222,81083,262065,312793,18212,89,325229,44.5,35.9,313261,56.8,574803,104214,144862,72657,79.3,136931,149508,872390,262539,256153,46.4,346640,395265,57100,0,120266,142248,16925,25,119972,136156,16850,25,38754,27261,1909,15,279464,38.2,273003,49.5,67939,74.2,131330,608877,592805,97360,131226,324871,53.4,262536,43.1,279459,45.9,120265,142246,16923,25,568497,,,,
2021-05-20,AL,ALA,Alabama,4903185,Report,4415280,2939161,90049,59944,1413279,1432519,93363,0,1725694,35.2,26.3,1708435,44.8,2914292,76393,115738,640837,75.4,1137718,133875,519544,1287092,1279056,33.5,1988300,2157480,269500,0,626365,660648,95235,79,626197,652780,95194,79,289239,229100,27684,49,1382327,28.2,1374250,36,546072,64.3,1094480,4186880,2938876,70193,105455,1725410,41.2,1287080,30.7,1382313,33,626359,660642,95233,79,2813925,,,,
2021-05-20,AR,ARA,Arkansas,3017804,Report,2729400,1991127,90443,65979,942625,985458,62535,509,1148175,38,27.6,1125552,48.6,1958662,84511,117766,393228,75.1,710833,135686,520995,833742,823856,35.5,1213280,1340820,175300,0,413577,420039,61064,126,413014,410719,60765,123,188177,127125,9910,86,894806,29.7,884621,38.2,325298,62.1,676644,2557248,1989416,77795,106732,1146524,44.8,833703,32.6,894660,35,413573,420004,60957,126,1915755,,,,
2021-05-20,AS,ASA,American Samoa,55689,Report,54030,41461,97021,74451,9760,31675,26,0,22964,41.2,33.4,22111,50.9,39988,92060,124387,2524,26.7,4689,49530,570719,18624,18007,41.5,15600,37830,600,0,4218,14406,33,0,4206,13801,33,0,900,1347,7,0,18657,33.5,18040,41.5,2254,23.8,4689,47557,41459,87177,113611,22963,48.3,18623,39.2,18656,39.2,4217,14406,33,0,41459,,,,
2021-05-20,AZ,AZA,Arizona,7278717,Report,7577625,5687093,104107,78133,2496536,3011613,175016,3928,3225461,44.3,31.8,3146850,55.8,5569487,98776,134391,1064714,81.4,1997259,152622,579049,2313744,2278367,40.4,3164000,4000425,413200,0,1031187,1281270,168493,1287,1030960,1246122,168391,1285,435096,416804,31965,796,2482237,34.1,2446758,43.4,884661,67.6,1869437,6206060,5686698,91631,122100,3225157,52,2313708,37.3,2482167,40,1031174,1281247,168459,1287,5285885,,,,
2021-05-20,BP2,BP2,Bureau of Prisons,0,Report,182650,173734,0,0,69690,99337,4707,0,96698,0,0,96697,0,173733,0,0,3199,0,6036,0,0,76237,76237,0,73200,99450,10000,0,30306,45931,4683,0,30306,45931,4683,0,1394,1407,67,0,80920,0,80920,0,2868,0,6036,0,173733,0,0,96697,0,76237,0,80920,0,30306,45931,4683,0,173733,,,,
2021-05-20,CA,CAA,California,39512223,Report,45628190,36053888,115479,91247,15371371,19414787,1263279,4451,21390051,54.1,36.6,20681325,67.5,35054259,114491,149026,5237143,89.7,9293252,159182,781557,14464852,14174918,46.3,18853800,24211590,2562800,0,6373904,8089787,1252927,1161,6361511,7812270,1248085,1137,2123945,1852220,131392,502,15717779,39.8,15423003,50.4,4108059,70.4,9045502,33646265,36033525,107095,135611,21370410,63.5,14464181,43,15716860,46.7,6373540,8089481,1252679,1160,35337945,,,,
2021-05-20,CO,COA,Colorado,5758736,Report,6521380,5285343,113243,91780,2321031,2787211,175691,1410,2958660,51.4,39.3,2862126,63.6,5144494,114342,144945,716119,85,1362374,161723,774132,2262247,2218392,49.3,2725980,3471000,324400,0,1032409,1229433,173410,405,1030292,1187700,172693,400,319163,303312,15867,174,2435657,42.3,2391085,53.1,638516,75.8,1320996,4936061,5282837,107025,132117,2956194,59.9,2262223,45.8,2435616,49.3,1032399,1229419,173393,405,5115724,,,,
2021-05-20,CT,CTA,Connecticut,3565287,Report,4375455,3805000,122724,106724,1515993,2144031,144681,295,2150515,60.3,45.7,2070163,72.9,3690528,130047,154182,582630,92.4,1113831,176730,694248,1630496,1598858,56.3,1766840,2366715,241900,0,675852,954575,144838,69,675534,923256,144715,68,209098,309279,14832,24,1775334,49.8,1743573,61.4,533233,84.6,1084535,3105947,3803532,122460,140873,2149407,69.2,1630182,52.5,1774954,57.1,675657,954456,144772,69,3728891,,,,
