Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-08-30,US,USA,United States,331996199,Report,440026945,369556911,132540,111314,145280750,209579682,14345660,350819,204742648,61.7,48.1,191367513,74.1,346059772,133997,170381,50286364,91.9,94983829,173656,804487,159736141,149774225,58,178860380,239662815,21484400,19350,65493217,94080758,14160460,97767,65024006,84484063,14045946,96064,21149133,21271159,2201371,42562,173832202,52.4,163650079,63.4,44664225,81.7,94983829,283545812,369199762,130208,155187,204514420,72.1,159608674,56.3,173700607,61.3,65489408,93955919,14157569,97711,369199762,32,954683,,,,
2021-08-30,AK,AKA,Alaska,731545,Report,930085,729517,127140,99723,297449,401187,30678,203,396069,54.1,43.3,367697,66.7,679595,123213,168627,77326,84.4,146755,160234,1015510,316517,295082,53.5,385700,485085,59300,0,136302,179996,28740,52,135926,158943,28612,48,40518,29000,2877,24,345090,47.2,323529,58.7,72419,79.1,140173,608877,727433,119471,152754,394782,64.8,315723,51.9,344294,56.5,136298,179206,28738,52,682136,,,,,,
2021-08-30,AL,ALA,Alabama,4903185,Report,6102130,4112942,124452,83883,1842529,2137127,133282,4,2432879,49.6,35.4,2315168,60.7,3926343,102922,159956,718830,84.6,1293138,152163,718035,1733349,1663769,43.6,2752100,3068730,281300,0,803623,928687,135717,317,803259,859473,135639,316,325216,256103,33906,196,1868344,38.1,1798687,47.1,615421,72.4,1247430,4186880,4112556,98225,145744,2432501,58.1,1733309,41.4,1868296,44.6,803611,928659,135709,317,3971036,,,,,,
2021-08-30,AR,ARA,Arkansas,3017804,Report,3727630,2791499,123521,92501,1233229,1462810,93660,1800,1603140,53.1,38.4,1497087,64.6,2616192,112881,160837,439144,83.8,804669,153597,711540,1159188,1090616,47.1,1655940,1892790,178900,0,541182,617098,91895,473,540168,549576,91397,457,210343,144975,13770,274,1250648,41.4,1181598,51,369362,70.5,768246,2557248,2786325,108958,145767,1599381,62.5,1157830,45.3,1249173,48.8,541175,615748,91778,472,2702780,,,,,,
2021-08-30,AS,ASA,American Samoa,55689,Report,58530,55576,105102,99797,13681,41349,545,1,30601,54.9,44.9,26281,60.6,48252,111244,134939,2783,29.5,5221,55331,620284,25022,22047,50.8,15600,42330,600,0,6182,18839,553,0,6168,15878,552,0,1045,1464,25,0,25574,45.9,22598,52.1,2534,26.9,5221,47557,55563,116835,123073,30592,64.3,25018,52.6,25570,53.8,6181,18836,553,0,55563,,,,,,
2021-08-30,AZ,AZA,Arizona,7278717,Report,9328230,7563719,128158,103916,3134747,4146227,271974,10771,4121994,56.6,44.2,3851830,68.3,7079140,125550,165439,1146086,87.6,2199076,168044,712822,3218545,3014919,53.5,3854920,5042310,431000,0,1378007,1835751,263768,3359,1377518,1632654,263384,3323,489656,456114,44164,1796,3480885,47.8,3276879,58.1,991730,75.8,2064798,6206060,7562762,121861,150308,4121140,66.4,3218425,51.9,3480533,56.1,1377986,1835654,263535,3358,7080950,,,,,,
2021-08-30,BP2,BP2,Bureau of Prisons,0,Report,225930,216627,0,0,87629,118405,10593,0,117036,0,0,117035,0,216626,0,0,3480,0,6755,0,0,99290,99290,0,94820,120510,10600,0,41942,57315,10567,0,41942,57315,10567,0,1650,1606,150,0,109824,0,109824,0,3406,0,6755,0,216626,0,0,117035,0,99290,0,109824,0,41942,57315,10567,0,216626,,,,,,
2021-08-30,CA,CAA,California,39512223,Report,54835645,47959156,138781,121378,18698273,27475589,1772832,12462,27192156,68.8,51.4,25200723,82.3,44429529,145111,179099,5702664,97.7,10306068,176531,939270,20300199,18767692,61.3,21895740,30324105,2615800,0,8219523,12064995,1761608,3796,8194472,10557856,1754251,3551,2338065,2086837,177625,1227,22049922,55.8,20510130,67,4603754,78.9,10039036,33646265,47830461,142157,162977,27112332,80.6,20251917,60.2,22001310,65.4,8219099,12017147,1761276,3788,46948722,,,,,,
2021-08-30,CO,COA,Colorado,5758736,Report,7821665,6812935,135823,118306,2736462,3818040,254007,4426,3645166,63.3,52.5,3382991,75.2,6329168,140673,173845,757546,89.9,1472900,174843,928485,3025385,2806107,62.4,3178840,4302525,340300,0,1271266,1751260,249926,1346,1267650,1535657,248767,1301,338438,328572,22856,470,3273798,56.8,3053375,67.9,690336,81.9,1429373,4936061,6792907,137618,158460,3633373,73.6,3017340,61.1,3265732,66.2,1271251,1743231,249905,1345,6591110,,,,,,
2021-08-30,CT,CTA,Connecticut,3565287,Report,5299035,4817190,148629,135114,1811549,2806935,197851,855,2621525,73.5,60.4,2429446,85.6,4464949,157336,186727,616004,97.7,1193399,189355,840791,2154331,1998749,70.4,2166260,2882775,250000,0,851425,1302014,197161,299,851046,1146884,196994,238,226903,328051,19850,62,2350899,65.9,2195162,77.4,574866,91.2,1163570,3105947,4815499,155041,170609,2620221,84.4,2153947,69.3,2350438,75.7,851220,1301836,197084,298,4735424,,,,,,
