Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-09-07,US,USA,United States,331996199,Report,450122155,375995378,135581,113253,147054366,214049719,14531824,359469,207589611,62.5,48.9,193798688,75,351520940,136111,174290,50560914,92.4,95921010,175369,822944,162399874,151897873,58.8,181719880,246891525,21491400,19350,66247023,95980753,14331372,100348,65758751,85877036,14213128,98545,21243245,21409287,2214905,43677,176659496,53.2,165947460,64.3,44911114,82.1,95921010,283545812,375636309,132478,158748,207360315,73.1,162271971,57.2,176527402,62.3,66243136,95855527,14328449,100290,375636309,34,1439610,,,,
2021-09-07,AK,AKA,Alaska,731545,Report,980975,747155,134096,102134,302636,412230,32068,221,403340,55.1,43.9,373768,67.8,694622,125937,177854,77817,85,149119,162815,1071070,321505,298778,54.2,405000,516675,59300,0,137531,183730,29839,55,137152,161388,29707,51,40666,29196,2958,25,351155,48,328298,59.5,72845,79.5,142461,608877,745009,122358,161112,402013,66,320694,52.7,350342,57.5,137527,182923,29837,55,698527,,,,,,
2021-09-07,AL,ALA,Alabama,4903185,Report,6294340,4237710,128372,86428,1888927,2214058,134719,6,2485579,50.7,36.6,2361214,61.9,4035003,105770,164994,724053,85.2,1309370,154073,740653,1793775,1715079,45,2828480,3184560,281300,0,827950,964664,137141,335,827570,886350,137061,334,328624,258569,34114,210,1930090,39.4,1851315,48.5,621517,73.1,1263310,4186880,4237314,101205,150335,2485196,59.4,1793728,42.8,1930034,46.1,827938,964629,137132,335,4094042,,,,,,
2021-09-07,AR,ARA,Arkansas,3017804,Report,3785520,2866219,125440,94977,1258183,1510860,94957,2219,1630602,54,39.8,1520471,65.6,2677921,115545,163334,441525,84.3,813123,155211,722590,1200921,1123551,48.5,1682240,1924380,178900,0,556765,643068,93148,578,555731,566779,92641,561,212262,146581,13902,330,1293559,42.9,1215712,52.5,373075,71.2,776462,2557248,2861023,111879,148031,1626828,63.6,1199556,46.9,1292077,50.5,556758,641711,93031,577,2776447,,,,,,
2021-09-07,AS,ASA,American Samoa,55689,Report,58530,56971,105102,102302,14237,42188,545,1,31481,56.5,45.9,26712,61.6,48908,112756,134939,2799,29.7,5246,55596,620284,25534,22269,51.3,15600,42330,600,0,6332,19201,553,0,6318,15950,552,0,1048,1470,25,0,26086,46.8,22820,52.6,2543,26.9,5246,47557,56957,119766,123073,31472,66.2,25529,53.7,26081,54.8,6331,19197,553,0,56957,,,,,,
2021-09-07,AZ,AZA,Arizona,7278717,Report,9504840,7911114,130584,108688,3253869,4366160,279677,11408,4191297,57.6,45.6,3908273,69.3,7391979,131099,168571,1151859,88,2293636,175270,726318,3316949,3093421,54.9,3925060,5148780,431000,0,1409134,1902618,270648,3553,1408619,1679650,270251,3515,493816,463843,44927,1885,3585953,49.3,3362035,59.6,1004471,76.8,2158684,6206060,7910090,127458,153154,4190398,67.5,3316818,53.4,3585589,57.8,1409110,1902513,270414,3552,7422821,,,,,,
2021-09-07,BP2,BP2,Bureau of Prisons,0,Report,229110,219251,0,0,88667,119706,10878,0,118224,0,0,118222,0,219249,0,0,3492,0,6787,0,0,100662,100662,0,95660,122850,10600,0,42630,57994,10850,0,42630,57994,10849,0,1652,1618,154,0,111474,0,111473,0,3424,0,6787,0,219249,0,0,118222,0,100662,0,111473,0,42630,57994,10849,0,219249,,,,,,
2021-09-07,CA,CAA,California,39512223,Report,56160135,48668051,142134,123172,18878544,27983640,1793339,12528,27515288,69.6,52.1,25471760,83.2,45018684,147035,183424,5730572,98.2,10401145,178159,961957,20604202,19004378,62.1,22231580,31312755,2615800,0,8294455,12292423,1781880,3815,8269352,10718025,1774504,3568,2347054,2098748,179364,1231,22372573,56.6,20765449,67.8,4626397,79.2,10132394,33646265,48539122,144263,166913,27435267,81.5,20555885,61.1,22323922,66.3,8294031,12244540,1781544,3807,47641665,,,,,,
2021-09-07,CO,COA,Colorado,5758736,Report,7930975,6905875,137721,119920,2762708,3880797,257832,4538,3682433,63.9,53.2,3415354,75.9,6409646,142461,176275,760309,90.3,1487331,176556,941460,3060939,2834245,63,3219120,4371555,340300,0,1280043,1777728,253570,1377,1276419,1554731,252401,1329,339499,330176,23144,482,3312718,57.5,3084880,68.6,693301,82.3,1443497,4936061,6885823,139500,160674,3670624,74.4,3052887,61.8,3304643,66.9,1280028,1769692,253547,1376,6678510,,,,,,
2021-09-07,CT,CTA,Connecticut,3565287,Report,5385255,4871494,151047,136637,1826907,2843930,199768,889,2647293,74.3,61.1,2451297,86.4,4510226,158931,189766,618427,98.1,1200932,190550,854471,2177478,2016819,71.1,2189300,2945955,250000,0,857867,1318637,199030,309,857484,1158437,198861,245,227605,328968,19979,65,2375843,66.6,2215027,78.1,576617,91.5,1171001,3105947,4869789,156789,173385,2645978,85.2,2177092,70.1,2375379,76.5,857662,1318457,198952,308,4789200,,,,,,
