Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-21,AK,AKA,Alaska,731545,154325,71907,21096,9829,59449,8126,12352,1688,,,
2021-01-21,AL,ALA,Alabama,4903185,493125,165919,10057,3384,144429,2946,21345,435,,,
2021-01-21,AR,ARA,Arkansas,3017804,361550,173312,11981,5743,144792,4798,26541,879,,,
2021-01-21,AS,ASA,American Samoa,55689,18450,5664,33130,10171,4734,8501,929,1668,,,
2021-01-21,AZ,AZA,Arizona,7278717,797550,303899,10957,4175,262120,3601,41613,572,,,
2021-01-21,BP2,BP2,Bureau of Prisons,0,24750,20838,0,0,17003,0,3800,0,,,
2021-01-21,CA,CAA,California,39512223,4379500,1633875,11084,4135,1335886,3381,293834,744,,,
2021-01-21,CO,COA,Colorado,5758736,657250,353194,11413,6133,296816,5154,54474,946,,,
2021-01-21,CT,CTA,Connecticut,3565287,435075,264707,12203,7425,230913,6477,28602,802,,,
2021-01-21,DC,DCA,District of Columbia,705749,75175,55108,10652,7808,43377,6146,11685,1656,,,
2021-01-21,DD2,DD2,Dept of Defense,0,574900,274473,0,0,243577,0,25429,0,,,
2021-01-21,DE,DEA,Delaware,973764,106600,49369,10947,5070,41900,4303,7355,755,,,
2021-01-21,FL,FLA,Florida,21477737,2546050,1239975,11854,5773,1125338,5240,111763,520,,,
2021-01-21,FM,FMA,Federated States of Micronesia,103643,9800,2087,9456,2014,2084,2011,3,3,,,
2021-01-21,GA,GAA,Georgia,10617423,1162275,453862,10947,4275,407000,3833,39972,376,,,
2021-01-21,GU,GUA,Guam,165768,34300,3791,20692,2287,3785,2283,0,0,,,
2021-01-21,HI,HIA,Hawaii,1415872,189675,79414,13396,5609,63282,4469,16132,1139,,,
2021-01-21,IA,IAA,Iowa,3155070,328600,158743,10415,5031,139500,4421,16860,534,,,
2021-01-21,ID,IDA,Idaho,1787065,178175,73372,9970,4106,61118,3420,11760,658,,,
2021-01-21,IH2,IH2,Indian Health Svc,0,323600,117297,0,0,99004,0,17778,0,,,
2021-01-21,IL,ILA,Illinois,12671821,1173325,570527,9259,4502,452010,3567,111933,883,,,
2021-01-21,IN,INA,Indiana,6732219,816025,387137,12121,5751,320266,4757,66801,992,,,
2021-01-21,KS,KSA,Kansas,2913314,312000,130434,10709,4477,111907,3841,17430,598,,,
2021-01-21,KY,KYA,Kentucky,4467673,450175,235143,10076,5263,217837,4876,15699,351,,,
2021-01-21,LA,LAA,Louisiana,4648794,492800,279398,10601,6010,240762,5179,38095,819,,,
2021-01-21,MA,MAA,Massachusetts,6892503,776400,353117,11264,5123,306646,4449,46247,671,,,
2021-01-21,MD,MDA,Maryland,6045680,685325,271905,11336,4498,243450,4027,28106,465,,,
2021-01-21,ME,MEA,Maine,1344212,165175,80502,12288,5989,67133,4994,12071,898,,,
2021-01-21,MH,MHA,Marshall Islands,58413,13600,1991,23282,3408,1959,3354,2,3,,,
2021-01-21,MI,MIA,Michigan,9986857,1059275,548844,10607,5496,463917,4645,81014,811,,,
2021-01-21,MN,MNA,Minnesota,5639632,652350,259417,11567,4600,213102,3779,46008,816,,,
2021-01-21,MO,MOA,Missouri,6137428,621200,265382,10122,4324,205217,3344,58782,958,,,
2021-01-21,MP,MPA,Northern Mariana Islands,56882,18650,7309,32787,12849,4606,8097,2700,4747,,,
2021-01-21,MS,MSA,Mississippi,2976149,334800,136691,11249,4593,124931,4198,11567,389,,,
2021-01-21,MT,MTA,Montana,1068778,112125,60389,10491,5650,50413,4717,9962,932,,,
2021-01-21,NC,NCA,North Carolina,10488084,1157100,473282,11033,4513,406257,3874,66736,636,,,
2021-01-21,ND,NDA,North Dakota,762062,82850,59245,10872,7774,48986,6428,9881,1297,,,
2021-01-21,NE,NEA,Nebraska,1934408,238000,111841,12304,5782,94850,4903,16206,838,,,
2021-01-21,NH,NHA,New Hampshire,1359711,155150,80639,11411,5931,70281,5169,10319,759,,,
2021-01-21,NJ,NJA,New Jersey,8882190,923300,432220,10395,4866,381159,4291,49420,556,,,
2021-01-21,NM,NMA,New Mexico,2096829,237725,152465,11337,7271,122956,5864,27014,1288,,,
2021-01-21,NV,NVA,Nevada,3080156,278175,115991,9031,3766,95837,3111,19296,626,,,
2021-01-21,NY,NYA,New York State,19453561,2213975,1116441,11381,5739,982183,5049,120801,621,,,
2021-01-21,OH,OHA,Ohio,11689100,1122300,487481,9601,4170,456424,3905,30910,264,,,
2021-01-21,OK,OKA,Oklahoma,3956971,490500,267434,12396,6759,230902,5835,34706,877,,,
2021-01-21,OR,ORA,Oregon,4217737,479325,216928,11365,5143,192550,4565,23866,566,,,
2021-01-21,PA,PAA,Pennsylvania,12801989,1344375,605428,10501,4729,508391,3971,96395,753,,,
2021-01-21,PR,PRA,Puerto Rico,3193694,327950,147795,10269,4628,120250,3765,26627,834,,,
2021-01-21,RI,RIA,Rhode Island,1059361,127450,59014,12031,5571,47859,4518,11136,1051,,,
2021-01-21,RP,RPA,Republic of Palau,17907,6000,2405,33506,13431,2403,13419,2,11,,,
2021-01-21,SC,SCA,South Carolina,5148714,443375,209631,8611,4072,173906,3378,34277,666,,,
2021-01-21,SD,SDA,South Dakota,884659,99300,65377,11225,7390,54531,6164,10796,1220,,,
2021-01-21,TN,TNA,Tennessee,6829174,723825,375669,10599,5501,313154,4586,61743,904,,,
2021-01-21,TX,TXA,Texas,28995881,2754800,1544551,9501,5327,1337706,4613,205538,709,,,
2021-01-21,UT,UTA,Utah,3205958,337825,189578,10537,5913,166334,5188,17275,539,,,
2021-01-21,VA,VAA,Virginia,8535519,992375,362092,11626,4242,320175,3751,40340,473,,,
2021-01-21,VA2,VA2,Veterans Health,0,1100725,527258,0,0,463738,0,62996,0,,,
2021-01-21,VI,VIA,Virgin Islands,104680,13325,2744,12729,2621,2450,2340,294,281,,,
2021-01-21,VT,VTA,Vermont,623989,78875,42835,12640,6865,36233,5807,6545,1049,,,
2021-01-21,WA,WAA,Washington,7614893,820875,373423,10780,4904,306942,4031,55902,734,,,
2021-01-21,WI,WIA,Wisconsin,5822434,577325,238758,9916,4101,204746,3517,32268,554,,,
2021-01-21,WV,WVA,West Virginia,1792147,231800,167548,12934,9349,135950,7586,31587,1763,,,
2021-01-21,WY,WYA,Wyoming,578759,67450,29309,11654,5064,25841,4465,3441,595,,,
2021-01-21,US,USA,United States,331996199,37960000,17546374,,,15053257,,2394961,,7724683,9817027,4664
2021-01-21,LTC,LTC,Long Term Care,,,2089181,,,,,,,,,
