Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019
2020-12-30,52,AK,AKA,Alaska,49425,12799,6756,1750,731545
2020-12-30,52,AL,ALA,Alabama,124275,26409,2535,539,4903185
2020-12-30,52,AR,ARA,Arkansas,124325,30469,4120,1010,3017804
2020-12-30,52,AS,ASA,American Samoa,8250,869,14814,1560,55689
2020-12-30,52,AZ,AZA,Arizona,270250,36901,3713,507,7278717
2020-12-30,52,BP2,BP2,Bureau of Prisons,7600,5070,0,0,0
2020-12-30,52,CA,CAA,California,1476425,294281,3737,745,39512223
2020-12-30,52,CO,COA,Colorado,246275,74223,4277,1289,5758736
2020-12-30,52,CT,CTA,Connecticut,112500,53649,3155,1505,3565287
2020-12-30,52,DC,DCA,District of Columbia,22700,11370,3216,1611,705749
2020-12-30,52,DD2,DD2,Dept of Defense,230525,55111,0,0,0
2020-12-30,52,DE,DEA,Delaware,44925,8495,4614,872,973764
2020-12-30,52,FL,FLA,Florida,783600,176729,3648,823,21477737
2020-12-30,52,FM,FMA,Federated States of Micronesia,1600,0,1544,0,103643
2020-12-30,52,GA,GAA,Georgia,376325,50980,3544,480,10617423
2020-12-30,52,GU,GUA,Guam,13000,2118,7842,1278,165768
2020-12-30,52,HI,HIA,Hawaii,56050,14894,3959,1052,1415872
2020-12-30,52,IA,IAA,Iowa,105550,31189,3345,989,3155070
2020-12-30,52,ID,IDA,Idaho,58175,11625,3255,651,1787065
2020-12-30,52,IH2,IH2,Indian Health Svc,141850,23386,0,0,0
2020-12-30,52,IL,ILA,Illinois,366700,123086,2894,971,12671821
2020-12-30,52,IN,INA,Indiana,316825,62820,4706,933,6732219
2020-12-30,52,KS,KSA,Kansas,114850,12164,3942,418,2913314
2020-12-30,52,KY,KYA,Kentucky,126900,29873,2840,669,4467673
2020-12-30,52,LA,LAA,Louisiana,154150,40678,3316,875,4648794
2020-12-30,52,LTC,LTC,Long Term Care,2166200,167149,0,0,0
2020-12-30,52,MA,MAA,Massachusetts,285050,65021,4136,943,6892503
2020-12-30,52,MD,MDA,Maryland,208725,35254,3452,583,6045680
2020-12-30,52,ME,MEA,Maine,53075,21067,3948,1567,1344212
2020-12-30,52,MH,MHA,Marshall Islands,1200,0,2054,0,58413
2020-12-30,52,MI,MIA,Michigan,337475,53943,3379,540,9986857
2020-12-30,52,MN,MNA,Minnesota,210750,48189,3737,854,5639632
2020-12-30,52,MO,MOA,Missouri,213925,66540,3486,1084,6137428
2020-12-30,52,MP,MPA,Northern Mariana Islands,6250,2224,10988,3910,56882
2020-12-30,52,MS,MSA,Mississippi,83450,14037,2804,472,2976149
2020-12-30,52,MT,MTA,Montana,36400,15221,3406,1424,1068778
2020-12-30,52,NC,NCA,North Carolina,328175,73423,3129,700,10488084
2020-12-30,52,ND,NDA,North Dakota,33300,13989,4370,1836,762062
2020-12-30,52,NE,NEA,Nebraska,63100,24077,3262,1245,1934408
2020-12-30,52,NH,NHA,New Hampshire,45275,13200,3330,971,1359711
2020-12-30,52,NJ,NJA,New Jersey,332825,53355,3747,601,8882190
2020-12-30,52,NM,NMA,New Mexico,71700,26591,3419,1268,2096829
2020-12-30,52,NV,NVA,Nevada,96950,23119,3148,751,3080156
2020-12-30,52,NY,NYA,New York State,682425,140676,3508,723,19453561
2020-12-30,52,OH,OHA,Ohio,291100,50776,2490,434,11689100
2020-12-30,52,OK,OKA,Oklahoma,180750,36969,4568,934,3956971
2020-12-30,52,OR,ORA,Oregon,167100,22318,3962,529,4217737
2020-12-30,52,PA,PAA,Pennsylvania,388450,121574,3034,950,12801989
2020-12-30,52,PR,PRA,Puerto Rico,126250,28818,3953,902,3193694
2020-12-30,52,RI,RIA,Rhode Island,49000,12526,4625,1182,1059361
2020-12-30,52,RP,RPA,Republic of Palau,0,0,0,0,17907
2020-12-30,52,SC,SCA,South Carolina,112125,42043,2178,817,5148714
2020-12-30,52,SD,SDA,South Dakota,38225,18483,4321,2089,884659
2020-12-30,52,TN,TNA,Tennessee,250175,76312,3663,1117,6829174
2020-12-30,52,TX,TXA,Texas,942825,205463,3252,709,28995881
2020-12-30,52,US,USA,United States,12409050,2794588,3738,842,331996199
2020-12-30,52,UT,UTA,Utah,127375,20114,3973,627,3205958
2020-12-30,52,VA,VAA,Virginia,305225,62920,3576,737,8535519
2020-12-30,52,VA2,VA2,Veterans Health,401075,73318,0,0,0
2020-12-30,52,VI,VIA,Virgin Islands,3950,147,3773,140,104680
2020-12-30,52,VT,VTA,Vermont,30025,9063,4812,1452,623989
2020-12-30,52,WA,WAA,Washington,282950,54120,3716,711,7614893
2020-12-30,52,WI,WIA,Wisconsin,159800,37446,2745,643,5822434
2020-12-30,52,WV,WVA,West Virginia,103375,39035,5768,2178,1792147
2020-12-30,52,WY,WYA,Wyoming,26175,4029,4523,696,578759
