Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-23,AK,AKA,Alaska,731545,155700,88344,21284,12076,73014,9981,15206,2079,,,
2021-01-23,AL,ALA,Alabama,4903185,521225,221540,10630,4518,193955,3956,27422,559,,,
2021-01-23,AR,ARA,Arkansas,3017804,368650,201676,12216,6683,167788,5560,31600,1047,,,
2021-01-23,AS,ASA,American Samoa,55689,18450,6831,33130,12266,5881,10560,948,1702,,,
2021-01-23,AZ,AZA,Arizona,7278717,829500,360958,11396,4959,305744,4201,55014,756,,,
2021-01-23,BP2,BP2,Bureau of Prisons,0,24750,23345,0,0,18296,0,4977,0,,,
2021-01-23,CA,CAA,California,39512223,4906525,2008220,12418,5083,1661683,4205,341731,865,,,
2021-01-23,CO,COA,Colorado,5758736,692700,377283,12029,6551,313211,5439,62086,1078,,,
2021-01-23,CT,CTA,Connecticut,3565287,492850,306796,13824,8605,264042,7406,37098,1041,,,
2021-01-23,DC,DCA,District of Columbia,705749,91025,59793,12898,8472,47088,6672,12649,1792,,,
2021-01-23,DD2,DD2,Dept of Defense,0,677025,311567,0,0,274128,0,31730,0,,,
2021-01-23,DE,DEA,Delaware,973764,116325,60023,11946,6164,49442,5077,10448,1073,,,
2021-01-23,FL,FLA,Florida,21477737,2908275,1489003,13541,6933,1333116,6207,152209,709,,,
2021-01-23,FM,FMA,Federated States of Micronesia,103643,13600,2752,13122,2655,2749,2652,3,3,,,
2021-01-23,GA,GAA,Georgia,10617423,1235775,604067,11639,5689,534161,5031,59965,565,,,
2021-01-23,GU,GUA,Guam,165768,34300,3791,20692,2287,3785,2283,0,0,,,
2021-01-23,HI,HIA,Hawaii,1415872,191575,84792,13531,5989,67990,4802,16802,1187,,,
2021-01-23,IA,IAA,Iowa,3155070,361475,180110,11457,5709,151145,4791,26426,838,,,
2021-01-23,ID,IDA,Idaho,1787065,181100,82640,10134,4624,68292,3821,13711,767,,,
2021-01-23,IH2,IH2,Indian Health Svc,0,357850,143678,0,0,120761,0,21677,0,,,
2021-01-23,IL,ILA,Illinois,12671821,1417250,654752,11184,5167,518779,4094,128907,1017,,,
2021-01-23,IN,INA,Indiana,6732219,841725,446029,12503,6625,367944,5465,77985,1158,,,
2021-01-23,KS,KSA,Kansas,2913314,348175,144909,11951,4974,122813,4216,20883,717,,,
2021-01-23,KY,KYA,Kentucky,4467673,471000,270960,10542,6065,243620,5453,25566,572,,,
2021-01-23,LA,LAA,Louisiana,4648794,543700,315023,11696,6776,272630,5865,41788,899,,,
2021-01-23,MA,MAA,Massachusetts,6892503,859175,392967,12465,5701,334514,4853,57869,840,,,
2021-01-23,MD,MDA,Maryland,6045680,742175,307411,12276,5085,272901,4514,34090,564,,,
2021-01-23,ME,MEA,Maine,1344212,178450,93003,13275,6919,74110,5513,17562,1306,,,
2021-01-23,MH,MHA,Marshall Islands,58413,13600,2873,23282,4918,2840,4862,3,5,,,
2021-01-23,MI,MIA,Michigan,9986857,1095675,652661,10971,6535,536228,5369,105890,1060,,,
2021-01-23,MN,MNA,Minnesota,5639632,680700,305297,12070,5413,240009,4256,64768,1148,,,
2021-01-23,MO,MOA,Missouri,6137428,661400,291723,10777,4753,221849,3615,68466,1116,,,
2021-01-23,MP,MPA,Northern Mariana Islands,56882,18650,8039,32787,14133,5019,8824,3016,5302,,,
2021-01-23,MS,MSA,Mississippi,2976149,358100,150524,12032,5058,136902,4600,13423,451,,,
2021-01-23,MT,MTA,Montana,1068778,119500,72544,11181,6788,59289,5547,13235,1238,,,
2021-01-23,NC,NCA,North Carolina,10488084,1246600,577007,11886,5502,497387,4742,79197,755,,,
2021-01-23,ND,NDA,North Dakota,762062,86750,68999,11384,9054,53491,7019,14412,1891,,,
2021-01-23,NE,NEA,Nebraska,1934408,238100,124069,12309,6414,103620,5357,19646,1016,,,
2021-01-23,NH,NHA,New Hampshire,1359711,162950,89816,11984,6606,76609,5634,13166,968,,,
2021-01-23,NJ,NJA,New Jersey,8882190,989900,500889,11145,5639,437711,4928,61506,692,,,
2021-01-23,NM,NMA,New Mexico,2096829,257075,184698,12260,8808,148964,7104,33133,1580,,,
2021-01-23,NV,NVA,Nevada,3080156,286950,137031,9316,4449,115160,3739,20972,681,,,
2021-01-23,NY,NYA,New York State,19453561,2395950,1282515,12316,6593,1105935,5685,162685,836,,,
2021-01-23,OH,OHA,Ohio,11689100,1233075,594924,10549,5090,535544,4582,59153,506,,,
2021-01-23,OK,OKA,Oklahoma,3956971,496350,304806,12544,7703,263315,6654,39290,993,,,
2021-01-23,OR,ORA,Oregon,4217737,492450,270463,11676,6413,231606,5491,37983,901,,,
2021-01-23,PA,PAA,Pennsylvania,12801989,1564125,695870,12218,5436,572228,4470,122849,960,,,
2021-01-23,PR,PRA,Puerto Rico,3193694,371550,173242,11634,5425,136400,4271,35705,1118,,,
2021-01-23,RI,RIA,Rhode Island,1059361,149225,63249,14086,5970,50650,4781,12580,1188,,,
2021-01-23,RP,RPA,Republic of Palau,17907,6000,2685,33506,14994,2683,14983,2,11,,,
2021-01-23,SC,SCA,South Carolina,5148714,453250,249155,8803,4839,206663,4014,40812,793,,,
2021-01-23,SD,SDA,South Dakota,884659,106575,77200,12047,8727,60982,6893,16164,1827,,,
2021-01-23,TN,TNA,Tennessee,6829174,838825,424152,12283,6211,335823,4917,87376,1279,,,
2021-01-23,TX,TXA,Texas,28995881,3070825,1727869,10591,5959,1474571,5085,251815,868,,,
2021-01-23,UT,UTA,Utah,3205958,341725,202729,10659,6324,175364,5470,20697,646,,,
2021-01-23,VA,VAA,Virginia,8535519,1069725,429297,12533,5030,376378,4410,49007,574,,,
2021-01-23,VA2,VA2,Veterans Health,0,1151525,623590,0,0,529784,0,93168,0,,,
2021-01-23,VI,VIA,Virgin Islands,104680,13525,3355,12920,3205,2946,2814,409,391,,,
2021-01-23,VT,VTA,Vermont,623989,90000,49426,14423,7921,40484,6488,8877,1423,,,
2021-01-23,WA,WAA,Washington,7614893,846625,436997,11118,5739,359217,4717,67127,882,,,
2021-01-23,WI,WIA,Wisconsin,5822434,610100,285630,10478,4906,241512,4148,42229,725,,,
2021-01-23,WV,WVA,West Virginia,1792147,243100,194844,13565,10872,156854,8752,37979,2119,,,
2021-01-23,WY,WYA,Wyoming,578759,70750,37559,12224,6490,32746,5658,4773,825,,,
2021-01-23,US,USA,United States,331996199,41411550,20537990,,,17390345,,3027865,,9061112,11471457,5421
2021-01-23,LTC,LTC,Long Term Care,,,2437670,,,,,,,,,
