Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-22,AK,AKA,Alaska,731545,299935,238279,41000,32572,153349,20962,84385,11535,21,11.5,Report,238275,153572,84131,152821,83837,27.7,15.2,551562,54379,237233,43011,,,
2021-02-22,AL,ALA,Alabama,4903185,1082100,793614,22069,16186,570355,11632,221785,4523,11.9,4.7,Report,813417,583741,228101,583544,228083,15.3,6,3814879,28365,793405,20798,,,
2021-02-22,AR,ARA,Arkansas,3017804,691525,535413,22915,17742,370403,12274,161470,5351,12.3,5.4,Report,536310,371148,161660,370986,161634,16,7,2317649,29837,535227,23094,,,
2021-02-22,AS,ASA,American Samoa,55689,29450,18816,52883,33788,10978,19713,7818,14039,19.8,14.1,Report,18933,11054,7859,10916,7781,25.1,17.9,43437,67799,18600,42821,,,
2021-02-22,AZ,AZA,Arizona,7278717,1688255,1506572,23194,20698,1108935,15235,392139,5387,14.9,5.3,Report,1475660,1083205,386775,1082130,386611,19.2,6.9,5638481,29942,1505143,26694,,,
2021-02-22,BP2,BP2,Bureau of Prisons,0,49175,52347,0,0,32591,0,19637,0,0,0,Report,52347,32591,19637,32589,19636,0,0,0,0,52344,0,,,
2021-02-22,CA,CAA,California,39512223,9178020,7604725,23228,19247,5503523,13929,2048326,5184,13.9,5.2,Report,7592706,5494435,2045420,5491594,2044694,17.9,6.7,30617582,29976,7601090,24826,,,
2021-02-22,CO,COA,Colorado,5758736,1348800,1231699,23422,21388,831826,14445,392925,6823,14.4,6.8,Report,1231047,831687,392378,831373,392289,18.5,8.7,4499217,29979,1231292,27367,,,
2021-02-22,CT,CTA,Connecticut,3565287,984275,882777,27607,24760,595390,16700,277009,7770,16.6,7.8,Report,881435,592976,277754,592281,277515,20.9,9.8,2837847,34684,881759,31071,,,
2021-02-22,DC,DCA,District of Columbia,705749,225125,164207,31899,23267,109636,15535,54187,7678,10.1,4.4,Report,102797,71399,31114,71395,31113,12.4,5.4,577581,38977,164196,28428,,,
2021-02-22,DD2,DD2,Dept of Defense,0,1181300,865896,0,0,617656,0,237626,0,0,0,Report,865896,617656,237626,617480,237611,0,0,0,0,865705,0,,,
2021-02-22,DE,DEA,Delaware,973764,204200,183901,20970,18886,134698,13833,48311,4961,13.6,4.8,Report,179552,132160,46587,132110,46573,17.2,6,770192,26513,183836,23869,,,
2021-02-22,FL,FLA,Florida,21477737,5120975,4390626,23843,20443,2879026,13405,1482708,6903,13.1,6.8,Report,4313928,2824219,1460844,2821232,1460522,16.4,8.5,17247808,29691,4387254,25437,,,
2021-02-22,FM,FMA,Federated States of Micronesia,103643,30000,12196,28946,11767,9715,9374,2425,2340,9.5,2.4,Report,12332,9820,2454,9816,2454,12.1,3,80842,37109,12192,15081,,,
2021-02-22,GA,GAA,Georgia,10617423,2292085,1873683,21588,17647,1210708,11403,623795,5875,11.2,5.8,Report,1847365,1188521,620186,1188138,620068,14.6,7.6,8113542,28250,1873187,23087,,,
2021-02-22,GU,GUA,Guam,165768,51300,49587,30947,29913,32386,19537,16865,10174,19.5,10.2,Report,49571,32377,16858,32370,16855,25,13,129299,39675,49576,38342,,,
2021-02-22,HI,HIA,Hawaii,1415872,397750,331321,28092,23400,223785,15805,107267,7576,15.9,7.6,Report,333462,225335,107829,225213,107775,20.2,9.7,1116004,35641,331145,29672,,,
2021-02-22,IA,IAA,Iowa,3155070,707865,611188,22436,19372,454792,14415,150392,4767,14.5,4.8,Report,616757,458634,152158,458261,152020,18.9,6.3,2428229,29151,610684,25149,,,
2021-02-22,ID,IDA,Idaho,1787065,358200,336243,20044,18815,227171,12712,97370,5449,12.9,5.5,Report,340596,230560,98837,230556,98835,17.2,7.4,1338864,26754,336241,25114,,,
2021-02-22,IH2,IH2,Indian Health Svc,2082813,732905,441876,35188,21215,314387,15094,121574,5837,15.1,5.8,Report,441876,314387,121574,313308,121407,0,0,0,0,440597,0,,,
2021-02-22,IL,ILA,Illinois,12671821,2924925,2354395,23082,18580,1750507,13814,566994,4474,13.9,4.6,Report,2381458,1766364,578393,1765099,578171,17.9,5.9,9853946,29683,2352876,23878,,,
2021-02-22,IN,INA,Indiana,6732219,1487400,1292340,22094,19196,884201,13134,405490,6023,13.1,6,Report,1293657,884605,406193,884406,406127,17.1,7.9,5164245,28802,1292075,25020,,,
2021-02-22,KS,KSA,Kansas,2913314,645800,514728,22167,17668,359269,12332,151375,5196,13,5.6,Report,547324,379563,163500,379253,163354,17.1,7.4,2213064,29181,514285,23239,,,
2021-02-22,KY,KYA,Kentucky,4467673,1006050,839508,22518,18791,573961,12847,262062,5866,13.3,6,Report,866897,595646,267789,595427,267726,17.2,7.7,3464802,29036,839247,24222,,,
2021-02-22,LA,LAA,Louisiana,4648794,1043200,903226,22440,19429,594561,12790,306685,6597,12.6,6.5,Report,889721,585541,302205,585441,302183,16.4,8.5,3561164,29294,903099,25360,,,
2021-02-22,MA,MAA,Massachusetts,6892503,1737170,1468992,25204,21313,1080511,15677,384582,5580,15.5,5.5,Report,1456883,1070869,382100,1070219,381858,19.3,6.9,5539703,31359,1468135,26502,,,
2021-02-22,MD,MDA,Maryland,6045680,1450000,1111529,23984,18386,754894,12487,354904,5870,12.9,6.1,Report,1153238,781516,369686,781248,369602,16.6,7.8,4710993,30779,1111197,23587,,,
2021-02-22,ME,MEA,Maine,1344212,335375,297116,24950,22103,204495,15213,90423,6727,15.4,6.9,Report,302297,207602,92472,207502,92425,18.9,8.4,1095370,30618,296974,27112,,,
2021-02-22,MH,MHA,Marshall Islands,58413,21000,8926,35951,15281,7175,12283,1695,2902,12.3,2.9,Report,8936,7182,1698,7173,1697,15.7,3.7,45562,46091,8918,19573,,,
2021-02-22,MI,MIA,Michigan,9986857,2279240,1972201,22822,19748,1282233,12839,670899,6718,13.1,6.8,Report,2005047,1304589,681226,1304290,681102,16.6,8.7,7842924,29061,1971777,25141,,,
2021-02-22,MN,MNA,Minnesota,5639632,1284150,1138309,22770,20184,788885,13988,345351,6124,14.1,6.1,Report,1145023,794373,346167,793928,345966,18.3,8,4336475,29613,1137672,26235,,,
2021-02-22,MO,MOA,Missouri,6137428,1275555,1103908,20783,17986,745007,12139,348584,5680,11.7,5.4,Report,1057070,717772,329170,717486,329083,15.1,6.9,4766843,26759,1103510,23150,,,
2021-02-22,MP,MPA,Northern Mariana Islands,56882,29650,16091,52125,28288,9575,16833,6506,11438,16.8,11.4,Report,16087,9570,6507,9566,6506,21.6,14.7,44368,66827,16086,36256,,,
2021-02-22,MS,MSA,Mississippi,2976149,650750,499055,21866,16768,353710,11885,144566,4857,12,5,Report,505966,356924,148214,356847,148197,15.7,6.5,2277566,28572,498963,21908,,,
2021-02-22,MT,MTA,Montana,1068778,259215,240814,24253,22532,167797,15700,72256,6761,15.8,6.8,Report,241587,168580,72225,168411,72188,20,8.6,840190,30852,240604,28637,,,
2021-02-22,NC,NCA,North Carolina,10488084,2363200,2105120,22532,20072,1385902,13214,716027,6827,13.1,6.7,Report,2078365,1368734,706245,1367773,705682,16.7,8.6,8187369,28864,2103595,25693,,,
2021-02-22,ND,NDA,North Dakota,762062,198650,196365,26067,25768,128657,16883,65503,8595,16.4,8.3,Report,190662,125196,63546,125048,63502,21.5,10.9,581891,34139,196164,33711,,,
2021-02-22,NE,NEA,Nebraska,1934408,482975,380648,24968,19678,258588,13368,119890,6198,13.3,6.1,Report,378591,257986,118426,257688,118324,17.7,8.1,1458334,33118,380250,26074,,,
2021-02-22,NH,NHA,New Hampshire,1359711,328525,267893,24161,19702,184739,13587,82957,6101,14.1,6.3,Report,277721,192129,85308,191775,85186,17.4,7.7,1104458,29745,267391,24210,,,
2021-02-22,NJ,NJA,New Jersey,8882190,1917150,1711610,21584,19270,1183501,13324,521674,5873,13.9,6.2,Report,1796947,1233939,551548,1232730,551228,17.8,7.9,6943612,27610,1710083,24628,,,
2021-02-22,NM,NMA,New Mexico,2096829,605885,604732,28895,28840,399799,19067,198486,9466,19.5,9.6,Report,616393,409505,200459,408383,200301,25.2,12.4,1620991,37377,603623,37238,,,
2021-02-22,NV,NVA,Nevada,3080156,646450,586518,20988,19042,405633,13169,176341,5725,13,5.7,Report,580791,401413,174793,401283,174753,16.8,7.3,2387517,27076,586344,24559,,,
2021-02-22,NY,NYA,New York State,19453561,4171175,3711664,21442,19080,2408373,12380,1218748,6265,12.3,6.2,Report,3685048,2400850,1205614,2399815,1205328,15.6,7.8,15425262,27041,3710359,24054,,,
2021-02-22,OH,OHA,Ohio,11689100,2518775,2196607,21548,18792,1503346,12861,688163,5887,12.8,5.9,Report,2189416,1498985,685269,1498318,684966,16.4,7.5,9111081,27645,2195644,24099,,,
