Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-05-02,US,USA,United States,331996199,Report,312509575,245591469,94130,73974,106780082,130252779,8374395,184213,147047012,44.3,29.1,144909039,56.1,242753391,94043,121066,45256931,82.7,82724634,151242,571348,96472537,95780264,37.1,131844200,162201975,18463400,0,43389704,53035196,8303878,45874,43323041,52409699,8282877,45785,18354697,18157635,1525526,19214,104774652,31.6,104061403,40.3,38057073,69.6,,,,
2021-05-02,AK,AKA,Alaska,731545,Report,769205,562442,105148,76884,251568,296006,14791,77,308462,42.2,34.1,301038,54.6,549541,99634,139459,71518,78.1,134812,147194,839853,249597,244144,44.3,330100,385905,53200,0,114428,135150,13733,19,114169,129956,13670,19,38192,26789,1550,10,263330,36,257814,46.7,66541,72.7,,,,
2021-05-02,AL,ALA,Alabama,4903185,Report,4130550,2622717,84242,53490,1251548,1296181,74988,0,1601433,32.7,22.2,1591056,41.7,2609013,68390,108275,619725,72.9,1077044,126735,486040,1088748,1085169,28.4,1815200,2065050,250300,0,519137,569551,76731,60,519047,566062,76696,60,264924,213575,23517,39,1165479,23.8,1161865,30.5,502055,59.1,,,,
2021-05-02,AR,ARA,Arkansas,3017804,Report,2644650,1824158,87635,60447,861750,906540,55414,454,1081910,35.9,24.3,1067892,46.1,1804809,77872,114109,384883,73.5,687496,131231,504818,734155,728728,31.4,1168200,1316250,160200,0,359212,374835,54083,108,358962,369660,53827,106,178271,122411,8778,75,788238,26.1,782555,33.8,309535,59.1,,,,
2021-05-02,AS,ASA,American Samoa,55689,Report,54030,38743,97021,69570,8710,30011,22,0,21732,39,30.7,20984,48.3,37454,86226,124387,2455,25.9,4548,48041,570719,17113,16575,38.2,15600,37830,600,0,3808,13305,29,0,3798,12777,29,0,867,1290,6,0,17142,30.8,16604,38.2,2163,22.8,,,,
2021-05-02,AZ,AZA,Arizona,7278717,Report,6652295,5162655,91394,70928,2265703,2754938,138913,3101,2997499,41.2,27.9,2953185,52.4,5092972,90325,117980,1038906,79.4,1932758,147693,508339,2029392,2006504,35.6,2912700,3358095,381500,0,888901,1139468,134035,1023,888743,1116739,133949,1022,413558,403935,25609,673,2163427,29.7,2140453,38,843775,64.5,,,,
2021-05-02,BP2,BP2,Bureau of Prisons,0,Report,158890,154081,0,0,59987,91308,2786,0,87100,0,0,87099,0,154080,0,0,3033,0,5699,0,0,66241,66241,0,61500,90090,7300,0,25019,41222,2772,0,25019,41222,2772,0,1281,1352,41,0,69013,0,69013,0,2674,0,,,,
2021-05-02,CA,CAA,California,39512223,Report,39630080,31185031,100298,78925,13737110,16333673,1110692,3556,19593097,49.6,28.9,19217217,62.8,30710770,100304,129436,5118970,87.7,8991917,154021,678816,11404613,11307253,36.9,16706600,20545980,2377500,0,5275246,6128560,1101240,807,5269035,6037413,1097385,805,2041390,1755580,114733,399,12505853,31.7,12404638,40.5,3912102,67,,,,
2021-05-02,CO,COA,Colorado,5758736,Report,5425720,4549102,94217,78995,2051864,2349078,146973,1187,2708668,47,31,2657039,59.1,4479253,99556,120593,701345,83.3,1322007,156931,644070,1787773,1769620,39.3,2333800,2799420,292500,0,838419,949018,145073,336,837550,931736,144507,334,307853,290660,13071,147,1932846,33.6,1914127,42.5,611731,72.6,,,,
2021-05-02,CT,CTA,Connecticut,3565287,Report,3915915,3300234,109834,92566,1354180,1820633,125162,259,1980863,55.6,36.5,1940092,68.4,3250275,114533,137989,570790,90.6,1084179,172025,621333,1300244,1291886,45.5,1611700,2074215,230000,0,560513,739673,125233,58,560241,731587,125125,58,202044,298968,11918,20,1425477,40,1417011,49.9,512950,81.4,,,,
2021-05-02,DC,DCA,District of Columbia,705749,Report,864815,615530,122539,87217,240187,354484,20822,37,344415,48.8,27.3,341961,59.2,613028,106137,149731,67779,77.6,147270,168611,990137,192893,192126,33.3,339600,479115,46100,0,78428,114435,24630,30,78418,113679,24615,29,28840,21987,1641,9,217523,30.8,216741,37.5,52477,60.1,,,,
