Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-25,AK,AKA,Alaska,731545,319265,249559,43643,34114,158560,21675,90416,12360,21.7,12.3,Report,249615,158792,90214,157991,89894,28.6,16.3,551562,57884,248436,45042,,,
2021-02-25,AL,ALA,Alabama,4903185,1170120,864757,23864,17637,601343,12264,261689,5337,12.5,5.5,Report,885395,615100,268465,614886,268445,16.1,7,3814879,30673,864529,22662,,,
2021-02-25,AR,ARA,Arkansas,3017804,826130,572553,27375,18973,384549,12743,184346,6109,12.8,6.1,Report,573561,385351,184592,385183,184563,16.6,8,2317649,35645,572358,24696,,,
2021-02-25,AS,ASA,American Samoa,55689,29450,19739,52883,35445,11738,21078,7979,14328,21.2,14.4,Report,19856,11814,8020,11646,7936,26.8,18.3,43437,67799,19487,44863,,,
2021-02-25,AZ,AZA,Arizona,7278717,2064265,1607544,28360,22086,1163157,15980,438355,6022,15.6,5.9,Report,1574372,1136024,432137,1134781,431901,20.1,7.7,5638481,36610,1605824,28480,,,
2021-02-25,BP2,BP2,Bureau of Prisons,0,57155,55100,0,0,33533,0,21439,0,0,0,Report,55100,33533,21439,33531,21438,0,0,0,0,55097,0,,,
2021-02-25,CA,CAA,California,39512223,10956910,8064121,27730,20409,5746607,14544,2263406,5728,14.5,5.7,Report,8051116,5737092,2259934,5734001,2259149,18.7,7.4,30617582,35786,8060175,26325,,,
2021-02-25,CO,COA,Colorado,5758736,1597960,1294236,27748,22474,860120,14936,426938,7414,14.9,7.4,Report,1293529,859919,426398,859579,426296,19.1,9.5,4499217,35516,1293794,28756,,,
2021-02-25,CT,CTA,Connecticut,3565287,1113035,925946,31219,25971,629625,17660,285804,8016,17.6,8,Report,924472,627101,286522,626382,286274,22.1,10.1,2837847,39221,924894,32591,,,
2021-02-25,DC,DCA,District of Columbia,705749,272005,173030,38541,24517,114383,16207,58201,8247,10.6,4.8,Report,108935,74825,33781,74819,33780,13,5.8,577581,47094,173018,29956,,,
2021-02-25,DD2,DD2,Dept of Defense,0,1320065,907189,0,0,635697,0,260819,0,0,0,Report,907189,635697,260819,635489,260795,0,0,0,0,906957,0,,,
2021-02-25,DE,DEA,Delaware,973764,289515,195534,29732,20080,137830,14154,56790,5832,13.9,5.6,Report,191142,135362,54950,135312,54936,17.6,7.1,770192,37590,195469,25379,,,
2021-02-25,FL,FLA,Florida,21477737,6013185,4605201,27997,21442,2983316,13890,1590721,7406,13.6,7.3,Report,4526282,2927858,1567301,2924839,1566975,17,9.1,17247808,34863,4601794,26680,,,
2021-02-25,FM,FMA,Federated States of Micronesia,103643,30000,13320,28946,12852,10200,9841,3018,2912,9.9,2.9,Report,13457,10306,3047,10302,3047,12.7,3.8,80842,37109,13316,16472,,,
2021-02-25,GA,GAA,Georgia,10617423,2645625,1961849,24918,18478,1241431,11692,678886,6394,11.5,6.4,Report,1935156,1219200,674956,1218800,674829,15,8.3,8113542,32608,1961328,24174,,,
2021-02-25,GU,GUA,Guam,165768,51300,52661,30947,31768,33687,20322,18615,11230,20.3,11.2,Report,52648,33677,18611,33667,18605,26,14.4,129299,39675,52644,40715,,,
2021-02-25,HI,HIA,Hawaii,1415872,477450,348897,33721,24642,231599,16357,117019,8265,16.5,8.3,Report,351152,233205,117638,233071,117581,20.9,10.5,1116004,42782,348707,31246,,,
2021-02-25,IA,IAA,Iowa,3155070,837515,631160,26545,20005,469234,14872,155667,4934,15,5,Report,637741,473529,157985,473149,157845,19.5,6.5,2428229,34491,630647,25971,,,
2021-02-25,ID,IDA,Idaho,1787065,432185,356987,24184,19976,235862,13198,109348,6119,13.4,6.2,Report,361337,239100,110960,239096,110957,17.9,8.3,1338864,32280,356985,26663,,,
2021-02-25,IH2,IH2,Indian Health Svc,2082813,826090,488731,39662,23465,342938,16465,139832,6714,16.5,6.7,Report,488731,342938,139832,341527,139588,0,0,0,0,487043,0,,,
2021-02-25,IL,ILA,Illinois,12671821,3499685,2519447,27618,19882,1840030,14521,639901,5050,14.6,5.1,Report,2547621,1855962,652316,1854614,652042,18.8,6.6,9853946,35516,2517791,25551,,,
2021-02-25,IN,INA,Indiana,6732219,1810380,1459296,26891,21676,946248,14056,497544,7390,14.1,7.4,Report,1459137,945948,497603,945732,497526,18.3,9.6,5164245,35056,1459002,28252,,,
2021-02-25,KS,KSA,Kansas,2913314,839575,542433,28819,18619,373244,12812,164940,5662,13.5,6.1,Report,576442,394141,177877,393822,177724,17.8,8,2213064,37937,541974,24490,,,
2021-02-25,KY,KYA,Kentucky,4467673,1230465,907836,27542,20320,609932,13652,294202,6585,14.1,6.7,Report,936776,632128,300918,631899,300847,18.2,8.7,3464802,35513,907558,26194,,,
2021-02-25,LA,LAA,Louisiana,4648794,1264780,943419,27207,20294,610568,13134,330738,7114,12.9,7,Report,929374,601353,325913,601235,325888,16.9,9.2,3561164,35516,943271,26488,,,
2021-02-25,MA,MAA,Massachusetts,6892503,2025060,1576657,29381,22875,1144241,16601,428265,6213,16.5,6.2,Report,1562986,1133903,424922,1133200,424645,20.5,7.7,5539703,36555,1575710,28444,,,
2021-02-25,MD,MDA,Maryland,6045680,1795785,1199143,29704,19835,797863,13197,399241,6604,13.7,6.9,Report,1242837,825512,414970,825206,414870,17.5,8.8,4710993,38119,1198757,25446,,,
2021-02-25,ME,MEA,Maine,1344212,398190,305397,29623,22719,208714,15527,94469,7028,15.8,7.2,Report,310809,211933,96635,211825,96587,19.3,8.8,1095370,36352,305246,27867,,,
2021-02-25,MH,MHA,Marshall Islands,58413,21000,10360,35951,17736,8076,13826,2227,3813,13.8,3.8,Report,10369,8082,2230,8073,2229,17.7,4.9,45562,46091,10352,22721,,,
2021-02-25,MI,MIA,Michigan,9986857,2672490,2103114,26760,21059,1341024,13428,740415,7414,13.7,7.5,Report,2138117,1364572,751675,1364252,751539,17.4,9.6,7842924,34075,2102657,26810,,,
2021-02-25,MN,MNA,Minnesota,5639632,1547920,1218799,27447,21611,824500,14620,389777,6911,14.7,6.9,Report,1225829,830072,390829,829602,390618,19.1,9,4336475,35695,1218127,28090,,,
