Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-03-05,AK,AKA,Alaska,731545,421375,281467,57601,38476,174208,23814,106597,14571,23.9,14.6,Report,281839,174588,106558,173641,106029,31.5,19.2,551562,76397,279988,50763,,,
2021-03-05,AL,ALA,Alabama,4903185,1556460,1064578,31744,21712,687445,14020,374826,7645,14.4,7.8,Report,1089685,704173,383078,703919,383050,18.5,10,3814879,40800,1064302,27899,,,
2021-03-05,AR,ARA,Arkansas,3017804,1064920,723756,35288,23983,463108,15346,256589,8503,15.4,8.5,Report,726094,464641,257367,464433,257326,20,11.1,2317649,45948,723519,31218,,,
2021-03-05,AS,ASA,American Samoa,55689,43210,21625,77592,38832,13386,24037,8208,14739,24.2,14.8,Report,21751,13468,8252,13258,8165,30.5,18.8,43437,99477,21328,49101,,,
2021-03-05,AZ,AZA,Arizona,7278717,2598435,2038623,35699,28008,1356443,18636,671617,9227,18.2,9,Report,1993946,1325003,658220,1322976,657693,23.5,11.7,5638481,46084,2035634,36103,,,
2021-03-05,BP2,BP2,Bureau of Prisons,0,65335,70129,0,0,42853,0,27041,0,0,0,Report,70129,42853,27041,42851,27040,0,0,0,0,70126,0,,,
2021-03-05,CA,CAA,California,39512223,13609110,10071476,34443,25490,6880222,17413,3128908,7919,17.4,7.9,Report,10054840,6868469,3124031,6863955,3122913,22.4,10.2,30617582,44449,10065771,32876,,,
2021-03-05,CO,COA,Colorado,5758736,2008930,1528864,34885,26549,992266,17231,526306,9139,17.2,9.1,Report,1528835,991979,526521,991540,526385,22,11.7,4499217,44651,1528287,33968,,,
2021-03-05,CT,CTA,Connecticut,3565287,1421045,1121517,39858,31457,793790,22264,316991,8891,22.2,8.9,Report,1119134,790039,318025,789206,317764,27.8,11.2,2837847,50075,1120342,39479,,,
2021-03-05,DC,DCA,District of Columbia,705749,337095,211736,47764,30002,137914,19542,73279,10383,13.1,6.4,Report,138403,92623,45362,92606,45360,16,7.9,577581,58363,211711,36655,,,
