Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-10-06,US,USA,United States,331996199,Report,480427985,398675414,144709,120084,152371218,230795097,15107206,401893,216012495,65.1,51.7,201242167,77.9,371720714,143933,186025,51719680,94.6,101199639,185020,878351,171595473,159553436,61.8,189837820,267414315,23156500,19350,68888853,102499911,14886447,110540,68810089,90539653,14859110,108350,21886833,21694323,2174514,48208,186385751,56.1,174317202,67.5,45803878,83.7,101199639,283545812,398310809,140475,169436,215780007,76.1,171465839,60.5,186253066,65.7,68885414,102373812,14883373,110467,398310809,40,6372007,3.4,5327430,5.8,6352478,3.6,4094408,8.9,1423989,4935506,8770,3742,,,,
2021-10-06,AK,AKA,Alaska,731545,Report,1079085,805975,147508,110174,315549,455406,34529,491,421985,57.7,46.6,390480,70.8,747747,135569,195642,79348,86.6,159482,174130,1178200,340965,314857,57.1,427820,583365,67900,0,142386,198284,32213,67,141999,172571,32078,62,41181,29914,3100,28,372950,51,346710,62.9,74223,81,152556,608877,803752,132006,177225,420642,69.1,340101,55.9,372084,61.1,142382,197424,32211,67,750241,,,,,,,,,,,,,,,,,
2021-10-06,AL,ALA,Alabama,4903185,Report,6757960,4594736,137828,93709,2014783,2441076,138812,65,2600070,53,40.3,2463290,64.6,4357261,114218,177147,737670,86.8,1377700,162113,795207,1975928,1875313,49.2,3024320,3426840,306800,0,904261,1070144,140922,405,903839,969954,140842,404,338667,266654,34411,262,2115732,43.2,2015039,52.8,639994,75.3,1330171,4186880,4594305,109731,161408,2599672,62.1,1975862,47.2,2115659,50.5,904250,1070090,140914,405,4443027,,,,,,,,,,,,,,,,,
2021-10-06,AR,ARA,Arkansas,3017804,Report,4122520,3066728,136607,101621,1315096,1649500,99235,2897,1692652,56.1,42.9,1575155,68,2857725,123303,177875,449792,85.9,859767,164115,786918,1294102,1203602,51.9,1796300,2132820,193400,0,592084,700639,97361,727,591020,611260,96849,701,217371,152856,14173,413,1390811,46.1,1299830,56.1,384813,73.5,822148,2557248,3061487,119718,161209,1688840,66,1292731,50.6,1389322,54.3,592076,699278,97243,725,2972897,,,,,,,,,,,,,,,,,
2021-10-06,AS,ASA,American Samoa,55689,Report,66550,62461,119503,112160,16414,45500,546,1,34269,61.5,50.7,28512,65.7,52050,120000,153429,2872,30.4,5366,56867,705278,28212,23593,54.4,16600,49350,600,0,7244,20966,554,0,7229,16362,553,0,1082,1482,25,0,28764,51.7,24144,55.7,2589,27.4,5366,47557,62444,131303,139937,34259,72,28205,59.3,28757,60.5,7243,20960,554,0,62444,,,,,,,,,,,,,,,,,
2021-10-06,AZ,AZA,Arizona,7278717,Report,10006630,8327793,137478,114413,3358883,4663765,290983,14162,4343971,59.7,47.7,4038784,71.6,7759252,137612,177470,1169230,89.3,2400480,183434,764663,3471433,3221491,57.1,4054280,5492850,459500,0,1459507,2005492,281249,4235,1458930,1756190,280839,4185,500214,476565,45915,2258,3750483,51.5,3500144,62.1,1024952,78.3,2259950,6206060,8326690,134170,161240,4343012,70,3471286,55.9,3750102,60.4,1459482,2005372,281014,4234,7814514,,,,,,,,,,,,,,,,,
2021-10-06,BP2,BP2,Bureau of Prisons,0,Report,252910,229685,0,0,92644,125383,11653,5,123009,0,0,123007,0,229683,0,0,3539,0,6920,0,0,106014,106014,0,108500,132210,12200,0,44825,61138,11620,0,44825,61138,11619,0,1672,1647,170,0,117583,0,117582,0,3489,0,6920,0,229683,0,0,123007,0,106014,0,117582,0,44825,61138,11619,0,229683,,,,,,,,,,,,,,,,,
2021-10-06,CA,CAA,California,39512223,Report,59085375,51335279,149537,129923,19499163,29952083,1870627,13406,28572741,72.3,54.8,26387804,86.2,47377173,154738,192979,5871961,99.9,10984932,188159,1012060,21664970,19899404,65,22643840,33641235,2800300,0,8582355,13060851,1857722,4011,8556929,11321065,1850235,3744,2388729,2160631,185600,1265,23504939,59.5,21731973,71,4736225,81.1,10707999,33646265,51205489,152188,175608,28492143,84.7,21616376,64.2,23455996,69.7,8581924,13012700,1857370,4002,50250888,,,,,,,,,,,,,,,,,
2021-10-06,CO,COA,Colorado,5758736,Report,8262245,7273165,143473,126298,2847139,4150008,270938,5080,3799871,66,55.3,3520543,78.2,6747019,149960,183637,772753,91.7,1592608,189053,980784,3182739,2938811,65.3,3284640,4606005,371600,0,1310247,1868324,266225,1496,1306597,1628151,265028,1443,342971,340698,24040,527,3446292,59.8,3201219,71.2,708236,84.1,1547194,4936061,7253019,146939,167385,3788011,76.7,3174645,64.3,3438173,69.7,1310230,1860248,266200,1495,7031966,,,,,,,,,,,,,,,,,
2021-10-06,CT,CTA,Connecticut,3565287,Report,5701935,5113156,159929,143415,1875334,3030500,206350,972,2739863,76.8,63.5,2533244,89.3,4725650,166522,200925,634917,99.9,1274112,202162,904719,2262228,2086054,73.5,2281340,3154395,266200,0,880226,1380727,205530,342,879836,1205037,205356,262,229692,332573,20490,71,2466825,69.2,2290491,80.7,582826,92.5,1242370,3105947,5111426,164569,183581,2738529,88.2,2261836,72.8,2466353,79.4,880021,1380543,205450,339,5026845,,,,,,,,,,,,,,,,,
2021-10-06,DC,DCA,District of Columbia,705749,Report,1228465,1011741,174065,143357,378210,602075,31014,442,504589,71.5,55.7,480055,83.1,972617,168395,212691,82470,94.4,192651,220568,1406480,393192,375743,65.1,477900,694665,55900,0,155543,236926,34791,265,155480,219560,34770,247,39547,31241,2510,41,427525,60.6,410057,71,73339,84,169013,609754,1011648,165911,201469,504476,82.7,393145,64.5,427475,70.1,155537,236888,34788,262,914908,,,,,,,,,,,,,,,,,
2021-10-06,DD2,DD2,Dept of Defense,0,Report,5432380,5757605,0,0,2070666,3425905,252100,8934,3162467,0,0,3000617,0,5463526,0,0,218436,0,414283,0,0,2171511,2046856,0,1893280,3341700,197400,0,817126,1353980,220043,22,816986,1229467,219868,22,53934,91859,7250,0,2391171,0,2266343,0,153043,0,414283,0,5757362,0,0,3162282,0,2171466,0,2391105,0,817111,1353950,220022,22,5757362,,,,,,,,,,,,,,,,,
2021-10-06,DE,DEA,Delaware,973764,Report,1565475,1222765,160765,125571,467056,703472,50957,1280,652297,67,53,611517,79.4,1142529,148343,203258,185951,98.4,366001,193748,828706,516431,482125,62.6,620340,879135,66000,0,207474,308245,50436,463,207359,274060,50394,458,67925,88347,9267,252,566618,58.2,532271,69.1,165791,87.8,349178,839807,1222554,145576,186409,652123,77.7,516395,61.5,566573,67.5,207470,308213,50427,463,1184500,,,,,,,,,,,,,,,,,
2021-10-06,FL,FLA,Florida,21477737,Report,33220275,27183658,154673,126567,10138086,15739164,1211569,94839,14476194,67.4,52.4,13654156,79.2,25678391,148879,192606,4355503,96.8,8927261,198501,738665,11256717,10599892,61.5,12931160,18488715,1800400,0,4420134,6799119,1193673,28475,4418539,6144119,1192166,28289,1848628,1752125,198238,17345,12441401,57.9,11783113,68.3,3816336,84.9,8598506,18696028,27174655,145350,177686,14468109,77.4,11255788,60.2,12439686,66.5,4419452,6798877,1192886,28471,26370424,,,,,,,,,,,,,,,,,
2021-10-06,FM,FMA,Federated States of Micronesia,103643,Report,86370,73404,83334,70824,60546,1212,11646,0,44967,43.4,27,44283,54.9,72212,89453,106992,3521,20.1,5758,32789,491828,27990,27479,34,72600,2970,10800,0,27304,642,11113,1,27299,136,11090,1,2171,7,1038,0,39060,37.7,38526,47.7,3216,18.3,5758,88509,73389,82917,97583,44953,50.8,27989,31.6,39051,44.1,27303,642,11105,1,73389,,,,,,,,,,,,,,,,,
2021-10-06,GA,GAA,Georgia,10617423,Report,14672245,10855401,138190,102241,4334898,6236131,275671,8701,5877848,55.4,43.6,5486610,67.6,10178672,125453,180836,1330604,87.7,2674348,176297,967218,4630957,4344983,53.6,6091800,7943445,637000,0,1917176,2707446,273770,2832,1916386,2422489,273354,2658,637550,495070,32300,1343,4901224,46.2,4614887,56.9,1166263,76.9,2601407,8988102,10852721,120745,163241,5875559,65.4,4630521,51.5,4900686,54.5,1917121,2707071,273667,2827,10471488,,,,,,,,,,,,,,,,,
