Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-09-25,US,USA,United States,331996199,Report,471821155,389372689,142116,117282,150832560,223228392,14925576,386161,213177462,64.2,50.8,198678458,76.9,363108708,140598,182692,51109635,93.4,97792189,178790,862615,168730993,157185954,60.9,188193960,261055545,22552300,19350,68151547,100385140,14709834,106805,67626600,89288465,14584870,104754,21487287,21726592,2243013,46518,183353326,55.2,171604690,66.4,45503411,83.2,97792189,283545812,389010539,137195,166400,212946366,75.1,168601964,59.5,183219988,64.6,68147559,100258829,14706861,106738,389010539,38,2527656,,,,
2021-09-25,AK,AKA,Alaska,731545,Report,1043135,775688,142593,106034,309953,431722,33633,380,415735,56.8,45.5,384932,69.8,719494,130447,189124,78561,85.8,152556,166568,1138940,332989,307961,55.8,420680,556455,66000,0,140672,192037,31339,64,140290,167398,31204,60,40998,29583,3040,28,364112,49.8,338952,61.5,73649,80.4,145738,608877,773470,127032,171321,414394,68.1,332128,54.5,363249,59.7,140668,191180,31337,64,721637,,,,,,
2021-09-25,AL,ALA,Alabama,4903185,Report,6639550,4471337,135413,91193,1982728,2350886,137668,55,2565735,52.3,39.2,2432128,63.8,4243511,111236,174044,731493,86.1,1341608,157867,781273,1922131,1827818,47.9,2985440,3353310,300800,0,885134,1035606,139812,383,884716,941713,139733,382,336196,263528,34322,250,2060935,42,1966544,51.5,634296,74.6,1294869,4186880,4470929,106784,158580,2565345,61.3,1922079,45.9,2060876,49.2,885123,1035565,139805,383,4321540,,,,,,
2021-09-25,AR,ARA,Arkansas,3017804,Report,3993940,2985110,132346,98917,1300286,1583805,98284,2735,1673516,55.5,42,1557834,67.2,2781010,119993,172327,445550,85,828584,158162,762374,1268076,1180603,50.9,1774840,2033100,186000,0,583638,683136,96406,693,582583,596772,95896,670,216306,149348,14096,402,1363873,45.2,1275921,55.1,380152,72.6,791394,2557248,2979884,116527,156181,1669716,65.3,1266708,49.5,1362388,53.3,583631,681777,96289,691,2892429,,,,,,
2021-09-25,AS,ASA,American Samoa,55689,Report,66050,60992,118605,109523,15921,44524,546,1,33695,60.5,49.1,28110,64.8,51151,117927,152277,2851,30.2,5325,56433,699979,27322,23100,53.3,16100,49350,600,0,6849,20472,554,0,6834,16265,553,0,1065,1479,25,0,27875,50.1,23652,54.5,2569,27.2,5325,47557,60976,128217,138886,33685,70.8,27316,57.4,27869,58.6,6848,20467,554,0,60976,,,,,,
2021-09-25,AZ,AZA,Arizona,7278717,Report,9821370,8146454,134933,111922,3327931,4517790,287466,13267,4294793,59,47,3995581,70.9,7591656,134640,174185,1160464,88.7,2326514,177782,750506,3419485,3176986,56.3,4022180,5351190,448000,0,1445878,1967576,277963,4022,1445321,1725691,277557,3976,498502,468542,45697,2151,3695439,50.8,3452545,61.2,1014892,77.6,2189547,6206060,8145381,131249,158255,4293855,69.2,3419343,55.1,3695064,59.5,1445854,1967460,277729,4021,7642971,,,,,,
2021-09-25,BP2,BP2,Bureau of Prisons,0,Report,240690,226122,0,0,90956,123675,11491,0,121345,0,0,121343,0,226120,0,0,3530,0,6888,0,0,104209,104209,0,99120,129870,11700,0,44042,60119,11462,0,44042,60119,11461,0,1662,1640,167,0,115623,0,115622,0,3469,0,6888,0,226120,0,0,121343,0,104209,0,115622,0,44042,60119,11461,0,226120,,,,,,
2021-09-25,CA,CAA,California,39512223,Report,58124805,50255214,147106,127189,19322463,29072679,1846966,13106,28204882,71.4,54,26063402,85.1,46387794,151507,189841,5798720,99.3,10617935,181873,995609,21351015,19632475,64.1,22508200,32886405,2730200,0,8511187,12819449,1834281,3940,8485870,11126565,1826818,3685,2380173,2130468,183828,1251,23168857,58.6,21442938,70,4695720,80.4,10345380,33646265,50125665,148978,172753,28124445,83.6,21302505,63.3,23120002,68.7,8510758,12771380,1833933,3931,49187040,,,,,,
2021-09-25,CO,COA,Colorado,5758736,Report,8109865,7111715,140827,123494,2821578,4018638,266582,4917,3759587,65.3,54.5,3484064,77.4,6594682,146574,180251,766572,91,1527199,181289,962696,3140370,2901645,64.5,3265320,4483245,361300,0,1301354,1835130,262041,1452,1297713,1600144,260850,1402,342056,334374,23762,508,3399977,59,3160109,70.2,700700,83.2,1482656,4936061,7091606,143669,164298,3747751,75.9,3132287,63.5,3391871,68.7,1301337,1827065,262018,1451,6875254,,,,,,
2021-09-25,CT,CTA,Connecticut,3565287,Report,5591065,4994993,156819,140101,1858997,2930801,204257,938,2700703,75.7,62.7,2497633,88,4615300,162634,197018,623840,99,1218379,193319,887127,2234599,2062679,72.7,2265100,3064665,261300,0,873261,1360161,203438,329,872872,1188715,203264,257,229065,331049,20355,70,2437189,68.4,2265108,79.8,580539,92.1,1187813,3105947,4993267,160765,180012,2699371,86.9,2234209,71.9,2436719,78.5,873056,1359978,203358,327,4910542,,,,,,
