Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-26,AK,AKA,Alaska,731545,162925,98149,22271,13417,81200,11100,16815,2299,,,
2021-01-26,AL,ALA,Alabama,4903185,569000,254959,11605,5200,223854,4565,30933,631,,,
2021-01-26,AR,ARA,Arkansas,3017804,394775,236290,13082,7830,196815,6522,37055,1228,,,
2021-01-26,AS,ASA,American Samoa,55689,18450,8315,33130,14931,7365,13225,948,1702,,,
2021-01-26,AZ,AZA,Arizona,7278717,837200,430892,11502,5920,366018,5029,64551,887,,,
2021-01-26,BP2,BP2,Bureau of Prisons,0,30050,25513,0,0,19471,0,5971,0,,,
2021-01-26,CA,CAA,California,39512223,5340275,2446577,13516,6192,2053652,5198,387563,981,,,
2021-01-26,CO,COA,Colorado,5758736,726450,457746,12615,7949,372266,6464,82946,1440,,,
2021-01-26,CT,CTA,Connecticut,3565287,515675,342643,14464,9611,291257,8169,45190,1267,,,
2021-01-26,DC,DCA,District of Columbia,705749,97600,64748,13829,9174,51399,7283,13293,1884,,,
2021-01-26,DD2,DD2,Dept of Defense,0,689425,346180,0,0,304294,0,35570,0,,,
2021-01-26,DE,DEA,Delaware,973764,129250,68507,13273,7035,56646,5817,11724,1204,,,
2021-01-26,FL,FLA,Florida,21477737,3095350,1575490,14412,7335,1412466,6576,158886,740,,,
2021-01-26,FM,FMA,Federated States of Micronesia,103643,19400,2977,18718,2872,2973,2869,4,4,,,
2021-01-26,GA,GAA,Georgia,10617423,1309850,668589,12337,6297,591385,5570,64989,612,,,
2021-01-26,GU,GUA,Guam,165768,34300,17306,20692,10440,13378,8070,3803,2294,,,
2021-01-26,HI,HIA,Hawaii,1415872,210425,93760,14862,6622,75820,5355,17939,1267,,,
2021-01-26,IA,IAA,Iowa,3155070,361575,197982,11460,6275,162795,5160,32547,1032,,,
2021-01-26,ID,IDA,Idaho,1787065,184025,93766,10298,5247,78484,4392,14627,818,,,
2021-01-26,IH2,IH2,Indian Health Svc,0,357950,158282,0,0,131481,0,25502,0,,,
2021-01-26,IL,ILA,Illinois,12671821,1548950,737989,12224,5824,590212,4658,140394,1108,,,
2021-01-26,IN,INA,Indiana,6732219,900175,498824,13371,7410,413982,6149,84719,1258,,,
2021-01-26,KS,KSA,Kansas,2913314,348175,158743,11951,5449,132153,4536,25349,870,,,
2021-01-26,KY,KYA,Kentucky,4467673,557975,312192,12489,6988,279715,6261,30633,686,,,
2021-01-26,LA,LAA,Louisiana,4648794,602025,345675,12950,7436,301874,6494,43189,929,,,
2021-01-26,MA,MAA,Massachusetts,6892503,875825,442703,12707,6423,376313,5460,65761,954,,,
2021-01-26,MD,MDA,Maryland,6045680,786300,365519,13006,6046,322860,5340,42228,698,,,
2021-01-26,ME,MEA,Maine,1344212,195925,104924,14575,7806,83464,6209,20096,1495,,,
2021-01-26,MH,MHA,Marshall Islands,58413,13600,3284,23282,5622,3250,5564,3,5,,,
2021-01-26,MI,MIA,Michigan,9986857,1289025,742270,12907,7432,611090,6119,119962,1201,,,
2021-01-26,MN,MNA,Minnesota,5639632,689450,360442,12225,6391,287195,5092,72622,1288,,,
2021-01-26,MO,MOA,Missouri,6137428,665300,340273,10840,5544,262230,4273,76467,1246,,,
2021-01-26,MP,MPA,Northern Mariana Islands,56882,18650,8738,32787,15362,5679,9984,3055,5371,,,
2021-01-26,MS,MSA,Mississippi,2976149,372050,182013,12501,6116,165668,5567,16134,542,,,
2021-01-26,MT,MTA,Montana,1068778,119500,77748,11181,7274,63481,5940,14245,1333,,,
2021-01-26,NC,NCA,North Carolina,10488084,1250900,699722,11927,6672,611853,5834,87292,832,,,
2021-01-26,ND,NDA,North Dakota,762062,86750,75457,11384,9902,58131,7628,15742,2066,,,
2021-01-26,NE,NEA,Nebraska,1934408,238100,135131,12309,6986,111248,5751,23065,1192,,,
2021-01-26,NH,NHA,New Hampshire,1359711,180525,97002,13277,7134,81417,5988,15542,1143,,,
2021-01-26,NJ,NJA,New Jersey,8882190,1091400,575733,12288,6482,501812,5650,72212,813,,,
2021-01-26,NM,NMA,New Mexico,2096829,270725,210136,12911,10022,171579,8183,35823,1708,,,
2021-01-26,NV,NVA,Nevada,3080156,338025,164362,10974,5336,140934,4576,22508,731,,,
