Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-17,AK,AKA,Alaska,731545,271550,193617,37120,26467,130751,17873,62474,8540,17.9,8.5,,,
2021-02-17,AL,ALA,Alabama,4903185,1032175,650020,21051,13257,494424,10084,154341,3148,10.3,3.2,,,
2021-02-17,AR,ARA,Arkansas,3017804,649225,486949,21513,16136,345271,11441,138254,4581,11.5,4.6,,,
2021-02-17,AS,ASA,American Samoa,55689,29450,16269,52883,29214,10267,18436,5989,10754,18.5,10.8,,,
2021-02-17,AZ,AZA,Arizona,7278717,1396475,1164900,19186,16004,892791,12266,267967,3682,11.9,3.6,,,
2021-02-17,BP2,BP2,Bureau of Prisons,0,45725,48614,0,0,30901,0,17598,0,0,0,,,
2021-02-17,CA,CAA,California,39512223,8406525,6323011,21276,16003,4766592,12064,1507829,3816,12,3.8,,,
2021-02-17,CO,COA,Colorado,5758736,1230425,1024167,21366,17785,704742,12238,314557,5462,12.2,5.4,,,
2021-02-17,CT,CTA,Connecticut,3565287,916075,738191,25694,20705,509165,14281,218777,6136,14.2,6.2,,,
2021-02-17,DC,DCA,District of Columbia,705749,193900,128460,27474,18202,88287,12510,39973,5664,8.7,3.2,,,
2021-02-17,DD2,DD2,Dept of Defense,0,1102225,759117,0,0,566933,0,181856,0,0,0,,,
2021-02-17,DE,DEA,Delaware,973764,189050,155111,19414,15929,118666,12186,35601,3656,11.9,3.5,,,
2021-02-17,FL,FLA,Florida,21477737,4699950,3702569,21883,17239,2498089,11631,1180757,5498,11.4,5.4,,,
2021-02-17,FM,FMA,Federated States of Micronesia,103643,30000,10603,28946,10230,9118,8798,1449,1398,8.9,1.4,,,
2021-02-17,GA,GAA,Georgia,10617423,2131775,1473440,20078,13878,1040075,9796,402578,3792,9.6,3.8,,,
2021-02-17,GU,GUA,Guam,165768,51300,41007,30947,24738,28460,17169,12251,7390,17.2,7.4,,,
2021-02-17,HI,HIA,Hawaii,1415872,320950,240715,22668,17001,170911,12071,69799,4930,12.2,5,,,
2021-02-17,IA,IAA,Iowa,3155070,619000,495487,19619,15704,367577,11650,122291,3876,11.7,3.9,,,
2021-02-17,ID,IDA,Idaho,1787065,334550,270169,18721,15118,191063,10691,67805,3794,10.9,3.9,,,
2021-02-17,IH2,IH2,Indian Health Svc,2033753,697025,390833,34273,19217,282359,13884,102592,5044,0,0,,,
2021-02-17,IL,ILA,Illinois,12671821,2694700,1996099,21265,15752,1531557,12086,431310,3404,12.2,3.5,,,
2021-02-17,IN,INA,Indiana,6732219,1447050,1113413,21494,16539,797872,11852,313895,4663,11.8,4.7,,,
2021-02-17,KS,KSA,Kansas,2913314,581975,405166,19976,13907,295950,10159,106249,3647,10.8,3.9,,,
2021-02-17,KY,KYA,Kentucky,4467673,911575,719857,20404,16113,514681,11520,202064,4523,11.9,4.6,,,
2021-02-17,LA,LAA,Louisiana,4648794,900725,791574,19375,17028,531448,11432,258404,5559,11.3,5.5,,,
2021-02-17,MA,MAA,Massachusetts,6892503,1526150,1170398,22142,16981,879627,12762,288309,4183,12.6,4.2,,,
2021-02-17,MD,MDA,Maryland,6045680,1247775,903172,20639,14939,648414,10725,253696,4196,11,4.4,,,
2021-02-17,ME,MEA,Maine,1344212,321850,242445,23943,18036,174543,12985,65928,4905,13.2,5,,,
2021-02-17,MH,MHA,Marshall Islands,58413,21000,6458,35951,11056,5685,9732,728,1246,9.7,1.3,,,
2021-02-17,MI,MIA,Michigan,9986857,2146125,1680901,21489,16831,1136393,11379,526520,5272,11.6,5.4,,,
2021-02-17,MN,MNA,Minnesota,5639632,1165050,925182,20658,16405,681366,12082,240414,4263,12.1,4.3,,,
2021-02-17,MO,MOA,Missouri,6137428,1138675,892006,18553,14534,637707,10390,244879,3990,10,3.8,,,
2021-02-17,MP,MPA,Northern Mariana Islands,56882,29650,14743,52125,25919,9043,15898,5691,10005,15.9,10,,,
2021-02-17,MS,MSA,Mississippi,2976149,614100,438364,20634,14729,318006,10685,119684,4021,10.8,4.1,,,
2021-02-17,MT,MTA,Montana,1068778,207250,184579,19391,17270,132847,12430,51293,4799,12.5,4.8,,,
2021-02-17,NC,NCA,North Carolina,10488084,2075375,1734825,19788,16541,1223476,11665,509113,4854,11.5,4.8,,,
2021-02-17,ND,NDA,North Dakota,762062,163150,154087,21409,20220,102414,13439,49615,6511,13.3,6.4,,,
2021-02-17,NE,NEA,Nebraska,1934408,427000,294904,22074,15245,201138,10398,91998,4756,10.4,4.7,,,
2021-02-17,NH,NHA,New Hampshire,1359711,321625,218316,23654,16056,152041,11182,66108,4862,11.5,4.9,,,
2021-02-17,NJ,NJA,New Jersey,8882190,1790200,1480413,20155,16667,1067242,12016,407180,4584,12.5,4.9,,,
2021-02-17,NM,NMA,New Mexico,2096829,454350,447379,21668,21336,302820,14442,139262,6642,14.8,6.7,,,
2021-02-17,NV,NVA,Nevada,3080156,593275,453012,19261,14707,340695,11061,109852,3566,11,3.5,,,
2021-02-17,NY,NYA,New York State,19453561,4018450,3178252,20657,16338,2138943,10995,955337,4911,10.9,4.8,,,
2021-02-17,OH,OHA,Ohio,11689100,2373775,1825178,20308,15614,1325650,11341,496235,4245,11.3,4.2,,,
2021-02-17,OK,OKA,Oklahoma,3956971,816650,696437,20638,17600,485563,12271,206905,5229,12.3,5.2,,,
2021-02-17,OR,ORA,Oregon,4217737,878600,692781,20831,16425,487286,11553,202959,4812,11.5,4.7,,,
2021-02-17,PA,PAA,Pennsylvania,12801989,2717400,1950185,21226,15233,1445138,11288,498866,3897,11.3,3.9,,,
2021-02-17,PR,PRA,Puerto Rico,3193694,716800,392136,22444,12278,277616,8693,113075,3541,8.7,3.5,,,
2021-02-17,RI,RIA,Rhode Island,1059361,234500,151436,22136,14295,103283,9750,48089,4539,9.9,4.5,,,
2021-02-17,RP,RPA,Republic of Palau,17907,9200,5011,51377,27983,3112,17379,1899,10605,0,0,,,
2021-02-17,SC,SCA,South Carolina,5148714,939350,755422,18244,14672,551943,10720,190900,3708,10.9,3.8,,,
2021-02-17,SD,SDA,South Dakota,884659,189250,165865,21392,18749,113425,12821,52337,5916,13,5.9,,,
2021-02-17,TN,TNA,Tennessee,6829174,1404675,999517,20569,14636,680454,9964,314957,4612,9.9,4.5,,,
2021-02-17,TX,TXA,Texas,28995881,5113175,4312301,17634,14872,3059756,10552,1249085,4308,0,0,,,
2021-02-17,UT,UTA,Utah,3205958,605650,532635,18891,16614,314844,9821,118086,3683,9.8,3.7,,,
2021-02-17,VA,VAA,Virginia,8535519,1714800,1460103,20090,17106,1060294,12422,368764,4320,12.4,4.3,,,
2021-02-17,VA2,VA2,Veterans Health,0,2080550,1720294,0,0,1230159,0,488912,0,0,0,,,
2021-02-17,VI,VIA,Virgin Islands,104680,26425,13162,25244,12574,9302,8886,3860,3687,8.7,3.6,,,
2021-02-17,VT,VTA,Vermont,623989,150375,115964,24099,18584,78816,12631,36957,5923,12.6,5.9,,,
2021-02-17,WA,WAA,Washington,7614893,1500225,1225920,19701,16099,898805,11803,312815,4108,11.9,4.1,,,
2021-02-17,WI,WIA,Wisconsin,5822434,1238725,1012491,21275,17389,748247,12851,252667,4340,12.9,4.4,,,
2021-02-17,WV,WVA,West Virginia,1792147,441500,396009,24635,22097,251627,14041,144370,8056,14.1,7.9,,,
2021-02-17,WY,WYA,Wyoming,578759,127075,100186,21956,17310,72339,12499,27531,4757,12.5,4.7,,,
2021-02-17,US,USA,United States,331996199,72423125,56281827,,,40268009,,15471536,,10.6,4,27287041,28886690,108096
2021-02-17,LTC,LTC,Long Term Care,,,6070341,,,,,,,0,0,,,
