Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019
2021-01-05,1,AK,AKA,Alaska,76200,19050,10416,2604,731545
2021-01-05,1,AL,ALA,Alabama,172000,40278,3508,821,4903185
2021-01-05,1,AR,ARA,Arkansas,152175,40899,5043,1355,3017804
2021-01-05,1,AS,ASA,American Samoa,8250,1022,14814,1835,55689
2021-01-05,1,AZ,AZA,Arizona,419175,68707,5759,944,7278717
2021-01-05,1,BP2,BP2,Bureau of Prisons,12800,8700,0,0,0
2021-01-05,1,CA,CAA,California,2039100,456980,5161,1157,39512223
2021-01-05,1,CO,COA,Colorado,281900,114555,4895,1989,5758736
2021-01-05,1,CT,CTA,Connecticut,149900,81970,4204,2299,3565287
2021-01-05,1,DC,DCA,District of Columbia,35475,15853,5027,2246,705749
2021-01-05,1,DD2,DD2,Dept of Defense,270125,67766,0,0,0
2021-01-05,1,DE,DEA,Delaware,53650,13962,5510,1434,973764
2021-01-05,1,FL,FLA,Florida,1152000,264512,5364,1232,21477737
2021-01-05,1,FM,FMA,Federated States of Micronesia,9800,30,9456,29,103643
2021-01-05,1,GA,GAA,Georgia,493625,80459,4649,758,10617423
2021-01-05,1,GU,GUA,Guam,19300,3791,11643,2287,165768
2021-01-05,1,HI,HIA,Hawaii,82500,20893,5827,1476,1415872
2021-01-05,1,IA,IAA,Iowa,120175,60137,3809,1906,3155070
2021-01-05,1,ID,IDA,Idaho,81525,19575,4562,1095,1787065
2021-01-05,1,IH2,IH2,Indian Health Svc,175300,38053,0,0,0
2021-01-05,1,IL,ILA,Illinois,538300,176586,4248,1394,12671821
2021-01-05,1,IN,INA,Indiana,355825,100487,5285,1493,6732219
2021-01-05,1,KS,KSA,Kansas,131750,20158,4522,692,2913314
2021-01-05,1,KY,KYA,Kentucky,174150,61408,3898,1374,4467673
2021-01-05,1,LA,LAA,Louisiana,230125,49693,4950,1069,4648794
2021-01-05,1,LTC,LTC,Long Term Care,3260775,429066,0,0,0
2021-01-05,1,MA,MAA,Massachusetts,328900,114465,4772,1661,6892503
2021-01-05,1,MD,MDA,Maryland,291750,77274,4826,1278,6045680
2021-01-05,1,ME,MEA,Maine,70150,32150,5219,2392,1344212
2021-01-05,1,MH,MHA,Marshall Islands,1200,0,2054,0,58413
2021-01-05,1,MI,MIA,Michigan,478800,99040,4794,992,9986857
2021-01-05,1,MN,MNA,Minnesota,271375,86329,4812,1531,5639632
2021-01-05,1,MO,MOA,Missouri,286075,98589,4661,1606,6137428
2021-01-05,1,MP,MPA,Northern Mariana Islands,14050,3083,24700,5420,56882
2021-01-05,1,MS,MSA,Mississippi,97450,22174,3274,745,2976149
2021-01-05,1,MT,MTA,Montana,52450,23526,4907,2201,1068778
2021-01-05,1,NC,NCA,North Carolina,498450,121881,4753,1162,10488084
2021-01-05,1,ND,NDA,North Dakota,40825,22358,5357,2934,762062
2021-01-05,1,NE,NEA,Nebraska,90875,36753,4698,1900,1934408
2021-01-05,1,NH,NHA,New Hampshire,53675,30035,3948,2209,1359711
2021-01-05,1,NJ,NJA,New Jersey,390900,120947,4401,1362,8882190
2021-01-05,1,NM,NMA,New Mexico,106425,42380,5076,2021,2096829
2021-01-05,1,NV,NVA,Nevada,142525,34549,4627,1122,3080156
2021-01-05,1,NY,NYA,New York State,934925,299428,4806,1539,19453561
2021-01-05,1,OH,OHA,Ohio,359800,163130,3078,1396,11689100
2021-01-05,1,OK,OKA,Oklahoma,218175,63090,5514,1594,3956971
2021-01-05,1,OR,ORA,Oregon,226700,51283,5375,1216,4217737
2021-01-05,1,PA,PAA,Pennsylvania,625400,164552,4885,1285,12801989
2021-01-05,1,PR,PRA,Puerto Rico,172600,45368,5404,1421,3193694
2021-01-05,1,RI,RIA,Rhode Island,55600,23151,5248,2185,1059361
2021-01-05,1,RP,RPA,Republic of Palau,2800,120,15636,670,17907
2021-01-05,1,SC,SCA,South Carolina,146250,61797,2841,1200,5148714
2021-01-05,1,SD,SDA,South Dakota,44300,28581,5008,3231,884659
2021-01-05,1,TN,TNA,Tennessee,328500,154184,4810,2258,6829174
2021-01-05,1,TX,TXA,Texas,1371125,451210,4729,1556,28995881
2021-01-05,1,US,USA,United States,17020575,4836469,5127,1457,331996199
2021-01-05,1,UT,UTA,Utah,157925,49456,4926,1543,3205958
2021-01-05,1,VA,VAA,Virginia,481550,126363,5642,1480,8535519
2021-01-05,1,VA2,VA2,Veterans Health,584300,118952,0,0,0
2021-01-05,1,VI,VIA,Virgin Islands,6600,231,6305,221,104680
2021-01-05,1,VT,VTA,Vermont,33925,15955,5437,2557,623989
2021-01-05,1,WA,WAA,Washington,395500,96845,5194,1272,7614893
2021-01-05,1,WI,WIA,Wisconsin,266675,67398,4580,1158,5822434
2021-01-05,1,WV,WVA,West Virginia,126275,56664,7046,3162,1792147
2021-01-05,1,WY,WYA,Wyoming,30650,7654,5296,1322,578759
