Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Per_100k_18Plus,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-12,US,USA,United States,331996199,Report,133337525,101128005,40162,30461,49169578,50960400,873726,124301,65965305,19.9,10.3,65839197,25.5,100957266,39111,33434521,61.1,51389612,93953,34129440,34085884,13.2,51655,66419000,63202425,3716100,0,16128880,17973766,870826,26687,16120498,17938614,870082,26665,8265310,9143349,300708,7408,35000159,10.5,34955860,13.5,17716775,32.4,,,,
2021-03-12,AK,AKA,Alaska,731545,Report,470325,318526,64292,43542,146740,171702,28,56,193951,26.5,17,191978,34.8,315372,57178,,,,,124132,122953,22.3,85271,232500,229125,8700,0,55214,68911,38,7,55166,67780,38,7,,,,,124170,17,122991,22.3,,,,,,
2021-03-12,AL,ALA,Alabama,4903185,Report,1838400,1249205,37494,25477,644531,592220,12454,0,816418,16.7,9.4,815860,21.4,1248527,32728,,,,,459632,459503,12,48190,988200,795600,54600,0,231792,227824,12693,16,231776,227711,12693,16,,,,,472325,9.6,472196,12.4,,,,,,
2021-03-12,AR,ARA,Arkansas,3017804,Report,1222370,836608,40505,27722,423121,409599,3764,124,541936,18,9.7,541305,23.4,835877,36066,,,,,293401,293278,12.7,52742,638300,551070,33000,0,144316,149064,3792,21,144300,148957,3792,21,,,,,297193,9.8,297070,12.8,,,,,,
2021-03-12,AS,ASA,American Samoa,55689,Report,43210,23696,77592,42551,5238,18458,0,0,15085,27.1,15.6,14635,33.7,23057,53081,,,,,8705,8517,19.6,99477,12400,30810,0,0,2105,6600,1,0,2104,6413,1,0,,,,,8706,15.6,8518,19.6,,,,,,
2021-03-12,AZ,AZA,Arizona,7278717,Report,3000645,2418267,41225,33224,1103452,1307001,7152,662,1529482,21,11.3,1524713,27,2410581,42752,,,,,819390,817548,14.5,53217,1464100,1456845,79700,0,344739,474420,6630,231,344705,472612,6628,231,,,,,826020,11.3,824176,14.6,,,,,,
2021-03-12,BP2,BP2,Bureau of Prisons,0,Report,74690,78795,0,0,31310,47485,0,0,48186,0,0,48186,0,78795,0,,,,,30234,30234,0,0,31400,43290,0,0,11309,18925,0,0,11309,18925,0,0,,,,,30234,0,30234,0,,,,,,
2021-03-12,CA,CAA,California,39512223,Report,16057300,11428034,40639,28923,5554712,5864319,8834,169,7738923,19.6,9.1,7724505,25.2,11410174,37267,,,,,3605816,3602526,11.8,52445,7864800,7718100,474400,0,1724566,1881224,8928,26,1723971,1878529,8920,26,,,,,3614744,9.1,3611446,11.8,,,,,,
2021-03-12,CO,COA,Colorado,5758736,Report,2331020,1817050,40478,31553,886397,901079,29103,471,1165790,20.2,11.1,1164062,25.9,1814767,40335,,,,,637024,636472,14.1,51809,1170100,1102920,58000,0,303573,333349,28356,102,303525,332845,28324,102,,,,,665380,11.6,664796,14.8,,,,,,
2021-03-12,CT,CTA,Connecticut,3565287,Report,1642625,1345350,46073,37735,600006,717724,27501,119,984384,27.6,9.7,982934,34.6,1343238,47333,,,,,347595,347084,12.2,57883,762400,837525,42700,0,133060,214521,27402,14,132948,214122,27380,14,,,,,374997,10.5,374464,13.2,,,,,,
2021-03-12,DC,DCA,District of Columbia,705749,Report,385925,250090,54683,35436,100957,149131,2,0,112244,15.9,8.1,112196,19.4,250024,43288,,,,,57473,57463,9.9,66817,176300,201825,7800,0,27316,30149,556,8,27315,30140,556,8,,,,,58029,8.2,58019,10,,,,,,
2021-03-12,DD2,DD2,Dept of Defense,0,Report,1916650,1403967,0,0,663249,738953,1366,399,928122,0,0,924686,0,1400188,0,,,,,459757,459414,0,0,865900,1008150,42600,0,203428,256329,1366,0,203401,256013,1366,0,,,,,461123,0,460780,0,,,,,,
2021-03-12,DE,DEA,Delaware,973764,Report,419015,307982,43030,31628,140970,164686,2292,34,190252,19.5,11.2,190091,24.7,307743,39957,,,,,108975,108915,14.1,54404,202100,206115,10800,0,53279,55683,2369,13,53267,55635,2369,13,,,,,111344,11.4,111284,14.4,,,,,,
2021-03-12,FL,FLA,Florida,21477737,Report,8877915,6613352,41335,30792,3333652,3233652,37895,8153,4076435,19,10.3,4069796,23.6,6605634,38298,,,,,2205660,2204689,12.8,51473,4441900,4152915,283100,0,1084531,1118370,37607,2759,1083973,1117957,37596,2759,,,,,2243267,10.4,2242285,13,,,,,,
2021-03-12,FM,FMA,Federated States of Micronesia,103643,Report,47400,19086,45734,18415,19086,0,0,0,11870,11.5,7,11865,14.7,19081,23603,,,,,7261,7261,9,58633,46600,0,800,0,7241,20,0,0,7241,20,0,0,,,,,7261,7,7261,9,,,,,,
