Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-15,US,USA,United States,331996199,Report,135847835,109081860,40918,32856,52883263,54643581,1428465,126551,71054445,21.4,11.1,70908002,27.5,108886690,42183,52628,35040968,64.1,54706865,100018,248365,36914987,36867562,14.3,67294900,64832235,3720700,0,17797482,19089886,1420675,27389,17788373,19051593,1419272,27367,9349035,9808409,471845,7934,38335432,11.5,38286605,14.8,19637224,35.9,,,,
2021-03-15,AK,AKA,Alaska,731545,Report,472395,337141,64575,46086,154560,181381,1144,56,205256,28.1,18,202982,36.8,333609,60484,85647,63396,69.2,112989,123367,515783,131367,130110,23.6,233200,230295,8900,0,58235,73125,1165,7,58184,71919,1162,7,29953,20847,146,3,132532,18.1,131272,23.8,50949,55.6,,,,
2021-03-15,AL,ALA,Alabama,4903185,Report,1918560,1306419,39129,26644,673821,613528,19070,0,854302,17.4,9.8,853681,22.4,1305665,34226,50292,453717,53.4,711352,83705,225756,481683,481540,12.6,988800,875160,54600,0,244789,236875,19661,19,244771,236750,19660,19,148515,123496,8209,11,501344,10.2,501200,13.1,280231,33,,,,
2021-03-15,AR,ARA,Arkansas,3017804,Report,1251620,892588,41475,29577,451922,432640,7873,153,586266,19.4,10.1,585494,25.3,891711,38475,54004,301041,57.5,449051,85716,238913,305379,305251,13.2,638300,580320,33000,0,153866,151479,7993,34,153847,151370,7989,34,89520,60007,2645,26,313372,10.4,313240,13.5,152198,29.1,,,,
2021-03-15,AS,ASA,American Samoa,55689,Report,43210,24300,77592,43635,5332,18968,0,0,15377,27.6,16.2,14919,34.3,23637,54417,99477,2021,21.3,3383,35735,456428,9022,8818,20.3,12400,30810,0,0,2127,6895,1,0,2126,6692,1,0,569,845,0,0,9023,16.2,8819,20.3,1414,14.9,,,,
2021-03-15,AZ,AZA,Arizona,7278717,Report,3024585,2605621,41554,35798,1196621,1392901,15343,756,1629972,22.4,12.4,1624903,28.8,2597386,46065,53642,821675,62.8,1329729,101612,231126,899200,897213,15.9,1474000,1470885,79700,0,393018,505916,14322,266,392969,503978,14319,266,208097,252952,4912,179,913522,12.6,911532,16.2,466140,35.6,,,,
2021-03-15,BP2,BP2,Bureau of Prisons,0,Report,75690,80683,0,0,32274,48409,0,0,49551,0,0,49551,0,80683,0,0,2273,0,3713,0,0,30731,30731,0,31800,43290,600,0,11573,19158,0,0,11573,19158,0,0,555,860,0,0,30731,0,30731,0,1415,0,,,,
2021-03-15,CA,CAA,California,39512223,Report,16376020,12306608,41445,31146,5958893,6276404,71024,287,8287692,21,10,8270013,27,12285030,40124,53486,3988371,68.3,6075491,104066,280502,3931797,3928052,12.8,8024400,7877220,474400,0,1904862,2026893,70362,42,1904209,2023801,70238,42,1027838,1012878,11984,30,4002159,10.1,3998290,13.1,2052730,35.2,,,,
2021-03-15,CO,COA,Colorado,5758736,Report,2345060,1933717,40722,33579,950267,948229,34739,482,1232096,21.4,11.9,1229958,27.3,1930977,42918,52122,600159,71.2,980734,116420,278374,686476,685877,15.2,1170100,1116960,58000,0,335471,350900,34006,105,335414,350358,33963,105,187906,184996,4799,57,720482,12.5,719840,16,377758,44.8,,,,
2021-03-15,CT,CTA,Connecticut,3565287,Report,1659085,1442439,46534,40458,643116,765537,33666,120,952509,26.7,13.4,951192,33.5,1440359,50755,58463,482890,76.6,759138,120451,263245,476282,475662,16.8,769500,846885,42700,0,207247,269019,33530,16,207096,268550,33506,16,88228,177339,3688,10,509812,14.3,509168,17.9,269265,42.7,,,,
2021-03-15,DC,DCA,District of Columbia,705749,Report,388865,271191,55100,38426,110768,157620,2803,0,126422,17.9,8.8,126135,21.8,270876,46898,67326,51811,59.3,103353,118330,445216,62061,62048,10.7,176900,204165,7800,0,30541,31511,3418,9,30540,31499,3418,9,17555,12372,73,4,65479,9.3,65466,11.3,30004,34.4,,,,
2021-03-15,DD2,DD2,Dept of Defense,0,Report,1918750,1495339,0,0,707137,783456,4347,399,930223,0,0,926778,0,1491243,0,0,116390,0,181512,0,0,519398,518910,0,868000,1008150,42600,0,233109,286289,1432,0,233079,285831,1432,0,19142,41553,33,0,520830,0,520342,0,60728,0,,,,
