Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Ratio_Admin_Dist
2021-01-08,1,AK,AKA,Alaska,93175,24562,12737,3358,731545,5249,19303,10,0.264
2021-01-08,1,AL,ALA,Alabama,283200,57105,5776,1165,4903185,23726,33379,0,0.202
2021-01-08,1,AR,ARA,Arkansas,225100,40899,7459,1355,3017804,9623,31275,1,0.182
2021-01-08,1,AS,ASA,American Samoa,10650,1331,19124,2390,55689,358,973,0,0.125
2021-01-08,1,AZ,AZA,Arizona,453875,106288,6236,1460,7278717,29948,76325,15,0.234
2021-01-08,1,BP2,BP2,Bureau of Prisons,14100,14909,0,0,0,4277,8724,1908,1.057
2021-01-08,1,CA,CAA,California,2315325,584366,5860,1479,39512223,157458,426908,0,0.252
2021-01-08,1,CO,COA,Colorado,381775,145164,6629,2521,5758736,68720,76428,16,0.38
2021-01-08,1,CT,CTA,Connecticut,219125,116277,6146,3261,3565287,70464,45813,0,0.531
2021-01-08,1,DC,DCA,District of Columbia,49250,21681,6978,3072,705749,4060,17621,0,0.44
2021-01-08,1,DD2,DD2,Dept of Defense,347600,95482,0,0,0,36802,58281,399,0.275
2021-01-08,1,DE,DEA,Delaware,65350,18482,6711,1898,973764,6113,12367,2,0.283
2021-01-08,1,FL,FLA,Florida,1355775,402802,6312,1875,21477737,204927,197817,58,0.297
2021-01-08,1,FM,FMA,Federated States of Micronesia,9800,197,9456,190,103643,197,0,0,0.02
2021-01-08,1,GA,GAA,Georgia,687425,119118,6474,1122,10617423,44572,74517,29,0.173
2021-01-08,1,GU,GUA,Guam,19300,3791,11643,2287,165768,0,3791,0,0.196
2021-01-08,1,HI,HIA,Hawaii,95700,27375,6759,1933,1415872,6434,20941,0,0.286
2021-01-08,1,IA,IAA,Iowa,191675,80621,6075,2555,3155070,47402,33219,0,0.421
2021-01-08,1,ID,IDA,Idaho,108825,25335,6090,1418,1787065,9766,15556,13,0.233
2021-01-08,1,IH2,IH2,Indian Health Svc,192850,58028,0,0,0,27703,30325,0,0.301
2021-01-08,1,IL,ILA,Illinois,769700,234051,6074,1847,12671821,75362,158660,29,0.304
2021-01-08,1,IN,INA,Indiana,430025,137933,6388,2049,6732219,33111,104813,9,0.321
2021-01-08,1,KS,KSA,Kansas,191225,58841,6564,2020,2913314,26561,32280,0,0.308
2021-01-08,1,KY,KYA,Kentucky,267750,94443,5993,2114,4467673,57240,37202,1,0.353
2021-01-08,1,LA,LAA,Louisiana,299325,78608,6439,1691,4648794,18632,59902,74,0.263
2021-01-08,1,LTC,LTC,Long Term Care,4060225,693246,0,0,0,134777,552449,6020,0.171
2021-01-08,1,MA,MAA,Massachusetts,449625,151430,6523,2197,6892503,65469,85952,9,0.337
2021-01-08,1,MD,MDA,Maryland,371425,114731,6144,1898,6045680,56461,58257,13,0.309
2021-01-08,1,ME,MEA,Maine,96475,41429,7177,3082,1344212,21869,19559,1,0.429
2021-01-08,1,MH,MHA,Marshall Islands,7200,0,12326,0,58413,0,0,0,0
2021-01-08,1,MI,MIA,Michigan,662550,156251,6634,1565,9986857,34210,122041,0,0.236
2021-01-08,1,MN,MNA,Minnesota,381325,110427,6762,1958,5639632,21915,88489,23,0.29
2021-01-08,1,MO,MOA,Missouri,406150,124721,6618,2032,6137428,23812,100896,13,0.307
2021-01-08,1,MP,MPA,Northern Mariana Islands,18650,3101,32787,5452,56882,11,3090,0,0.166
2021-01-08,1,MS,MSA,Mississippi,159625,34406,5363,1156,2976149,18883,15457,66,0.216
2021-01-08,1,MT,MTA,Montana,71950,31444,6732,2942,1068778,16561,14864,19,0.437
2021-01-08,1,NC,NCA,North Carolina,649150,178136,6189,1698,10488084,54951,122856,329,0.274
2021-01-08,1,ND,NDA,North Dakota,43950,29954,5767,3931,762062,15517,14437,0,0.682
2021-01-08,1,NE,NEA,Nebraska,143700,68297,7429,3531,1934408,28385,39877,35,0.475
2021-01-08,1,NH,NHA,New Hampshire,89375,41868,6573,3079,1359711,22391,19450,27,0.468
2021-01-08,1,NJ,NJA,New Jersey,572250,156021,6443,1757,8882190,75662,79884,475,0.273
2021-01-08,1,NM,NMA,New Mexico,145025,56366,6916,2688,2096829,13739,42614,13,0.389
2021-01-08,1,NV,NVA,Nevada,187375,44656,6083,1450,3080156,19334,25322,0,0.238
2021-01-08,1,NY,NYA,New York State,1208900,434802,6214,2235,19453561,180855,253856,91,0.36
2021-01-08,1,OH,OHA,Ohio,646450,223424,5530,1911,11689100,155167,68235,22,0.346
