Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Per_100k_18Plus,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-13,US,USA,United States,331996199,Report,135846665,105703501,40918,31839,51292130,53096054,1189207,126110,68884011,20.7,10.8,68747294,26.6,105520136,40879,34370332,62.8,53343915,97526,35746479,35700967,13.8,52627,67294900,64831065,3720700,0,17074342,18644718,1183478,27239,17065600,18607971,1182391,27217,8880396,9553151,398217,7838,36929777,11.1,36883178,14.3,18839603,34.4,,,,
2021-03-13,AK,AKA,Alaska,731545,Report,472395,324271,64575,44327,148985,174980,250,56,197436,27,17.3,195372,35.4,320992,58197,62882,68.7,111992,122278,126381,125167,22.7,85647,233200,230295,8900,0,56390,69984,266,7,56341,68819,265,7,29585,20664,30,3,126647,17.3,125432,22.7,50282,54.9,,,,
2021-03-13,AL,ALA,Alabama,4903185,Report,1918560,1288242,39129,26274,664076,607316,16850,0,841394,17.2,9.7,840809,22,1287528,33750,449242,52.9,703928,82831,475446,475308,12.5,50292,988800,875160,54600,0,240679,234747,17309,20,240661,234627,17309,20,146582,122160,7169,11,492755,10,492617,12.9,275922,32.5,,,,
2021-03-13,AR,ARA,Arkansas,3017804,Report,1251620,882630,41475,29247,446502,428930,7045,153,579022,19.2,10,578264,25,881768,38046,299360,57.1,445632,85063,302656,302529,13.1,54004,638300,580320,33000,0,151625,150998,7128,33,151607,150889,7126,33,88063,59777,2495,25,309784,10.3,309655,13.4,150360,28.7,,,,
2021-03-13,AS,ASA,American Samoa,55689,Report,43210,23696,77592,42551,5238,18458,0,0,15082,27.1,15.6,14632,33.7,23057,53081,1978,20.9,3318,35048,8712,8524,19.6,99477,12400,30810,0,0,2113,6599,1,0,2112,6412,1,0,567,825,0,0,8713,15.6,8525,19.6,1392,14.7,,,,
2021-03-13,AZ,AZA,Arizona,7278717,Report,3024585,2484603,41554,34135,1138971,1335787,9131,714,1562876,21.5,11.7,1558045,27.6,2476787,43926,800231,61.2,1276291,97529,850411,848530,15,53642,1474000,1470885,79700,0,364495,485667,8498,249,364459,483822,8496,249,191197,240518,2798,168,858909,11.8,857026,15.2,434681,33.2,,,,
2021-03-13,BP2,BP2,Bureau of Prisons,0,Report,75690,80683,0,0,32274,48409,0,0,49551,0,0,49551,0,80683,0,2273,0,3713,0,30731,30731,0,0,31800,43290,600,0,11573,19158,0,0,11573,19158,0,0,555,860,0,0,30731,0,30731,0,1415,0,,,,
2021-03-13,CA,CAA,California,39512223,Report,16376020,11881857,41445,30071,5741050,6090632,49952,223,8025538,20.3,9.5,8009142,26.2,11861693,38741,3907952,66.9,5881782,100748,3769926,3766316,12.3,53486,8024400,7877220,474400,0,1806482,1963402,49265,42,1805843,1960431,49176,42,953773,974179,8411,30,3819191,9.7,3815492,12.5,1936393,33.2,,,,
2021-03-13,CO,COA,Colorado,5758736,Report,2345060,1878538,40722,32621,916665,929558,31838,477,1199979,20.8,11.5,1198108,26.6,1876097,41698,595516,70.7,964181,114455,663931,663364,14.7,52122,1170100,1116960,58000,0,319376,344453,31101,102,319324,343938,31066,102,179502,181527,4518,56,695032,12.1,694430,15.4,365603,43.4,,,,
2021-03-13,CT,CTA,Connecticut,3565287,Report,1659085,1411525,46534,39591,629220,749998,32187,120,933227,26.2,13,931949,32.8,1409486,49667,480064,76.2,746284,118412,464364,463747,16.3,58463,769500,846885,42700,0,200646,263702,32024,16,200498,263233,32000,16,82322,173172,3553,10,496388,13.9,495747,17.5,259057,41.1,,,,
