Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-09-01,US,USA,United States,331996199,Report,443741705,371280129,133659,111833,145736021,210798052,14392613,353443,205527578,61.9,48.3,192036114,74.4,347497200,134553,171820,50364331,92.1,95198832,174049,811279,160461204,150357973,58.2,179973080,242257875,21491400,19350,65688849,94607377,14205205,98586,65214881,84866594,14089727,96850,21176324,21311655,2205690,42907,174600017,52.6,164268053,63.6,44736576,81.8,95198832,283545812,370922206,130816,156497,205299057,72.4,160333618,56.5,174468287,61.5,65685019,94482432,14202306,98530,370922206,33,1077751,,,,
2021-09-01,AK,AKA,Alaska,731545,Report,957905,731751,130943,100028,297981,402786,30781,203,397332,54.3,43.4,368766,66.9,681488,123556,173671,77404,84.5,147018,160521,1045890,317156,295569,53.6,390120,508485,59300,0,136472,180460,28841,53,136096,159255,28713,49,40544,29026,2889,24,345826,47.3,324113,58.8,72483,79.1,140423,608877,729666,119838,157323,396044,65,316362,52,345030,56.7,136468,179670,28839,53,684104,,,,,,
2021-09-01,AL,ALA,Alabama,4903185,Report,6151970,4139337,125469,84421,1851688,2154103,133542,4,2444342,49.9,35.6,2324975,60.9,3948573,103505,161263,719888,84.7,1296060,152507,723900,1746805,1674746,43.9,2752800,3117870,281300,0,808511,937223,135987,329,808143,865534,135909,328,325826,256608,33941,205,1882050,38.4,1809914,47.4,616580,72.6,1250298,4186880,4138947,98855,146934,2443962,58.4,1746762,41.7,1881999,44.9,808499,937192,135979,329,3997071,,,,,,
2021-09-01,AR,ARA,Arkansas,3017804,Report,3751860,2809381,124324,93094,1238600,1474940,93956,1885,1609947,53.3,38.7,1502795,64.8,2630763,113510,161882,439653,83.9,806420,153932,716165,1169236,1098480,47.4,1660280,1912680,178900,0,544606,623689,92184,493,543590,553989,91686,476,210738,145339,13805,286,1260972,41.8,1189741,51.3,370168,70.7,769969,2557248,2804203,109657,146715,1606185,62.8,1167877,45.7,1259496,49.3,544599,622338,92067,492,2720446,,,,,,
2021-09-01,AS,ASA,American Samoa,55689,Report,58530,55576,105102,99797,13681,41349,545,1,30602,55,44.9,26281,60.6,48252,111244,134939,2783,29.5,5221,55331,620284,25022,22047,50.8,15600,42330,600,0,6182,18839,553,0,6168,15878,552,0,1045,1464,25,0,25574,45.9,22598,52.1,2534,26.9,5221,47557,55563,116835,123073,30593,64.3,25018,52.6,25570,53.8,6181,18836,553,0,55563,,,,,,
2021-09-01,AZ,AZA,Arizona,7278717,Report,9374070,7588261,128787,104253,3141838,4162586,272982,10855,4133279,56.8,44.4,3861151,68.5,7099331,125909,166252,1146926,87.6,2201923,168261,716325,3229312,3023312,53.6,3884380,5058690,431000,0,1381415,1843052,264694,3386,1380923,1637585,264308,3350,490051,456591,44231,1812,3492547,48,3286166,58.3,992685,75.9,2067487,6206060,7587297,122256,151047,4132419,66.6,3229191,52,3492194,56.3,1381393,1842955,264461,3385,7104344,,,,,,
2021-09-01,BP2,BP2,Bureau of Prisons,0,Report,227240,216673,0,0,87636,118443,10594,0,117057,0,0,117056,0,216672,0,0,3480,0,6755,0,0,99315,99315,0,94960,121680,10600,0,41944,57338,10568,0,41944,57338,10568,0,1650,1606,150,0,109850,0,109850,0,3406,0,6755,0,216672,0,0,117056,0,99315,0,109850,0,41944,57338,10568,0,216672,,,,,,
2021-09-01,CA,CAA,California,39512223,Report,55399765,48109850,140209,121759,18736632,27583352,1777389,12477,27262009,69,51.5,25258407,82.5,44553133,145515,180941,5708217,97.8,10325045,176856,948932,20365018,18817663,61.5,22010580,30773385,2615800,0,8235727,12113235,1766107,3803,8210663,10591264,1758744,3556,2339940,2089259,177965,1227,22118872,56,20564227,67.2,4608391,78.9,10057697,33646265,47981100,142605,164654,27182135,80.8,20316731,60.4,22070254,65.6,8235303,12065382,1765774,3795,47096577,,,,,,
2021-09-01,CO,COA,Colorado,5758736,Report,7847735,6838077,136275,118743,2743104,3835355,255159,4459,3654920,63.5,52.7,3391475,75.4,6350990,141158,174424,758329,90,1476560,175278,931579,3035084,2813802,62.5,3185020,4322415,340300,0,1273555,1758580,251032,1359,1269937,1540976,249873,1313,338774,329041,22959,476,3284526,57,3062099,68.1,691250,82.1,1432954,4936061,6818043,138127,158988,3643124,73.8,3027036,61.3,3276457,66.4,1273540,1750548,251011,1358,6614679,,,,,,
2021-09-01,CT,CTA,Connecticut,3565287,Report,5342535,4839090,149849,135728,1817580,2821966,198674,870,2632223,73.8,60.7,2438374,85.9,4483094,157975,188260,616971,97.9,1196423,189835,847693,2163103,2005584,70.7,2174660,2917875,250000,0,853558,1308618,197954,303,853177,1151555,197786,240,227171,328394,19901,64,2360433,66.2,2202758,77.6,575530,91.3,1166574,3105947,4837397,155746,172010,2630917,84.7,2162719,69.6,2359972,76,853353,1308440,197877,302,4757187,,,,,,
