Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-27,AK,AKA,Alaska,731545,170575,101597,23317,13888,83363,11395,18097,2474,,,
2021-01-27,AL,ALA,Alabama,4903185,634000,266444,12930,5434,232633,4745,33595,685,,,
2021-01-27,AR,ARA,Arkansas,3017804,406175,252824,13459,8378,209445,6940,40910,1356,,,
2021-01-27,AS,ASA,American Samoa,55689,18450,9085,33130,16314,8133,14604,950,1706,,,
2021-01-27,AZ,AZA,Arizona,7278717,990000,458258,13601,6296,389059,5345,68846,946,,,
2021-01-27,BP2,BP2,Bureau of Prisons,0,30050,27326,0,0,20415,0,6846,0,,,
2021-01-27,CA,CAA,California,39512223,5452575,2579666,13800,6529,2156029,5457,417606,1057,,,
2021-01-27,CO,COA,Colorado,5758736,775050,474527,13459,8240,381679,6628,90200,1566,,,
2021-01-27,CT,CTA,Connecticut,3565287,543975,360991,15258,10125,302710,8490,51939,1457,,,
2021-01-27,DC,DCA,District of Columbia,705749,107575,68086,15243,9647,53590,7593,14434,2045,,,
2021-01-27,DD2,DD2,Dept of Defense,0,769450,366010,0,0,318701,0,40396,0,,,
2021-01-27,DE,DEA,Delaware,973764,140850,77449,14464,7954,64952,6670,12352,1268,,,
2021-01-27,FL,FLA,Florida,21477737,3095850,1632491,14414,7601,1451507,6758,176671,823,,,
2021-01-27,FM,FMA,Federated States of Micronesia,103643,19400,3241,18718,3127,3210,3097,4,4,,,
2021-01-27,GA,GAA,Georgia,10617423,1412450,712866,13303,6714,622905,5867,75360,710,,,
2021-01-27,GU,GUA,Guam,165768,34300,18263,20692,11017,14269,8608,3869,2334,,,
2021-01-27,HI,HIA,Hawaii,1415872,217425,97692,15356,6900,79147,5590,18544,1310,,,
2021-01-27,IA,IAA,Iowa,3155070,362875,204196,11501,6472,165466,5244,36067,1143,,,
2021-01-27,ID,IDA,Idaho,1787065,203225,96991,11372,5427,80857,4525,15443,864,,,
2021-01-27,IH2,IH2,Indian Health Svc,0,386400,165764,0,0,135456,0,28995,0,,,
2021-01-27,IL,ILA,Illinois,12671821,1591000,766659,12555,6050,611024,4822,147925,1167,,,
2021-01-27,IN,INA,Indiana,6732219,920975,524180,13680,7786,432791,6429,91255,1355,,,
2021-01-27,KS,KSA,Kansas,2913314,392875,168392,13486,5780,140685,4829,26457,908,,,
2021-01-27,KY,KYA,Kentucky,4467673,585500,323268,13105,7236,285291,6386,36054,807,,,
2021-01-27,LA,LAA,Louisiana,4648794,620325,358746,13344,7717,311135,6693,46954,1010,,,
2021-01-27,MA,MAA,Massachusetts,6892503,956800,464275,13882,6736,390470,5665,73152,1061,,,
2021-01-27,MD,MDA,Maryland,6045680,820425,389253,13570,6439,340191,5627,48629,804,,,
2021-01-27,ME,MEA,Maine,1344212,204325,109183,15200,8122,86103,6405,21707,1615,,,
2021-01-27,MH,MHA,Marshall Islands,58413,13600,3538,23282,6057,3487,5970,20,34,,,
2021-01-27,MI,MIA,Michigan,9986857,1352100,772031,13539,7730,629437,6303,131282,1315,,,
2021-01-27,MN,MNA,Minnesota,5639632,787875,375395,13970,6656,298902,5300,75844,1345,,,
2021-01-27,MO,MOA,Missouri,6137428,750175,358150,12223,5836,276990,4513,79526,1296,,,
2021-01-27,MP,MPA,Northern Mariana Islands,56882,18650,9026,32787,15868,5966,10488,3056,5373,,,
2021-01-27,MS,MSA,Mississippi,2976149,396550,190239,13324,6392,172522,5797,17499,588,,,
2021-01-27,MT,MTA,Montana,1068778,133025,81169,12446,7595,65746,6152,15397,1441,,,
2021-01-27,NC,NCA,North Carolina,10488084,1397275,716748,13323,6834,627980,5988,88145,840,,,
2021-01-27,ND,NDA,North Dakota,762062,96425,77230,12653,10134,58673,7699,16952,2224,,,
2021-01-27,NE,NEA,Nebraska,1934408,284275,139573,14696,7215,114154,5901,24598,1272,,,
2021-01-27,NH,NHA,New Hampshire,1359711,190875,103080,14038,7581,84813,6238,18224,1340,,,
2021-01-27,NJ,NJA,New Jersey,8882190,1207100,611862,13590,6889,530412,5972,79648,897,,,
2021-01-27,NM,NMA,New Mexico,2096829,303625,217075,14480,10353,176038,8395,38292,1826,,,
2021-01-27,NV,NVA,Nevada,3080156,338525,174367,10991,5661,149464,4852,23852,774,,,
2021-01-27,NY,NYA,New York State,19453561,2744450,1518697,14108,7807,1286705,6614,212802,1094,,,
2021-01-27,OH,OHA,Ohio,11689100,1507000,746249,12892,6384,657075,5621,88834,760,,,
2021-01-27,OK,OKA,Oklahoma,3956971,569575,345144,14394,8722,296308,7488,46596,1178,,,
