Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Per_100k_18Plus,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-08,AK,AKA,Alaska,731545,Report,426715,298144,58331,40755,135872,162216,0,56,182230,24.9,15.8,181229,32.9,296547,53765,65217,71.2,114773,125314,115633,115040,20.9,77365,210300,213915,2500,0,51458,64169,2,6,51452,63582,2,6,29288,21232,2,2,115635,15.8,115042,20.9,50524,55.2,,,,
2021-03-08,AL,ALA,Alabama,4903185,Report,1628350,1116676,33210,22775,578887,536261,1528,0,732967,14.9,8.3,732683,19.2,1116361,29263,413197,48.6,637025,74958,408318,408281,10.7,42684,859600,754650,14100,0,199638,208670,1619,10,199633,208638,1619,10,123712,113238,777,5,409937,8.4,409900,10.7,237732,28,,,,
2021-03-08,AR,ARA,Arkansas,3017804,Report,1088150,773357,36058,25626,389550,383615,94,98,494761,16.4,9.2,494542,21.3,773112,33358,272219,52,404252,77165,277102,277059,12,46951,559600,497250,31300,0,131161,145921,115,20,131159,145880,115,20,75162,58452,78,15,277217,9.2,277174,12,133707,25.5,,,,
2021-03-08,AS,ASA,American Samoa,55689,Report,43210,21625,77592,38832,5043,16582,0,0,13469,24.2,14.8,13259,30.5,21328,49101,2053,0,3481,0,8253,8166,18.8,99477,12400,30810,0,0,2088,6165,1,0,2088,6078,1,0,598,883,0,0,8254,14.8,8167,18.8,1481,0,,,,
2021-03-08,AZ,AZA,Arizona,7278717,Report,2623735,2215219,36047,30434,1006119,1207707,884,509,1416598,19.5,10.1,1414235,25.1,2211746,39226,760130,58.1,1163722,88927,737536,736939,13.1,46533,1279200,1266135,78400,0,295394,441963,874,179,295389,441371,873,179,150163,214148,205,124,738410,10.1,737812,13.1,364640,27.9,,,,
2021-03-08,BP2,BP2,Bureau of Prisons,0,Report,65335,72174,0,0,28405,43769,0,0,44090,0,0,44088,0,72171,0,2255,0,3601,0,27841,27840,0,0,27700,37635,0,0,9863,17978,0,0,9863,17977,0,0,499,827,0,0,27841,0,27840,0,1326,0,,,,
2021-03-08,CA,CAA,California,39512223,Report,13885120,10805474,35141,27347,5260760,5543234,1452,28,7318100,18.5,8.6,7312812,23.9,10798914,35270,3844566,65.9,5629495,96427,3405751,3404553,11.1,45350,6979200,6730620,175300,0,1611685,1794056,1220,10,1611442,1793101,1220,10,835073,905461,573,7,3406971,8.6,3405773,11.1,1741114,29.8,,,,
2021-03-08,CO,COA,Colorado,5758736,Report,2019460,1627458,35068,28261,801970,821204,3888,396,1047703,18.2,9.9,1047223,23.3,1626836,36158,580052,68.9,901839,107054,568231,568084,12.6,44885,1022400,941460,55600,0,277353,290790,3744,88,277345,290651,3742,88,158123,156778,1025,48,571975,9.9,571826,12.7,315974,37.5,,,,
2021-03-08,CT,CTA,Connecticut,3565287,Report,1434565,1228865,40237,34467,552887,666571,9391,16,883688,24.8,9.3,882784,31.1,1227609,43258,514940,81.7,684863,108666,331587,331318,11.7,50551,660600,734565,39400,0,129133,202449,9325,5,129040,202273,9314,5,33945,125381,982,3,340912,9.6,340632,12,160311,25.4,,,,
2021-03-08,DC,DCA,District of Columbia,705749,Report,337095,230110,47764,32605,92495,137615,0,0,100571,14.3,7.3,100549,17.4,230080,39835,48854,55.9,93801,107394,51566,51564,8.9,58363,153100,179595,4400,0,23742,27816,157,8,23741,27815,157,8,13264,10711,7,3,51723,7.3,51721,9,23985,27.5,,,,
