Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-24,AK,AKA,Alaska,731545,155700,94257,21284,12885,77925,10652,16201,2215,,,
2021-01-24,AL,ALA,Alabama,4903185,521225,243737,10630,4971,213833,4361,29736,606,,,
2021-01-24,AR,ARA,Arkansas,3017804,368650,214240,12216,7099,179290,5941,32572,1079,,,
2021-01-24,AS,ASA,American Samoa,55689,18450,8046,33130,14448,7096,12742,948,1702,,,
2021-01-24,AZ,AZA,Arizona,7278717,829500,390623,11396,5367,332095,4563,58291,801,,,
2021-01-24,BP2,BP2,Bureau of Prisons,0,24750,24082,0,0,18965,0,5044,0,,,
2021-01-24,CA,CAA,California,39512223,4906525,2199908,12418,5568,1838464,4653,356382,902,,,
2021-01-24,CO,COA,Colorado,5758736,692700,434496,12029,7545,355124,6167,76902,1335,,,
2021-01-24,CT,CTA,Connecticut,3565287,492850,321737,13824,9024,275126,7717,40506,1136,,,
2021-01-24,DC,DCA,District of Columbia,705749,91025,62391,12898,8840,49292,6984,13043,1848,,,
2021-01-24,DD2,DD2,Dept of Defense,0,677025,336450,0,0,296176,0,34204,0,,,
2021-01-24,DE,DEA,Delaware,973764,116325,64186,11946,6592,52586,5400,11464,1177,,,
2021-01-24,FL,FLA,Florida,21477737,2908275,1544794,13541,7193,1384479,6446,156226,727,,,
2021-01-24,FM,FMA,Federated States of Micronesia,103643,13600,2752,13122,2655,2749,2652,3,3,,,
2021-01-24,GA,GAA,Georgia,10617423,1235775,604067,11639,5689,534161,5031,59965,565,,,
2021-01-24,GU,GUA,Guam,165768,34300,3791,20692,2287,3785,2283,0,0,,,
2021-01-24,HI,HIA,Hawaii,1415872,191575,84792,13531,5989,67990,4802,16802,1187,,,
2021-01-24,IA,IAA,Iowa,3155070,361475,191183,11457,6060,157635,4996,30949,981,,,
2021-01-24,ID,IDA,Idaho,1787065,181100,87128,10134,4875,72424,4053,14059,787,,,
2021-01-24,IH2,IH2,Indian Health Svc,0,357850,153784,0,0,128843,0,23643,0,,,
2021-01-24,IL,ILA,Illinois,12671821,1417250,699072,11184,5517,556517,4392,135330,1068,,,
2021-01-24,IN,INA,Indiana,6732219,841725,446029,12503,6625,367944,5465,77985,1158,,,
2021-01-24,KS,KSA,Kansas,2913314,348175,151249,11951,5192,127417,4374,22610,776,,,
2021-01-24,KY,KYA,Kentucky,4467673,471000,299493,10542,6704,268308,6006,29346,657,,,
2021-01-24,LA,LAA,Louisiana,4648794,543700,334086,11696,7187,290955,6259,42520,915,,,
2021-01-24,MA,MAA,Massachusetts,6892503,859175,419806,12465,6091,356102,5167,63096,915,,,
2021-01-24,MD,MDA,Maryland,6045680,742175,338544,12276,5600,300609,4972,37507,620,,,
2021-01-24,ME,MEA,Maine,1344212,178450,99815,13275,7426,79310,5900,19151,1425,,,
2021-01-24,MH,MHA,Marshall Islands,58413,13600,3098,23282,5304,3065,5247,3,5,,,
2021-01-24,MI,MIA,Michigan,9986857,1095675,695273,10971,6962,573167,5739,111243,1114,,,
2021-01-24,MN,MNA,Minnesota,5639632,680700,321180,12070,5695,252927,4485,67716,1201,,,
2021-01-24,MO,MOA,Missouri,6137428,661400,317737,10777,5177,242937,3958,73248,1193,,,
2021-01-24,MP,MPA,Northern Mariana Islands,56882,18650,8390,32787,14750,5369,9439,3017,5304,,,
2021-01-24,MS,MSA,Mississippi,2976149,358100,177636,12032,5969,161507,5427,15918,535,,,
2021-01-24,MT,MTA,Montana,1068778,119500,76590,11181,7166,62498,5848,14071,1317,,,
2021-01-24,NC,NCA,North Carolina,10488084,1246600,636439,11886,6068,552194,5265,83752,799,,,
2021-01-24,ND,NDA,North Dakota,762062,86750,73175,11384,9602,56158,7369,15589,2046,,,
2021-01-24,NE,NEA,Nebraska,1934408,238100,132846,12309,6868,109860,5679,22175,1146,,,
2021-01-24,NH,NHA,New Hampshire,1359711,162950,93338,11984,6865,79942,5879,13355,982,,,
2021-01-24,NJ,NJA,New Jersey,8882190,989900,535625,11145,6030,468760,5278,65164,734,,,
2021-01-24,NM,NMA,New Mexico,2096829,257075,200141,12260,9545,162636,7756,34878,1663,,,
2021-01-24,NV,NVA,Nevada,3080156,286950,152203,9316,4941,129223,4195,22068,716,,,
