Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Per_100k_18Plus,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-03-11,US,USA,United States,331996199,Report,131131470,98203893,39498,29580,47733656,49708920,638469,122848,64071674,19.3,10,64005256,25.1,98113296,38446,33715207,62.4,51320318,94935,33226913,33203255,13,51384,65552300,61874670,3704500,0,15578873,17621640,636255,26359,15572708,17604165,635915,26342,8051271,9088802,235695,7538,33863127,10.2,33839130,13.3,17383306,32.2,,,,
2021-03-11,AK,AKA,Alaska,731545,Report,462875,313365,63274,42836,143877,169430,2,56,190712,26.1,16.7,189677,34.4,311703,56513,66074,72.1,116722,127442,122190,121567,22,83921,231500,223275,8100,0,54166,68017,7,7,54159,67401,7,7,,,,,122197,16.7,121574,22,,,,,,
2021-03-11,AL,ALA,Alabama,4903185,Report,1816230,1209802,37042,24674,625740,576451,7611,0,790864,16.1,9.1,790553,20.7,1209449,31703,440534,51.8,684820,80583,444919,444871,11.7,47609,978900,782730,54600,0,223582,221322,7827,15,223576,221280,7827,15,,,,,452746,9.2,452698,11.9,,,,,,
2021-03-11,AR,ARA,Arkansas,3017804,Report,1209300,800091,40072,26512,403135,395744,1105,107,514556,17.1,9.4,514328,22.2,799838,34511,284220,54.3,421090,80379,284585,284542,12.3,52178,638100,538200,33000,0,136572,147993,1226,20,136570,147952,1226,20,,,,,285811,9.5,285768,12.3,,,,,,
2021-03-11,AS,ASA,American Samoa,55689,Report,43210,23696,77592,42551,5238,18458,0,0,15085,27.1,15.6,14826,34.1,23335,53721,2186,0,3654,0,8705,8603,19.8,99477,12400,30810,0,0,2105,6600,1,0,2105,6498,1,0,,,,,8706,15.6,8604,19.8,,,,,,
2021-03-11,AZ,AZA,Arizona,7278717,Report,2909125,2350374,39968,32291,1067101,1277368,5290,615,1496266,20.6,10.8,1493745,26.5,2346634,41618,796336,60.9,1237487,94563,787328,786701,14,51594,1461500,1367925,79700,0,326124,460991,4877,213,326118,460370,4876,213,,,,,792205,10.9,791577,14,,,,,,
2021-03-11,BP2,BP2,Bureau of Prisons,0,Report,73715,76224,0,0,30258,45966,0,0,46675,0,0,46675,0,76224,0,2363,0,3787,0,29287,29287,0,0,31400,42315,0,0,10836,18451,0,0,10836,18451,0,0,,,,,29287,0,29287,0,,,,,,
2021-03-11,CA,CAA,California,39512223,Report,15725740,11220508,39800,28398,5451055,5765319,4101,33,7600220,19.2,9,7594351,24.8,11213293,36624,3923922,67.2,5802611,99392,3537360,3536089,11.5,51362,7769300,7486440,470000,0,1687798,1849552,4135,10,1687542,1848537,4135,10,,,,,3541495,9,3540224,11.6,,,,,,
2021-03-11,CO,COA,Colorado,5758736,Report,2298570,1764066,39914,30633,856230,882626,24754,456,1133732,19.7,10.7,1133104,25.2,1763285,39191,603994,71.7,953809,113224,616251,616093,13.7,51088,1169100,1073670,55800,0,291892,324259,23993,100,291884,324109,23990,100,,,,,640244,11.1,640083,14.2,,,,,,
2021-03-11,CT,CTA,Connecticut,3565287,Report,1604885,1304302,45014,36583,581373,702486,20366,77,948575,26.6,9.6,947632,33.4,1303000,45915,537869,85.3,716265,113649,342381,342105,12.1,56553,762100,800085,42700,0,131304,211064,20290,13,131209,210883,20269,13,,,,,362671,10.2,362374,12.8,,,,,,
