Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-03,AK,AKA,Alaska,731545,229975,125765,31437,17192,98076,13407,27528,3763,13.4,3.8,,,
2021-02-03,AL,ALA,Alabama,4903185,765150,388339,15605,7920,324998,6628,62990,1285,6.6,1.3,,,
2021-02-03,AR,ARA,Arkansas,3017804,499325,322447,16546,10685,256307,8493,63356,2099,8.5,2.1,,,
2021-02-03,AS,ASA,American Samoa,55689,18450,11066,33130,19871,9759,17524,1305,2343,17.5,2.3,,,
2021-02-03,AZ,AZA,Arizona,7278717,1181000,656040,16225,9013,553373,7603,102107,1403,7.6,1.4,,,
2021-02-03,BP2,BP2,Bureau of Prisons,0,36450,34255,0,0,24049,0,10130,0,0,0,,,
2021-02-03,CA,CAA,California,39512223,6343925,3671316,16056,9292,3044980,7706,613845,1554,7.7,1.6,,,
2021-02-03,CO,COA,Colorado,5758736,940800,617125,16337,10716,472820,8210,140610,2442,8.2,2.4,,,
2021-02-03,CT,CTA,Connecticut,3565287,608600,465008,17070,13043,365975,10265,90574,2540,10.3,2.5,,,
2021-02-03,DC,DCA,District of Columbia,705749,159925,85065,22660,12053,65207,9239,19753,2799,9.2,2.8,,,
2021-02-03,DD2,DD2,Dept of Defense,0,872325,508965,0,0,424284,0,75347,0,0,0,,,
2021-02-03,DE,DEA,Delaware,973764,154700,107544,15887,11044,88325,9070,18568,1907,9.1,1.9,,,
2021-02-03,FL,FLA,Florida,21477737,3658975,2133168,17036,9932,1752699,8161,373238,1738,8.2,1.7,,,
2021-02-03,FM,FMA,Federated States of Micronesia,103643,19400,6254,18718,6034,6210,5992,17,16,6,0,,,
2021-02-03,GA,GAA,Georgia,10617423,1638700,975038,15434,9183,813214,7659,140900,1327,7.7,1.3,,,
2021-02-03,GU,GUA,Guam,165768,43500,26068,26241,15726,20785,12539,5108,3081,12.5,3.1,,,
2021-02-03,HI,HIA,Hawaii,1415872,253150,143686,17879,10148,115440,8153,28245,1995,8.2,2,,,
2021-02-03,IA,IAA,Iowa,3155070,446825,266777,14162,8456,199242,6315,64234,2036,6.3,2,,,
2021-02-03,ID,IDA,Idaho,1787065,245925,132384,13761,7408,107234,6001,24171,1353,6,1.4,,,
2021-02-03,IH2,IH2,Indian Health Svc,0,461000,224095,0,0,174664,0,45751,0,0,0,,,
2021-02-03,IL,ILA,Illinois,12671821,1986725,1108571,15678,8748,859076,6779,230850,1822,6.8,1.8,,,
2021-02-03,IN,INA,Indiana,6732219,1106550,637745,16437,9473,517147,7682,120352,1788,7.7,1.8,,,
2021-02-03,KS,KSA,Kansas,2913314,470800,241156,16160,8278,192026,6591,47394,1627,6.6,1.6,,,
2021-02-03,KY,KYA,Kentucky,4467673,719200,435400,16098,9746,360015,8058,73264,1640,8.1,1.6,,,
2021-02-03,LA,LAA,Louisiana,4648794,746550,488960,16059,10518,384041,8261,104070,2239,8.3,2.2,,,
2021-02-03,MA,MAA,Massachusetts,6892503,1156375,625477,16777,9075,497445,7217,126560,1836,7.2,1.8,,,
2021-02-03,MD,MDA,Maryland,6045680,958575,546409,15856,9038,454437,7517,91468,1513,7.5,1.5,,,
2021-02-03,ME,MEA,Maine,1344212,226275,145786,16833,10845,109917,8177,34299,2552,8.2,2.6,,,
2021-02-03,MH,MHA,Marshall Islands,58413,21000,4258,35951,7289,3844,6581,376,644,6.6,0.6,,,
2021-02-03,MI,MIA,Michigan,9986857,1629000,1042268,16311,10436,814362,8154,214234,2145,8.2,2.1,,,
2021-02-03,MN,MNA,Minnesota,5639632,919975,552701,16313,9800,431172,7645,119631,2121,7.6,2.1,,,
2021-02-03,MO,MOA,Missouri,6137428,904250,482112,14733,7855,371382,6051,106842,1741,6.1,1.7,,,
2021-02-03,MP,MPA,Northern Mariana Islands,56882,29650,10655,52125,18732,7271,12783,3378,5939,12.8,5.9,,,
2021-02-03,MS,MSA,Mississippi,2976149,484850,250905,16291,8431,222860,7488,27786,934,7.5,0.9,,,
2021-02-03,MT,MTA,Montana,1068778,157275,110374,14715,10327,83875,7848,26345,2465,7.8,2.5,,,
2021-02-03,NC,NCA,North Carolina,10488084,1643800,1026683,15673,9789,855450,8156,170087,1622,8.2,1.6,,,
2021-02-03,ND,NDA,North Dakota,762062,122150,103572,16029,13591,72589,9525,27418,3598,9.5,3.6,,,
2021-02-03,NE,NEA,Nebraska,1934408,332525,188285,17190,9733,138354,7152,48889,2527,7.2,2.5,,,
2021-02-03,NH,NHA,New Hampshire,1359711,235250,138271,17301,10169,104042,7652,34130,2510,7.7,2.5,,,
2021-02-03,NJ,NJA,New Jersey,8882190,1252250,851721,14098,9589,703957,7925,145570,1639,7.9,1.6,,,
2021-02-03,NM,NMA,New Mexico,2096829,356150,284830,16985,13584,219033,10446,62821,2996,10.4,3,,,
2021-02-03,NV,NVA,Nevada,3080156,417875,279471,13567,9073,236799,7688,41227,1338,7.7,1.3,,,
2021-02-03,NY,NYA,New York State,19453561,3241250,2003170,16661,10297,1562945,8034,368054,1892,8,1.9,,,
2021-02-03,OH,OHA,Ohio,11689100,1812025,1085391,15502,9285,883630,7559,200784,1718,7.6,1.7,,,
2021-02-03,OK,OKA,Oklahoma,3956971,675850,462440,17080,11687,372020,9402,87596,2214,9.4,2.2,,,
2021-02-03,OR,ORA,Oregon,4217737,706575,454269,16752,10770,361249,8565,91240,2163,8.6,2.2,,,
2021-02-03,PA,PAA,Pennsylvania,12801989,2143150,1158091,16741,9046,917497,7167,237876,1858,7.2,1.9,,,
