Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-04-08,US,USA,United States,331996199,Report,229398685,174879716,69097,52675,79551820,90256586,4917225,154085,112046611,33.7,18.5,111412711,43.2,174105465,67449,88869,42047956,76.9,73140525,133720,419400,61317491,61179743,23.7,100866200,114083385,14449100,0,28472059,32808648,4886336,36080,28450130,32692871,4878297,36042,15233618,15546134,1130727,13624,66203123,19.9,66057341,25.6,31924104,58.4,,,,
2021-04-08,AK,AKA,Alaska,731545,Report,692995,443287,94730,60596,199885,233985,9360,57,263119,36,24.3,258305,46.8,436205,79085,125642,67431,73.6,121509,132669,756644,177905,175643,31.8,306300,347295,39400,0,79871,98023,8692,11,79775,95857,8652,11,32994,22764,988,4,186597,25.5,184295,33.4,56750,62,,,,
2021-04-08,AL,ALA,Alabama,4903185,Report,3170520,1976344,64662,40307,959353,961746,55245,0,1317995,26.9,14.4,1314344,34.5,1972389,51703,83109,570502,67.1,932505,109728,373074,708009,707617,18.5,1449300,1504620,216600,0,349151,358817,56441,41,349114,358462,56420,41,206892,174001,19070,28,764450,15.6,764037,20,399991,47.1,,,,
2021-04-08,AR,ARA,Arkansas,3017804,Report,2035230,1379591,67441,45715,660282,678574,40429,306,897978,29.8,15.9,892455,38.5,1373663,59270,87814,358552,68.4,607915,116040,388490,479449,478951,20.7,917400,981630,136200,0,237779,241603,39375,67,237737,241148,39189,66,146212,103960,6508,49,518824,17.2,518140,22.4,256729,49,,,,
2021-04-08,AS,ASA,American Samoa,55689,Report,43810,32904,78669,59085,6903,26001,0,0,18650,33.5,25.7,18062,41.6,31879,73391,100859,2282,24.1,4133,43657,462765,14332,13898,32,12400,30810,600,0,2890,11442,6,0,2888,11010,6,0,718,1192,1,0,14338,25.7,13904,32,1911,20.2,,,,
2021-04-08,AZ,AZA,Arizona,7278717,Report,4958025,3901177,68117,53597,1728209,2094358,76691,1919,2412162,33.1,19,2388938,42.4,3871541,68663,87932,966492,73.9,1728284,132068,378871,1379443,1375010,24.4,2240000,2397525,320500,0,609839,768972,73989,632,609755,764623,73928,632,333442,361935,16519,432,1453432,20,1448938,25.7,712328,54.4,,,,
2021-04-08,BP2,BP2,Bureau of Prisons,0,Report,123170,119665,0,0,46995,71738,932,0,69297,0,0,69296,0,119664,0,0,2751,0,4992,0,0,49743,49743,0,48500,71370,3300,0,19324,30419,924,0,19324,30419,924,0,1051,1160,13,0,50667,0,50667,0,2224,0,,,,
2021-04-08,CA,CAA,California,39512223,Report,27861050,21243518,70512,53764,9807334,10832869,601302,2013,14123008,35.7,17.7,14023844,45.8,21126593,69002,90997,4731794,81.1,8040918,137731,477227,7001137,6983519,22.8,12218100,13761150,1881800,0,3233223,3767530,598422,384,3231747,3751389,596840,383,1719564,1528678,70832,243,7599559,19.2,7580359,24.8,3319317,56.9,,,,
2021-04-08,CO,COA,Colorado,5758736,Report,3963630,3129702,68828,54347,1496460,1544961,87369,912,2010121,34.9,19,1995276,44.3,3112993,69190,88096,666822,79.2,1229619,145964,470510,1095033,1093187,24.3,1785300,1925430,252900,0,538725,556056,86297,252,538560,554375,86102,252,282639,269193,9924,109,1181330,20.5,1179289,26.2,561865,66.7,,,,
2021-04-08,CT,CTA,Connecticut,3565287,Report,2873725,2279517,80603,63936,982807,1226276,70273,161,1447944,40.6,22.9,1441513,50.8,2272048,80062,101264,540577,85.8,995205,157908,455970,817385,816498,28.8,1220300,1469325,184100,0,364774,452585,70427,26,364576,451896,70378,26,172075,270527,7896,14,887812,24.9,886876,31.3,450512,71.5,,,,
