Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-08-22,US,USA,United States,331996199,Report,428531345,362657771,129077,109236,143433946,204750908,14130274,342643,201425785,60.7,47.3,188617256,73,340280795,131759,165930,50019680,91.4,94043655,171937,783470,156921302,147571027,57.1,174713640,232313955,21484400,19350,64768660,92002656,13954979,95326,64321914,82951251,13845857,93722,21060703,21133228,2186574,41477,170821621,51.5,161212744,62.4,44421983,81.2,94043655,283545812,362302232,127776,151133,201198784,71,156794162,55.3,170690426,60.2,64764879,91878143,13952129,95274,362302232,28,,,,
2021-08-22,AK,AKA,Alaska,731545,Report,895645,717156,122432,98033,293920,393020,30016,200,389639,53.3,42.8,362320,65.7,669152,121319,162383,76803,83.9,144864,158169,977906,313095,292507,53,379160,457185,59300,0,135323,177576,28115,50,134950,157367,27987,46,40366,28886,2816,23,341064,46.6,320350,58.1,72091,78.7,138352,608877,715075,117442,147098,388355,63.8,312302,51.3,340269,55.9,135319,176787,28113,50,670809,,,,,
2021-08-22,AL,ALA,Alabama,4903185,Report,5863220,3916146,119580,79869,1761745,2025456,128941,4,2345934,47.8,33.7,2238992,58.7,3753142,98382,153693,707840,83.3,1255408,147723,689923,1650054,1592726,41.8,2654040,2927880,281300,0,769038,880304,131946,302,768744,823271,131875,301,316239,251282,33215,187,1781590,36.3,1724191,45.2,600923,70.7,1210060,4186880,3915791,93525,140038,2345578,56,1650021,39.4,1781551,42.6,769026,880283,131940,302,3776678,,,,,
2021-08-22,AR,ARA,Arkansas,3017804,Report,3555840,2704473,117829,89617,1202749,1408241,92162,1321,1568334,52,36.9,1467816,63.3,2543204,109732,153424,436034,83.2,793867,151535,678748,1113383,1053191,45.4,1601060,1775880,178900,0,523391,589289,90436,354,522388,530131,89940,339,207953,143094,13626,201,1203470,39.9,1142798,49.3,364874,69.6,757755,2557248,2699322,105556,139049,1564594,61.2,1112029,43.5,1202000,47,523384,587943,90320,353,2617250,,,,,
2021-08-22,AS,ASA,American Samoa,55689,Report,58530,54964,105102,98698,13520,40898,545,1,30318,54.4,44.3,26165,60.3,48010,110686,134939,2778,29.4,5204,55150,620284,24691,21919,50.5,15600,42330,600,0,6093,18597,552,0,6079,15839,551,0,1034,1463,25,0,25242,45.3,22469,51.8,2522,26.7,5204,47557,54951,115548,123073,30309,63.7,24687,51.9,25238,53.1,6092,18594,552,0,54951,,,,,
2021-08-22,AZ,AZA,Arizona,7278717,Report,9131170,7429859,125450,102076,3095537,4056088,267740,10494,4057082,55.7,43.5,3799036,67.4,6969717,123610,161944,1140838,87.2,2181918,166733,697764,3164625,2972910,52.7,3786560,4913610,431000,0,1361885,1798227,259567,3269,1361408,1607026,259186,3234,487232,453532,43838,1746,3422948,47,3230854,57.3,986348,75.4,2048384,6206060,7428929,119704,147133,4056253,65.4,3164506,51,3422597,55.1,1361864,1798131,259334,3268,6953361,,,,,
2021-08-22,BP2,BP2,Bureau of Prisons,0,Report,223500,209098,0,0,85318,113593,10187,0,115232,0,0,115231,0,209097,0,0,3457,0,6572,0,0,92696,92696,0,93560,119340,10600,0,39953,52695,10153,0,39953,52695,10153,0,1543,1530,141,0,102801,0,102801,0,3214,0,6572,0,209097,0,0,115231,0,92696,0,102801,0,39953,52695,10153,0,209097,,,,,
2021-08-22,CA,CAA,California,39512223,Report,53702585,47163521,135914,119364,18503852,26899331,1748024,12314,26802699,67.8,50.6,24879979,81.3,43779031,142987,175398,5672757,97.2,10209440,174876,919862,19974433,18517795,60.5,21505000,29581785,2615800,0,8145619,11815436,1737309,3762,8120605,10384118,1729971,3519,2328778,2073513,175541,1225,21702126,54.9,20238213,66.1,4579057,78.4,9943923,33646265,47035319,139794,159609,26723342,79.4,19926178,59.2,21653544,64.4,8145195,11767615,1736980,3754,46167060,,,,,
2021-08-22,CO,COA,Colorado,5758736,Report,7582565,6711571,131671,116546,2712902,3745103,249241,4325,3604686,62.6,51.9,3347958,74.4,6241507,138724,168531,754597,89.6,1458605,173146,900102,2987647,2776483,61.7,3099040,4143225,340300,0,1262894,1722244,245348,1321,1259293,1514738,244212,1276,337525,326578,22497,456,3231807,56.1,3019519,67.1,687056,81.6,1415497,4936061,6691574,135565,153616,3592908,72.8,2979614,60.4,3223753,65.3,1262880,1714226,245327,1320,6494061,,,,,
2021-08-22,CT,CTA,Connecticut,3565287,Report,5204915,4750180,145989,133234,1794234,2760175,194972,799,2587258,72.6,59.7,2401742,84.6,4410808,155428,183411,613191,97.3,1184978,188019,825857,2128050,1978753,69.7,2122900,2832015,250000,0,844524,1282778,194369,275,844146,1133924,194202,222,226139,326968,19673,60,2321946,65.1,2172494,76.6,572840,90.9,1155216,3105947,4748501,152884,167579,2585963,83.3,2127668,68.5,2321487,74.7,844319,1282601,194292,275,4669037,,,,,
