Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019
2021-01-04,1,AK,AKA,Alaska,74925,18937,10242,2589,731545
2021-01-04,1,AL,ALA,Alabama,159325,39564,3249,807,4903185
2021-01-04,1,AR,ARA,Arkansas,139400,40899,4619,1355,3017804
2021-01-04,1,AS,ASA,American Samoa,8250,1022,14814,1835,55689
2021-01-04,1,AZ,AZA,Arizona,411025,66059,5647,908,7278717
2021-01-04,1,BP2,BP2,Bureau of Prisons,12800,7366,0,0,0
2021-01-04,1,CA,CAA,California,1866075,451702,4723,1143,39512223
2021-01-04,1,CO,COA,Colorado,262275,112510,4554,1954,5758736
2021-01-04,1,CT,CTA,Connecticut,149900,75946,4204,2130,3565287
2021-01-04,1,DC,DCA,District of Columbia,35475,15583,5027,2208,705749
2021-01-04,1,DD2,DD2,Dept of Defense,248200,67766,0,0,0
2021-01-04,1,DE,DEA,Delaware,50725,13913,5209,1429,973764
2021-01-04,1,FL,FLA,Florida,1137000,264512,5294,1232,21477737
2021-01-04,1,FM,FMA,Federated States of Micronesia,1600,10,1544,10,103643
2021-01-04,1,GA,GAA,Georgia,483650,75157,4555,708,10617423
2021-01-04,1,GU,GUA,Guam,19300,3791,11643,2287,165768
2021-01-04,1,HI,HIA,Hawaii,76650,19313,5414,1364,1415872
2021-01-04,1,IA,IAA,Iowa,116275,55495,3685,1759,3155070
2021-01-04,1,ID,IDA,Idaho,71825,19126,4019,1070,1787065
2021-01-04,1,IH2,IH2,Indian Health Svc,159700,35753,0,0,0
2021-01-04,1,IL,ILA,Illinois,427150,176577,3371,1393,12671821
2021-01-04,1,IN,INA,Indiana,334375,91168,4967,1354,6732219
2021-01-04,1,KS,KSA,Kansas,131750,20110,4522,690,2913314
2021-01-04,1,KY,KYA,Kentucky,156600,60663,3505,1358,4467673
2021-01-04,1,LA,LAA,Louisiana,218425,49589,4699,1067,4648794
2021-01-04,1,LTC,LTC,Long Term Care,2533925,365294,0,0,0
2021-01-04,1,MA,MAA,Massachusetts,287000,110279,4164,1600,6892503
2021-01-04,1,MD,MDA,Maryland,274950,65718,4548,1087,6045680
2021-01-04,1,ME,MEA,Maine,66250,31663,4929,2356,1344212
2021-01-04,1,MH,MHA,Marshall Islands,1200,0,2054,0,58413
2021-01-04,1,MI,MIA,Michigan,378925,99040,3794,992,9986857
2021-01-04,1,MN,MNA,Minnesota,229675,83884,4073,1487,5639632
2021-01-04,1,MO,MOA,Missouri,235375,91817,3835,1496,6137428
2021-01-04,1,MP,MPA,Northern Mariana Islands,6250,3027,10988,5322,56882
2021-01-04,1,MS,MSA,Mississippi,84250,21814,2831,733,2976149
2021-01-04,1,MT,MTA,Montana,52450,23518,4907,2200,1068778
2021-01-04,1,NC,NCA,North Carolina,395100,101351,3767,966,10488084
2021-01-04,1,ND,NDA,North Dakota,37900,22240,4973,2918,762062
2021-01-04,1,NE,NEA,Nebraska,90675,35644,4687,1843,1934408
2021-01-04,1,NH,NHA,New Hampshire,53675,21181,3948,1558,1359711
2021-01-04,1,NJ,NJA,New Jersey,387000,99557,4357,1121,8882190
2021-01-04,1,NM,NMA,New Mexico,98625,41557,4704,1982,2096829
2021-01-04,1,NV,NVA,Nevada,141550,34454,4596,1119,3080156
2021-01-04,1,NY,NYA,New York State,895925,274713,4605,1412,19453561
2021-01-04,1,OH,OHA,Ohio,359700,159869,3077,1368,11689100
2021-01-04,1,OK,OKA,Oklahoma,203550,60010,5144,1517,3956971
2021-01-04,1,OR,ORA,Oregon,202200,48733,4794,1155,4217737
2021-01-04,1,PA,PAA,Pennsylvania,592125,163207,4625,1275,12801989
2021-01-04,1,PR,PRA,Puerto Rico,163300,44633,5113,1398,3193694
2021-01-04,1,RI,RIA,Rhode Island,55600,22544,5248,2128,1059361
2021-01-04,1,RP,RPA,Republic of Palau,2800,60,15636,335,17907
2021-01-04,1,SC,SCA,South Carolina,141375,54902,2746,1066,5148714
2021-01-04,1,SD,SDA,South Dakota,43325,26913,4897,3042,884659
2021-01-04,1,TN,TNA,Tennessee,300250,152516,4397,2233,6829174
2021-01-04,1,TX,TXA,Texas,1004300,374238,3464,1291,28995881
2021-01-04,1,US,USA,United States,15418500,4563260,4644,1374,331996199
2021-01-04,1,UT,UTA,Utah,144275,48909,4500,1526,3205958
2021-01-04,1,VA,VAA,Virginia,468950,108861,5494,1275,8535519
2021-01-04,1,VA2,VA2,Veterans Health,477125,117975,0,0,0
2021-01-04,1,VI,VIA,Virgin Islands,4925,199,4705,190,104680
2021-01-04,1,VT,VTA,Vermont,33925,15955,5437,2557,623989
2021-01-04,1,WA,WAA,Washington,389250,92700,5112,1217,7614893
2021-01-04,1,WI,WIA,Wisconsin,208075,66974,3574,1150,5822434
2021-01-04,1,WV,WVA,West Virginia,124325,52518,6937,2930,1792147
2021-01-04,1,WY,WYA,Wyoming,29675,7556,5127,1306,578759
