Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-14,AK,AKA,Alaska,731545,271550,183831,37120,25129,126381,17276,57117,7808,17.3,7.8,,,
2021-02-14,AL,ALA,Alabama,4903185,965550,612254,19692,12487,474065,9669,137032,2795,9.9,2.9,,,
2021-02-14,AR,ARA,Arkansas,3017804,630700,472536,20899,15658,338611,11220,130637,4329,11.2,4.3,,,
2021-02-14,AS,ASA,American Samoa,55689,29450,15382,52883,27621,10062,18068,5308,9532,18.1,9.5,,,
2021-02-14,AZ,AZA,Arizona,7278717,1393575,1089155,19146,14964,840252,11544,244971,3366,11.2,3.3,,,
2021-02-14,BP2,BP2,Bureau of Prisons,0,43775,47564,0,0,30193,0,17256,0,0,0,,,
2021-02-14,CA,CAA,California,39512223,8059325,5820388,20397,14731,4493220,11372,1287390,3258,11.4,3.3,,,
2021-02-14,CO,COA,Colorado,5758736,1210475,926807,21020,16094,631243,10961,290991,5053,10.9,5,,,
2021-02-14,CT,CTA,Connecticut,3565287,854725,674704,23974,18924,473106,13270,191978,5385,13.2,5.4,,,
2021-02-14,DC,DCA,District of Columbia,705749,193900,121313,27474,17189,84740,12007,36388,5156,8.2,2.8,,,
2021-02-14,DD2,DD2,Dept of Defense,0,1084925,751746,0,0,561995,0,179425,0,0,0,,,
2021-02-14,DE,DEA,Delaware,973764,188075,146437,19314,15038,114564,11765,31095,3193,11.5,3,,,
2021-02-14,FL,FLA,Florida,21477737,4514300,3467856,21019,16146,2366552,11019,1082096,5038,10.8,5,,,
2021-02-14,FM,FMA,Federated States of Micronesia,103643,30000,9415,28946,9084,8495,8196,886,855,8.3,0.9,,,
2021-02-14,GA,GAA,Georgia,10617423,2020275,1437718,19028,13541,1027629,9679,380394,3583,9.5,3.6,,,
2021-02-14,GU,GUA,Guam,165768,51300,38622,30947,23299,27647,16678,10688,6448,16.7,6.4,,,
2021-02-14,HI,HIA,Hawaii,1415872,310600,225188,21937,15905,162945,11508,62239,4396,11.6,4.4,,,
2021-02-14,IA,IAA,Iowa,3155070,597725,456512,18945,14469,335771,10642,115407,3658,10.7,3.7,,,
2021-02-14,ID,IDA,Idaho,1787065,329575,242295,18442,13558,174495,9764,56629,3169,9.9,3.2,,,
2021-02-14,IH2,IH2,Indian Health Svc,0,695550,378614,0,0,273379,0,99411,0,0,0,,,
2021-02-14,IL,ILA,Illinois,12671821,2566675,1854228,20255,14633,1421577,11218,400340,3159,11.3,3.2,,,
