Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-08-07,US,USA,United States,331996199,Report,407550175,350627188,122757,105612,140189704,196477868,13639573,320043,194346486,58.5,46,182847829,70.8,330493382,127969,157806,49439447,90.4,92722703,169522,745111,152751201,144296327,55.9,167621900,218424525,21484400,19350,63791530,88862678,13457637,91331,63389332,80691793,13360328,89983,20917442,20879124,2132297,39468,166203176,50.1,157531437,61,43968332,80.4,92722703,283545812,350275082,123534,143733,194121899,68.5,152624963,53.8,166072992,58.6,63787797,88739040,13454869,91285,350275082,26,,,,
2021-08-07,AK,AKA,Alaska,731545,Report,872195,703975,119226,96231,290658,384050,29078,189,381470,52.1,42.2,355873,64.5,658910,119463,158132,76208,83.2,143577,156764,952303,308553,289191,52.4,371460,441435,59300,0,134354,174152,27011,47,133983,155164,26886,44,40198,28685,2702,22,335564,45.9,316077,57.3,71607,78.2,137126,608877,701900,115278,143247,380190,62.4,307762,50.5,334771,55,134350,173365,27009,47,658587,,,,,
2021-08-07,AL,ALA,Alabama,4903185,Report,5330000,3699467,108705,75450,1685027,1890297,124139,4,2207345,45,32.2,2119604,55.6,3569730,93574,139716,695225,81.8,1231961,144964,627179,1581032,1537372,40.3,2439960,2608740,281300,0,750705,830076,126863,251,750427,786694,126798,251,312997,247543,32493,157,1707895,34.8,1664170,43.6,593190,69.8,1186967,4186880,3699131,88351,127302,2207008,52.7,1580999,37.8,1707856,40.8,750693,830055,126857,251,3562528,,,,,
2021-08-07,AR,ARA,Arkansas,3017804,Report,3198590,2533503,105991,83952,1145445,1298961,88400,697,1474010,48.8,34.6,1391484,60,2405786,103803,138010,428319,81.8,776958,148308,610555,1043041,998126,43.1,1465120,1554570,178900,0,499912,542932,86462,197,498917,499025,85984,184,204415,140191,13177,110,1129503,37.4,1084110,46.8,357893,68.3,741148,2557248,2528426,98873,125079,1470324,57.5,1041707,40.7,1128053,44.1,499905,541606,86346,196,2447948,,,,,
2021-08-07,AS,ASA,American Samoa,55689,Report,55830,52933,100253,95051,13049,39338,545,1,29366,52.7,42.5,25756,59.4,47184,108782,128715,2758,29.2,5171,54801,591670,23667,21537,49.7,15600,39630,600,0,5905,17762,550,0,5891,15646,549,0,1028,1458,25,0,24217,43.5,22086,50.9,2511,26.6,5171,47557,52922,111281,117396,29358,61.7,23664,49.8,24214,50.9,5904,17760,550,0,52922,,,,,
2021-08-07,AZ,AZA,Arizona,7278717,Report,8724550,7196555,119864,98871,3016325,3912039,258500,9691,3926057,53.9,42.3,3693485,65.5,6783460,120307,154732,1130060,86.4,2156062,164757,666692,3077876,2906875,51.6,3615200,4678350,431000,0,1334317,1740400,249481,3159,1333865,1569881,249113,3129,483011,449658,42638,1674,3327357,45.7,3155988,56,976981,74.7,2023728,6206060,7195674,115946,140581,3925265,63.2,3077767,49.6,3327017,53.6,1334296,1740313,249250,3158,6739865,,,,,
2021-08-07,BP2,BP2,Bureau of Prisons,0,Report,218180,204318,0,0,83714,111002,9602,0,111690,0,0,111689,0,204317,0,0,3413,0,6511,0,0,91485,91485,0,90760,116820,10600,0,39660,51825,9533,0,39660,51825,9533,0,1537,1520,127,0,101018,0,101018,0,3184,0,6511,0,204317,0,0,111689,0,91485,0,101018,0,39660,51825,9533,0,204317,,,,,
2021-08-07,CA,CAA,California,39512223,Report,51613545,45772034,130627,115843,18156055,25913924,1692522,9533,25998296,65.8,49.2,24230823,79.1,42661563,139337,168575,5617745,96.2,10080185,172662,884079,19457769,18119139,59.2,20945600,28052145,2615800,0,8029898,11424877,1676250,2994,8004974,10111383,1669017,2782,2310601,2049602,168995,976,21134019,53.5,19788156,64.6,4530174,77.6,9816086,33646265,45644374,135660,153401,25919363,77,19409618,57.7,21085548,62.7,8029476,11377154,1675930,2988,44789694,,,,,
2021-08-07,CO,COA,Colorado,5758736,Report,7332675,6544585,127331,113646,2671851,3629897,238764,4073,3514870,61,50.8,3274781,72.8,6106535,135724,162977,748735,88.9,1440919,171047,870438,2927566,2731420,60.7,3010700,3981675,340300,0,1249800,1676493,234532,1273,1246222,1483959,233422,1239,335951,323748,21572,429,3162098,54.9,2964842,65.9,681700,80.9,1398006,4936061,6524743,132185,148553,3503161,71,2919600,59.1,3154111,63.9,1249787,1668540,234511,1273,6330664,,,,,
2021-08-07,CT,CTA,Connecticut,3565287,Report,5009105,4636874,140497,130056,1764141,2683459,188585,689,2521720,70.7,58.5,2349470,82.8,4320770,152255,176511,608430,96.5,1173789,186244,794788,2085971,1946729,68.6,2043100,2716005,250000,0,834376,1251355,187778,240,834002,1112532,187629,195,224963,325181,19089,52,2273749,63.8,2134358,75.2,569285,90.3,1144125,3105947,4635221,149237,161275,2520445,81.1,2085594,67.1,2273296,73.2,834170,1251184,187702,240,4556479,,,,,
