Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-31,AK,AKA,Alaska,731545,193150,119590,26403,16348,94889,12971,24545,3355,12.97,3.36,,,
2021-01-31,AL,ALA,Alabama,4903185,659400,353974,13448,7219,298301,6084,55331,1128,6.08,1.13,,,
2021-01-31,AR,ARA,Arkansas,3017804,453700,303793,15034,10067,244867,8114,56264,1864,8.11,1.86,,,
2021-01-31,AS,ASA,American Samoa,55689,18450,9925,33130,17822,8926,16028,997,1790,16.03,1.79,,,
2021-01-31,AZ,AZA,Arizona,7278717,1013375,594104,13922,8162,500942,6882,92666,1273,6.88,1.27,,,
2021-01-31,BP2,BP2,Bureau of Prisons,0,30050,31285,0,0,22725,0,8490,0,0,0,,,
2021-01-31,CA,CAA,California,39512223,5666550,3285351,14341,8315,2717530,6878,558977,1415,6.88,1.41,,,
2021-01-31,CO,COA,Colorado,5758736,813400,569234,14125,9885,440576,7651,125078,2172,7.65,2.17,,,
2021-01-31,CT,CTA,Connecticut,3565287,578600,436842,16229,12253,349879,9813,79511,2230,9.81,2.23,,,
2021-01-31,DC,DCA,District of Columbia,705749,148525,80526,21045,11410,61737,8748,18710,2651,8.75,2.65,,,
2021-01-31,DD2,DD2,Dept of Defense,0,816175,481172,0,0,404643,0,67235,0,0,0,,,
2021-01-31,DE,DEA,Delaware,973764,143775,99954,14765,10265,82970,8521,16397,1684,8.52,1.68,,,
2021-01-31,FL,FLA,Florida,21477737,3396350,1959626,15813,9124,1656005,7710,297584,1386,7.71,1.39,,,
2021-01-31,FM,FMA,Federated States of Micronesia,103643,19400,3965,18718,3826,3933,3795,5,5,3.79,0,,,
2021-01-31,GA,GAA,Georgia,10617423,1449800,906186,13655,8535,766875,7223,119878,1129,7.22,1.13,,,
2021-01-31,GU,GUA,Guam,165768,34300,22454,20692,13545,17784,10728,4499,2714,10.73,2.71,,,
2021-01-31,HI,HIA,Hawaii,1415872,227400,129267,16061,9130,103398,7303,25868,1827,7.3,1.83,,,
2021-01-31,IA,IAA,Iowa,3155070,417900,252202,13245,7994,190689,6044,58367,1850,6.04,1.85,,,
2021-01-31,ID,IDA,Idaho,1787065,221550,120880,12397,6764,98287,5500,21636,1211,5.5,1.21,,,
2021-01-31,IH2,IH2,Indian Health Svc,0,423600,209747,0,0,165493,0,40602,0,0,0,,,
