Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-13,AK,AKA,Alaska,731545,271550,175138,37120,23941,122463,16740,52380,7160,16.7,7.1,,,
2021-02-13,AL,ALA,Alabama,4903185,963600,601159,19653,12261,467032,9525,133029,2713,9.7,2.8,,,
2021-02-13,AR,ARA,Arkansas,3017804,630700,457386,20899,15156,330146,10940,124040,4110,10.9,4.1,,,
2021-02-13,AS,ASA,American Samoa,55689,29450,15382,52883,27621,10062,18068,5308,9532,18.1,9.5,,,
2021-02-13,AZ,AZA,Arizona,7278717,1393475,1041021,19145,14302,811080,11143,226158,3107,10.8,3.1,,,
2021-02-13,BP2,BP2,Bureau of Prisons,0,43775,46926,0,0,29797,0,17017,0,0,0,,,
2021-02-13,CA,CAA,California,39512223,8051475,5562553,20377,14078,4345018,10997,1178577,2983,11,3,,,
2021-02-13,CO,COA,Colorado,5758736,1210475,885581,21020,15378,609445,10583,271661,4717,10.6,4.7,,,
2021-02-13,CT,CTA,Connecticut,3565287,847200,654766,23762,18365,462710,12978,183146,5137,12.9,5.2,,,
2021-02-13,DC,DCA,District of Columbia,705749,193900,116261,27474,16473,81699,11576,34388,4873,7.9,2.6,,,
2021-02-13,DD2,DD2,Dept of Defense,0,1080050,726338,0,0,548146,0,167889,0,0,0,,,
2021-02-13,DE,DEA,Delaware,973764,188075,142103,19314,14593,111918,11493,29423,3022,11.2,2.9,,,
2021-02-13,FL,FLA,Florida,21477737,4441375,3351430,20679,15604,2304435,10729,1028266,4788,10.5,4.7,,,
2021-02-13,FM,FMA,Federated States of Micronesia,103643,30000,9230,28946,8906,8434,8138,767,740,8.2,0.8,,,
2021-02-13,GA,GAA,Georgia,10617423,2020275,1328795,19028,12515,987693,9303,313961,2957,9.2,3,,,
2021-02-13,GU,GUA,Guam,165768,51300,37750,30947,22773,27348,16498,10117,6103,16.5,6.1,,,
2021-02-13,HI,HIA,Hawaii,1415872,310400,217780,21923,15381,159583,11271,58194,4110,11.4,4.1,,,
2021-02-13,IA,IAA,Iowa,3155070,595775,432473,18883,13707,317851,10074,109660,3476,10.1,3.5,,,
2021-02-13,ID,IDA,Idaho,1787065,328600,221585,18388,12399,163950,9174,46516,2603,9.4,2.7,,,
2021-02-13,IH2,IH2,Indian Health Svc,0,691650,362802,0,0,261997,0,95032,0,0,0,,,
2021-02-13,IL,ILA,Illinois,12671821,2561800,1772568,20217,13988,1364527,10768,375992,2967,10.9,3,,,
2021-02-13,IN,INA,Indiana,6732219,1387975,1018783,20617,15133,749756,11137,267774,3977,11.1,4,,,
2021-02-13,KS,KSA,Kansas,2913314,581975,367891,19976,12628,273430,9386,91577,3143,9.9,3.4,,,
2021-02-13,KY,KYA,Kentucky,4467673,892100,649810,19968,14545,474397,10618,172518,3861,11,4,,,
2021-02-13,LA,LAA,Louisiana,4648794,895150,735622,19256,15824,501286,10783,232766,5007,10.6,4.9,,,
2021-02-13,MA,MAA,Massachusetts,6892503,1502725,1009560,21802,14647,771430,11192,235910,3423,11.1,3.4,,,
2021-02-13,MD,MDA,Maryland,6045680,1192675,812231,19728,13435,598423,9898,212923,3522,10.2,3.7,,,
2021-02-13,ME,MEA,Maine,1344212,299375,193246,22271,14376,141778,10547,49721,3699,10.7,3.8,,,
2021-02-13,MH,MHA,Marshall Islands,58413,21000,5730,35951,9809,5095,8722,596,1020,8.7,1,,,
2021-02-13,MI,MIA,Michigan,9986857,1919675,1537856,19222,15399,1061320,10627,459336,4599,10.8,4.7,,,
2021-02-13,MN,MNA,Minnesota,5639632,1130550,831483,20047,14744,622541,11039,205958,3652,11.1,3.6,,,
2021-02-13,MO,MOA,Missouri,6137428,1129875,806902,18410,13147,592128,9648,205645,3351,9.3,3.2,,,
2021-02-13,MP,MPA,Northern Mariana Islands,56882,29650,13394,52125,23547,8596,15112,4789,8419,15.1,8.4,,,
2021-02-13,MS,MSA,Mississippi,2976149,613900,407723,20627,13700,303627,10202,103462,3476,10.3,3.6,,,
2021-02-13,MT,MTA,Montana,1068778,199825,167360,18697,15659,122026,11417,44935,4204,11.5,4.2,,,
2021-02-13,NC,NCA,North Carolina,10488084,2047050,1523425,19518,14525,1114685,10628,406851,3879,10.5,3.8,,,
2021-02-13,ND,NDA,North Dakota,762062,155375,144179,20389,18920,96731,12693,45474,5967,12.6,5.8,,,
2021-02-13,NE,NEA,Nebraska,1934408,407500,273950,21066,14162,188607,9750,83670,4325,9.8,4.3,,,
2021-02-13,NH,NHA,New Hampshire,1359711,311875,200675,22937,14759,141108,10378,59402,4369,10.6,4.4,,,
2021-02-13,NJ,NJA,New Jersey,8882190,1775575,1309703,19990,14745,971241,10935,332888,3748,11.4,4,,,
2021-02-13,NM,NMA,New Mexico,2096829,429950,399911,20505,19072,276820,13202,118379,5646,13.5,5.7,,,
2021-02-13,NV,NVA,Nevada,3080156,533800,411057,17330,13345,318400,10337,90476,2937,10.3,2.9,,,
2021-02-13,NY,NYA,New York State,19453561,3941225,2821335,20260,14503,1959193,10071,778565,4002,10,3.9,,,
2021-02-13,OH,OHA,Ohio,11689100,2315100,1613153,19806,13800,1200949,10274,409487,3503,10.3,3.5,,,
2021-02-13,OK,OKA,Oklahoma,3956971,815675,660835,20614,16701,468199,11832,188852,4773,11.8,4.8,,,
2021-02-13,OR,ORA,Oregon,4217737,841550,650929,19953,15433,466801,11068,181841,4311,11,4.2,,,
2021-02-13,PA,PAA,Pennsylvania,12801989,2682600,1678229,20955,13109,1269266,9915,403898,3155,10,3.2,,,
2021-02-13,PR,PRA,Puerto Rico,3193694,706800,370837,22131,11612,266635,8349,102807,3219,8.3,3.2,,,
2021-02-13,RI,RIA,Rhode Island,1059361,228650,136904,21584,12923,95258,8992,41591,3926,9.1,3.8,,,
2021-02-13,RP,RPA,Republic of Palau,17907,9200,4212,51377,23522,3109,17362,1103,6160,0,0,,,
2021-02-13,SC,SCA,South Carolina,5148714,891450,674843,17314,13107,512156,9947,153014,2972,10.1,3,,,
2021-02-13,SD,SDA,South Dakota,884659,182025,155026,20576,17524,106251,12010,48674,5502,12.2,5.5,,,
2021-02-13,TN,TNA,Tennessee,6829174,1357425,926787,19877,13571,634688,9294,288311,4222,9.3,4.2,,,
2021-02-13,TX,TXA,Texas,28995881,5098825,4007986,17585,13823,2901250,10006,1103754,3807,0,0,,,
2021-02-13,UT,UTA,Utah,3205958,579700,510267,18082,15916,307059,9578,105704,3297,9.6,3.3,,,
2021-02-13,VA,VAA,Virginia,8535519,1596425,1330305,18703,15586,993156,11636,306484,3591,11.6,3.6,,,
2021-02-13,VA2,VA2,Veterans Health,0,2042525,1502661,0,0,1091919,0,409548,0,0,0,,,
2021-02-13,VI,VIA,Virgin Islands,104680,26425,12182,25244,11637,8649,8262,3533,3375,8.1,3.3,,,
2021-02-13,VT,VTA,Vermont,623989,138025,102716,22120,16461,70351,11274,32186,5158,11.3,5.1,,,
2021-02-13,WA,WAA,Washington,7614893,1437825,1121779,18882,14731,844801,11094,263257,3457,11.1,3.5,,,
2021-02-13,WI,WIA,Wisconsin,5822434,1082100,916129,18585,15734,689583,11844,216092,3711,11.8,3.7,,,
2021-02-13,WV,WVA,West Virginia,1792147,395600,376113,22074,20987,242233,13516,133868,7470,13.5,7.3,,,
2021-02-13,WY,WYA,Wyoming,578759,122000,89138,21080,15402,65857,11379,23032,3980,11.4,4,,,
2021-02-13,US,USA,United States,331996199,69883625,50641884,,,37056122,,13082172,,9.7,3.4,24297615,26237417,106852
2021-02-13,LTC,LTC,Long Term Care,,,5667091,,,,,,,0,0,,,
