Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-05-01,US,USA,United States,331996199,Report,312508205,243463471,94130,73333,105947940,129013657,8318546,183328,146239208,44,28.7,144151014,55.8,240718710,93255,121066,45179907,82.6,82528434,150883,571345,95175684,94526725,36.6,131844200,162200805,18463200,0,42882114,52246257,8248623,45561,42817459,51662064,8227932,45474,18288720,18087337,1516798,19052,103422555,31.2,102752929,39.8,37911908,69.3,,,,
2021-05-01,AK,AKA,Alaska,731545,Report,769205,560662,105148,76641,250804,295145,14636,77,307711,42.1,34,300372,54.5,547959,99347,139459,71454,78,134680,147050,839853,248629,243291,44.1,330100,385905,53200,0,113958,134653,13588,18,113700,129573,13526,18,38153,26763,1530,10,262217,35.8,256817,46.6,66456,72.6,,,,
2021-05-01,AL,ALA,Alabama,4903185,Report,4130550,2617405,84242,53382,1248418,1294055,74932,0,1599130,32.6,22.1,1588792,41.6,2603796,68254,108275,619426,72.9,1076330,126651,486040,1085063,1081546,28.4,1815200,2065050,250300,0,517193,567810,76662,60,517106,564380,76627,60,264621,213398,23504,39,1161725,23.7,1158173,30.4,501562,59,,,,
2021-05-01,AR,ARA,Arkansas,3017804,Report,2644650,1803795,87635,59772,848433,899852,55058,452,1077072,35.7,24,1063336,45.9,1785108,77022,114109,384132,73.3,683131,130398,504818,723512,718453,31,1168200,1316250,160200,0,353031,370371,53732,110,352805,365540,53478,108,177109,121916,8710,75,777244,25.8,771931,33.3,307810,58.8,,,,
2021-05-01,AS,ASA,American Samoa,55689,Report,54030,38743,97021,69570,8710,30011,22,0,21732,39,30.7,20984,48.3,37454,86226,124387,2455,25.9,4548,48041,570719,17113,16575,38.2,15600,37830,600,0,3809,13304,29,0,3799,12776,29,0,867,1290,6,0,17142,30.8,16604,38.2,2163,22.8,,,,
2021-05-01,AZ,AZA,Arizona,7278717,Report,6652295,5123812,91394,70394,2246646,2736884,137225,3057,2981885,41,27.6,2938151,52.1,5055669,89664,117980,1036986,79.2,1927824,147316,508339,2006999,1985061,35.2,2912700,3358095,381500,0,877994,1127995,132454,1010,877838,1106213,132368,1010,411844,402881,25249,664,2139453,29.4,2117429,37.6,840638,64.2,,,,
2021-05-01,BP2,BP2,Bureau of Prisons,0,Report,158890,153586,0,0,59669,91154,2763,0,86840,0,0,86839,0,153585,0,0,3031,0,5688,0,0,66008,66008,0,61500,90090,7300,0,24925,41083,2749,0,24925,41083,2749,0,1280,1344,41,0,68757,0,68757,0,2665,0,,,,
2021-05-01,CA,CAA,California,39512223,Report,39630080,30820835,100298,78003,13580241,16135526,1101573,3495,19444906,49.2,28.3,19078852,62.3,30363233,99169,129436,5109853,87.5,8968147,153614,678816,11189889,11099364,36.3,16706600,20545980,2377500,0,5175565,6013537,1092310,787,5169669,5928910,1088510,785,2032637,1749960,113699,396,12282199,31.1,12187874,39.8,3896692,66.7,,,,
2021-05-01,CO,COA,Colorado,5758736,Report,5425720,4506339,94217,78252,2037258,2321574,146323,1184,2697032,46.8,30.5,2646337,58.8,4439175,98666,120593,700560,83.2,1320021,156695,644070,1756734,1740334,38.7,2333800,2799420,292500,0,827498,928900,144418,336,826685,913315,143859,334,307378,289950,12974,147,1901152,33,1884193,41.9,610449,72.5,,,,
2021-05-01,CT,CTA,Connecticut,3565287,Report,3915915,3264326,109834,91559,1342888,1796811,124368,259,1967859,55.2,35.9,1927983,67.9,3216710,113350,137989,569766,90.4,1081787,171646,621333,1278176,1271232,44.8,1611700,2074215,230000,0,554215,723903,124443,58,553945,717229,124336,58,201411,298304,11770,20,1402619,39.3,1395568,49.2,511505,81.2,,,,
2021-05-01,DC,DCA,District of Columbia,705749,Report,864815,608710,122539,86250,237717,350207,20749,37,341552,48.4,26.8,339166,58.7,606287,104970,149731,67620,77.4,146901,168189,990137,189372,188628,32.7,339600,479115,46100,0,77364,111978,24573,30,77354,111245,24558,29,28772,21901,1639,9,213945,30.3,213186,36.9,52321,59.9,,,,
2021-05-01,DD2,DD2,Dept of Defense,0,Report,3786040,2897256,0,0,1290575,1540399,65883,399,1782682,0,0,1766651,0,2877082,0,0,162132,0,279085,0,0,1037219,1033426,0,1570600,2045940,169500,0,455625,581594,62968,0,455582,577844,62949,0,38968,69410,2941,0,1100187,0,1096375,0,111319,0,,,,
2021-05-01,DE,DEA,Delaware,973764,Report,982455,771295,100893,79208,312122,425260,33676,237,458536,47.1,29.9,452635,58.8,762988,99065,127560,166183,88,307052,162542,520076,290763,289406,37.6,415500,512655,54300,0,119594,171061,32997,108,119562,169736,32973,108,56990,75784,6815,71,323760,33.2,322379,41.9,139660,73.9,,,,
2021-05-01,FL,FLA,Florida,21477737,Report,20888605,15488105,97257,72112,6732291,8175463,555141,25210,9084980,42.3,27.3,8999968,52.2,15383945,89194,121109,3795104,84.4,7213710,160400,464466,5862068,5843993,33.9,8666400,10830105,1392100,0,2632984,3220897,548546,8187,2632325,3203482,548277,8186,1576361,1421827,129442,6408,6410614,29.8,6392270,37.1,3134038,69.7,,,,
