Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-06-05,US,USA,United States,331996199,Report,371520975,300268730,111905,90443,126359399,162606119,11077735,225477,170272150,51.3,38.3,163528455,63.4,291115002,112778,143928,47177107,86.3,87785701,160495,679236,127169636,124848130,48.4,153217360,196902615,21401000,0,56147777,70958814,10946320,59791,55950765,68676838,10899620,59490,19794527,19541209,1858569,25854,138112702,41.6,135586714,52.5,41220160,75.4,87785701,280216744,300115395,107101,132583,170128881,60.7,127159745,45.4,138100119,49.3,56144527,70951236,10944592,59764,300115395,13,,,,
2021-06-05,AK,AKA,Alaska,731545,Report,814795,618609,111380,84562,270018,326988,21510,93,340957,46.6,37.1,324503,58.8,594706,107822,147725,73496,80.2,138451,151167,889631,271322,263850,47.8,350300,405795,58700,0,124679,146615,19986,28,124362,139460,19893,28,39204,27530,2154,15,291308,39.8,283743,51.4,68903,75.2,132767,608877,617834,101471,133819,340232,55.9,271265,44.6,291249,47.8,124677,146560,19984,28,590908,,,,,
2021-06-05,AL,ALA,Alabama,4903185,Report,4637330,3032931,94578,61856,1464634,1468565,99732,0,1772245,36.1,27.3,1751707,45.9,3004254,78751,121559,646665,76.1,1151738,135525,545673,1338349,1329533,34.9,2096960,2259270,281100,0,657386,680870,101940,93,657203,672237,101895,93,295425,231637,28699,58,1440289,29.4,1431428,37.5,555819,65.4,1107959,4186880,3032631,72432,110759,1771944,42.3,1338335,32,1440271,34.4,657378,680864,101936,93,2904181,,,,,
2021-06-05,AR,ARA,Arkansas,3017804,Report,2793160,2103704,92556,69710,991747,1041499,69893,565,1206409,40,29.4,1171354,50.5,2055570,88692,120517,399328,76.2,725717,138527,533166,885900,872787,37.7,1250140,1364220,178800,0,442422,443341,68180,137,441699,430958,67837,130,193725,129773,10892,86,954080,31.6,940624,40.6,334476,63.8,690951,2557248,2101115,82163,109225,1203951,47.1,885795,34.6,953867,37.3,442418,443240,68072,137,2025157,,,,,
2021-06-05,AS,ASA,American Samoa,55689,Report,54030,43401,97021,77935,10594,32769,38,0,23982,43.1,35.1,22968,52.9,41717,96040,124387,2580,27.3,4802,50724,570719,19544,18877,43.5,15600,37830,600,0,4588,14956,46,0,4575,14302,46,0,925,1379,7,0,19590,35.2,18923,43.6,2311,24.4,4802,47557,43399,91257,113611,23981,50.4,19543,41.1,19589,41.2,4587,14956,46,0,43399,,,,,
2021-06-05,AZ,AZA,Arizona,7278717,Report,7893465,6043146,108446,83025,2640729,3203128,194512,4777,3411332,46.9,34,3286977,58.3,5868472,104079,139993,1080890,82.6,2035970,155580,603184,2474691,2429115,43.1,3279620,4182945,430900,0,1119259,1353869,187317,1563,1118974,1308584,187206,1557,448618,423294,35042,944,2662008,36.6,2616321,46.4,907898,69.4,1906372,6206060,6042706,97368,127190,3410974,55,2474652,39.9,2661933,42.9,1119246,1353843,187281,1563,5626745,,,,,
2021-06-05,BP2,BP2,Bureau of Prisons,0,Report,192980,185203,0,0,75380,103047,6776,0,101560,0,0,101559,0,185202,0,0,3256,0,6197,0,0,82726,82726,0,79020,102960,11000,0,34513,48213,6742,0,34513,48213,6742,0,1452,1453,86,0,89468,0,89468,0,2991,0,6197,0,185202,0,0,101559,0,82726,0,89468,0,34513,48213,6742,0,185202,,,,,
2021-06-05,CA,CAA,California,39512223,Report,47955350,39130665,121368,99034,16421594,21313681,1390018,5372,22815649,57.7,40.7,21711174,70.9,37610528,122840,156627,5329186,91.3,9508224,162865,821418,16096088,15681438,51.2,19558220,25781730,2615400,0,7096600,8997956,1378330,1532,7077649,8602296,1372618,1493,2183838,1911063,143234,617,17474418,44.2,17054056,55.7,4238752,72.6,9256900,33646265,39081187,116153,142528,22768814,67.7,16093589,47.8,17471652,51.9,7096214,8995844,1378063,1531,38352686,,,,,
2021-06-05,CO,COA,Colorado,5758736,Report,6857520,5689129,119080,98791,2452715,3035733,197992,2689,3159329,54.9,42.7,3002103,66.7,5472224,121626,152416,725720,86.1,1385749,164498,814034,2457191,2398249,53.3,2823920,3693300,340300,0,1119739,1336599,195303,853,1116941,1280461,194442,847,325195,309822,17843,263,2652494,46.1,2592691,57.6,653123,77.5,1343925,4936061,5681822,115108,138927,3152237,63.9,2457016,49.8,2652301,53.7,1119728,1336435,195285,853,5505807,,,,,
2021-06-05,CT,CTA,Connecticut,3565287,Report,4613575,4071664,129403,114203,1614578,2297780,158922,384,2273773,63.8,49.7,2155924,76,3909881,137776,162573,589728,93.6,1132288,179659,732030,1771729,1730852,61,1872940,2490735,249900,0,746283,1025344,158822,102,745942,984817,158691,93,215367,313856,16311,26,1930551,54.1,1889543,66.6,545560,86.6,1102838,3105947,4070136,131043,148540,2272612,73.2,1771401,57,1930155,62.1,746085,1025214,158754,102,3994167,,,,,
