Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-07-20,US,USA,United States,331996199,Report,390735975,338491374,117693,101956,136952878,188194066,13060192,284238,186474836,56.2,44.8,176445130,68.3,320692944,124175,151296,48728390,89.1,91549724,167377,714370,148742719,141084451,54.6,161087500,208144725,21484400,19350,62670971,85987317,12893975,79413,62313927,78614162,12809598,78459,20741046,20633812,2067078,34603,161631676,48.7,153816147,59.6,43476539,79.5,91549724,283545812,338142940,119255,137803,186252728,65.7,148617566,52.4,161502704,57,62667316,85864712,12891298,79378,338142940,24,,,,
2021-07-20,AK,AKA,Alaska,731545,Report,843085,687880,115247,94031,286838,373453,27414,175,370546,50.7,41.5,347374,63,646524,117217,152854,75357,82.3,142299,155369,920519,303779,285697,51.8,362600,421185,59300,0,133024,170712,25427,43,132656,153001,25305,40,40012,28473,2535,22,329206,45,311002,56.4,71042,77.6,135951,608877,685810,112635,138466,369269,60.6,302990,49.8,328415,53.9,133020,169927,25425,43,643654,,,,,
2021-07-20,AL,ALA,Alabama,4903185,Report,4928670,3471361,100520,70798,1602010,1752354,116993,4,2024953,41.3,31.3,1966081,51.5,3378581,88563,129196,678153,79.8,1209628,142336,579955,1534910,1499267,39.3,2264980,2382390,281300,0,733847,800901,119734,162,733590,765515,119673,162,309864,245068,31472,104,1654644,33.7,1618940,42.4,586508,69,1165094,4186880,3471039,82903,117717,2024628,48.4,1534878,36.7,1654606,39.5,733836,800880,119728,162,3337476,,,,,
2021-07-20,AR,ARA,Arkansas,3017804,Report,2904710,2336637,96252,77428,1079373,1174919,81704,641,1332741,44.2,32.8,1274875,55,2241499,96714,125330,412518,78.7,751830,143511,554459,989812,952636,41.1,1318840,1406970,178900,0,484090,505552,79867,170,483107,469372,79414,157,201343,134361,12425,95,1069679,35.4,1032050,44.5,348224,66.5,716416,2557248,2331656,91178,113587,1329126,52,988502,38.7,1068256,41.8,484084,504249,79754,169,2253209,,,,,
2021-07-20,AS,ASA,American Samoa,55689,Report,54930,49581,98637,89032,12177,36873,531,0,27586,49.5,39.7,24972,57.6,45562,105042,126640,2696,28.6,5045,53465,582132,22105,20706,47.7,15600,38730,600,0,5568,16537,538,0,5555,15151,537,0,991,1432,24,0,22643,40.7,21243,49,2447,25.9,5045,47557,49573,104239,115504,27580,58,22103,46.5,22641,47.6,5567,16536,538,0,49573,,,,,
2021-07-20,AZ,AZA,Arizona,7278717,Report,8322660,6966636,114342,95712,2944254,3764101,250595,7686,3778555,51.9,41.3,3579321,63.5,6605123,117144,147605,1118068,85.4,2134662,163122,635981,3003473,2849944,50.5,3455860,4435800,431000,0,1309099,1691853,241703,2521,1308679,1538762,241353,2503,479295,446607,41671,1414,3245176,44.6,3091297,54.8,968987,74,2003171,6206060,6965809,112242,134105,3777804,60.9,3003372,48.4,3244845,52.3,1309078,1691773,241473,2521,6520529,,,,,
2021-07-20,BP2,BP2,Bureau of Prisons,0,Report,206410,198370,0,0,81910,107688,8772,0,107285,0,0,107284,0,198369,0,0,3359,0,6429,0,0,90013,90013,0,86640,109170,10600,0,39115,50898,8721,0,39115,50898,8721,0,1529,1500,117,0,98734,0,98734,0,3146,0,6429,0,198369,0,0,107284,0,90013,0,98734,0,39115,50898,8721,0,198369,,,,,
2021-07-20,CA,CAA,California,39512223,Report,50044465,44213927,126656,111899,17750555,24831685,1623809,7878,25046828,63.4,47.8,23467398,76.6,41406714,135238,163450,5541846,94.9,9937412,170216,857202,18871164,17647107,57.6,20328720,27099945,2615800,0,7858963,11009809,1609182,2392,7834289,9810573,1602016,2245,2280114,2017090,162514,851,20480346,51.8,19249123,62.9,4460569,76.4,9675172,33646265,44086882,131031,148737,24968294,74.2,18823217,55.9,20432086,60.7,7858549,10962280,1608869,2388,43248858,,,,,
2021-07-20,CO,COA,Colorado,5758736,Report,7144625,6366639,124066,110556,2629450,3504524,229040,3625,3413839,59.3,49.7,3195548,71,5966725,132617,158797,741809,88.1,1426820,169373,848115,2860904,2680629,59.6,2932900,3871425,340300,0,1232498,1627271,225322,1135,1228960,1450561,224224,1108,333941,320777,20718,367,3086226,53.6,2904853,64.6,675803,80.2,1384229,4936061,6346930,128583,144743,3402169,68.9,2853017,57.8,3078318,62.4,1232486,1619396,225301,1135,6156755,,,,,
2021-07-20,CT,CTA,Connecticut,3565287,Report,4821105,4521207,135223,126812,1733725,2605422,181471,589,2447320,68.6,57.3,2290144,80.7,4229894,149053,169886,603088,95.7,1164734,184807,764958,2044552,1915203,67.5,1952300,2618805,250000,0,823344,1221018,180794,190,822980,1092069,180648,154,223485,323362,18450,42,2225346,62.4,2095851,73.9,565339,89.7,1135148,3105947,4519587,145514,155222,2446069,78.8,2044183,65.8,2224902,71.6,823141,1220852,180719,190,4441652,,,,,
