Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Ratio_Admin_Dist,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Dose_Other_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus
2020-12-30,52,AK,AKA,Alaska,49425,12799,6756,1750,731545,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,53,AK,AKA,Alaska,68925,18401,9422,2515,731545,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,1,AK,AKA,Alaska,74925,18937,10242,2589,731545,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,1,AK,AKA,Alaska,76200,19050,10416,2604,731545,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1,AK,AKA,Alaska,80300,20106,10977,2748,731545,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1,AK,AKA,Alaska,87325,21830,11937,2984,731545,4419,17402,9,0.25,,,,,,,,,,,,,,,,,,,,
2021-01-08,1,AK,AKA,Alaska,93175,24562,12737,3358,731545,5249,19303,10,0.264,,,,,,,,,,,,,,,,,,,,
2021-01-11,2,AK,AKA,Alaska,132350,35027,18092,4788,731545,9177,25840,10,0.265,,,,,,,,,,,,,,,,,,,,
2021-01-12,2,AK,AKA,Alaska,141600,35838,19356,4899,731545,9526,26302,10,0.253,22486,5400,7952,3074,738,1087,,,,,,,,,,,,,,
2021-01-13,2,AK,AKA,Alaska,149475,38680,20433,5287,731545,10711,27958,11,0.259,24541,6166,7973,3355,843,1090,,,,,,,,,,,,,,
2021-01-14,,AK,AKA,Alaska,150450,42596,20566,5823,731545,,,,,35508,7013,,4854,959,,,,,,,,,,,,,,,
2021-01-15,,AK,AKA,Alaska,150450,49039,20566,6703,731545,,,,,39546,9406,,5406,1286,,,,,,,,,,,,,,,
2021-01-19,,AK,AKA,Alaska,150450,66331,20566,9067,731545,,,,,55434,10802,,7578,1477,,,,,,,,,,,,,,,
2021-01-20,,AK,AKA,Alaska,150350,68293,20552,9335,731545,,,,,56911,11283,,7780,1542,,,,,,,,,,,,,,,
2021-01-21,,AK,AKA,Alaska,154325,71907,21096,9829,731545,,,,,59449,12352,,8126,1688,,,,,,,,,,,,,,,
2021-01-22,,AK,AKA,Alaska,155500,81096,21256,11086,731545,,,,,67262,13718,,9195,1875,,,,,,,,,,,,,,,
2021-01-23,,AK,AKA,Alaska,155700,88344,21284,12076,731545,,,,,73014,15206,,9981,2079,,,,,,,,,,,,,,,
2021-01-24,,AK,AKA,Alaska,155700,94257,21284,12885,731545,,,,,77925,16201,,10652,2215,,,,,,,,,,,,,,,
2021-01-25,,AK,AKA,Alaska,155700,97031,21284,13264,731545,,,,,80226,16673,,10967,2279,,,,,,,,,,,,,,,
2021-01-26,,AK,AKA,Alaska,162925,98149,22271,13417,731545,,,,,81200,16815,,11100,2299,,,,,,,,,,,,,,,
2021-01-27,,AK,AKA,Alaska,170575,101597,23317,13888,731545,,,,,83363,18097,,11395,2474,,,,,,,,,,,,,,,
2021-01-28,,AK,AKA,Alaska,178075,105858,24342,14470,731545,,,,,85672,20045,,11711,2740,,11.71,2.74,,,,,,,,,,,,
2021-01-29,,AK,AKA,Alaska,192350,110396,26294,15091,731545,,,,,88654,21593,,12119,2952,,12.12,2.95,,,,,,,,,,,,
2021-01-30,,AK,AKA,Alaska,193150,115268,26403,15757,731545,,,,,91794,23320,,12548,3188,,12.55,3.19,,,,,,,,,,,,
2021-01-31,,AK,AKA,Alaska,193150,119590,26403,16348,731545,,,,,94889,24545,,12971,3355,,12.97,3.36,,,,,,,,,,,,
2021-02-01,,AK,AKA,Alaska,193150,122020,26403,16680,731545,,,,,96396,25467,,13177,3481,,13.18,3.48,,,,,,,,,,,,
2021-02-02,,AK,AKA,Alaska,196975,123443,26926,16874,731545,,,,,97076,26207,,13270,3582,,13.3,3.6,,,,,,,,,,,,
2021-02-03,,AK,AKA,Alaska,229975,125765,31437,17192,731545,,,,,98076,27528,,13407,3763,,13.4,3.8,,,,,,,,,,,,
2021-02-04,,AK,AKA,Alaska,240325,129936,32852,17762,731545,,,,,99596,30172,,13614,4124,,13.6,4.1,,,,,,,,,,,,
2021-02-05,,AK,AKA,Alaska,245700,134002,33586,18318,731545,,,,,101225,32593,,13837,4455,,13.8,4.5,,,,,,,,,,,,
2021-02-06,,AK,AKA,Alaska,248500,139147,33969,19021,731545,,,,,103163,35773,,14102,4890,,14.1,4.9,,,,,,,,,,,,
2021-02-07,,AK,AKA,Alaska,248500,146082,33969,19969,731545,,,,,106311,39541,,14532,5405,,14.5,5.4,,,,,,,,,,,,
2021-02-08,,AK,AKA,Alaska,248500,150934,33969,20632,731545,,,,,109890,40812,,15022,5579,,15,5.6,,,,,,,,,,,,
2021-02-09,,AK,AKA,Alaska,256900,152874,35117,20897,731545,,,,,110936,41698,,15165,5700,,15.2,5.7,,,,,,,,,,,,
2021-02-10,,AK,AKA,Alaska,260300,156255,35582,21360,731545,,,,,112448,43552,,15371,5953,,15.4,6,,,,,,,,,,,,
2021-02-11,,AK,AKA,Alaska,270250,162273,36942,22182,731545,,,,,116001,46006,,15857,6289,,15.9,6.3,,,,,,,,,,,,
2021-02-12,,AK,AKA,Alaska,271350,167436,37093,22888,731545,,,,,118189,48969,,16156,6694,,16.2,6.7,,,,,,,,,,,,
2021-02-13,,AK,AKA,Alaska,271550,175138,37120,23941,731545,,,,,122463,52380,,16740,7160,,16.7,7.1,,,,,,,,,,,,
2021-02-14,,AK,AKA,Alaska,271550,183831,37120,25129,731545,,,,,126381,57117,,17276,7808,,17.3,7.8,,,,,,,,,,,,
2021-02-16,,AK,AKA,Alaska,271550,191008,37120,26110,731545,,,,,129658,60964,,17724,8334,,17.7,8.3,,,,,,,,,,,,
2021-02-17,,AK,AKA,Alaska,271550,193617,37120,26467,731545,,,,,130751,62474,,17873,8540,,17.9,8.5,,,,,,,,,,,,
2021-02-18,,AK,AKA,Alaska,271550,199151,37120,27223,731545,,,,,133491,65245,,18248,8919,,18.3,8.9,,,,,,,,,,,,
2021-02-19,,AK,AKA,Alaska,299935,216223,41000,29557,731545,,,,,143887,71892,,19669,9827,,19.7,9.8,,,,,,,,,,,,
2021-02-20,,AK,AKA,Alaska,299935,227403,41000,31085,731545,,,,,148299,78623,,20272,10748,,20.3,10.7,,,,,,,,,,,,
2021-02-21,,AK,AKA,Alaska,299935,235141,41000,32143,731545,,,,,152349,82272,,20826,11246,,20.9,11.2,,,,,,,,,,,,
2021-02-22,,AK,AKA,Alaska,299935,238279,41000,32572,731545,,,,,153349,84385,,20962,11535,,21,11.5,Report,238275,153572,84131,152821,83837,27.7,15.2,551562,54379,237233,43011
2021-02-23,,AK,AKA,Alaska,304875,239927,41675,32797,731545,,,,,154392,84984,,21105,11617,,21.1,11.6,Report,239942,154618,84746,153859,84451,27.9,15.3,551562,55275,238872,43308
2021-02-24,,AK,AKA,Alaska,315765,243650,43164,33306,731545,,,,,156027,87061,,21328,11901,,21.4,11.9,Report,243691,156267,86836,155484,86530,28.2,15.7,551562,57249,242559,43977
